Core Time,CPU Utilization,Thread Count,RAM Utilization (%),RAM Utilization (MB)
1.0,1.4,2,27.7,18127.3671875
2.0,12.4,2,33.1,21625.7578125
3.0,36.5,2,35.0,22882.26953125
4.0,39.0,2,36.9,24138.00390625
5.0,20.9,2,32.3,21135.04296875
6.0,0.9,2,32.4,21157.765625
7.0,2.9,2,32.5,21236.23828125
8.0,11.5,3,28.7,18757.81640625
9.0,3.5,3,32.0,20891.76171875
10.0,4.4,3,32.5,21260.9140625
11.0,5.7,3,32.5,21260.30859375
12.0,3.9,3,32.5,21259.921875
13.0,4.6,3,32.5,21260.21484375
14.0,3.7,3,32.5,21257.86328125
15.0,3.9,3,32.5,21258.921875
16.0,5.3,3,32.5,21258.5
17.0,3.7,3,32.4,21216.40234375
18.0,3.6,3,32.4,21216.0859375
19.0,4.9,3,32.4,21216.20703125
20.0,4.4,3,32.4,21212.5234375
21.0,4.6,3,32.4,21216.43359375
22.0,5.0,3,32.4,21215.828125
23.0,4.3,3,32.4,21215.90625
24.0,4.0,3,32.4,21209.12890625
25.0,4.5,3,32.4,21207.1328125
26.0,5.5,3,32.4,21206.8125
27.0,6.9,3,32.4,21217.38671875
28.0,4.0,3,32.4,21214.71484375
29.0,3.5,3,32.4,21187.9296875
30.0,3.7,3,32.4,21167.67578125
31.0,5.3,3,32.4,21155.0546875
32.0,4.3,3,32.4,21183.69140625
33.0,5.9,3,32.4,21177.81640625
34.0,4.0,3,32.4,21153.765625
35.0,3.4,3,32.3,21150.76953125
36.0,3.2,3,32.3,21149.453125
37.0,4.2,3,32.3,21148.046875
38.0,5.2,3,32.4,21160.796875
39.0,5.9,3,32.4,21161.265625
40.0,3.6,3,32.4,21160.44140625
41.0,3.4,3,32.4,21157.59765625
42.0,3.6,3,32.4,21160.88671875
43.0,5.1,3,32.4,21153.0390625
44.0,4.4,3,32.4,21156.2734375
45.0,4.3,3,32.3,21149.4375
46.0,3.1,3,32.3,21133.5859375
47.0,5.0,3,32.2,21086.11328125
48.0,3.5,3,32.3,21088.84765625
49.0,4.1,3,32.3,21088.40234375
50.0,4.4,3,32.3,21087.91796875
51.0,4.4,3,32.3,21087.70703125
52.0,4.0,3,32.3,21088.17578125
53.0,5.5,3,32.3,21088.1171875
54.0,4.2,3,32.3,21090.09765625
55.0,4.2,3,32.3,21093.67578125
56.0,4.3,3,32.3,21096.1875
57.0,4.0,3,32.3,21109.73828125
58.0,4.4,3,32.3,21116.48046875
59.0,2.9,3,32.3,21132.37109375
60.0,4.1,3,32.3,21123.578125
61.0,4.5,3,32.3,21123.8203125
62.0,5.0,3,32.4,21189.03515625
63.0,4.8,3,32.4,21188.07421875
64.0,4.1,3,32.4,21186.6953125
65.0,4.8,3,32.4,21184.06640625
66.0,4.0,3,32.4,21186.08984375
67.0,4.5,3,32.4,21201.296875
68.0,4.7,3,32.4,21215.08984375
69.0,5.6,3,32.4,21197.21875
70.0,3.5,3,32.4,21189.8984375
71.0,4.4,3,32.4,21184.640625
72.0,3.5,3,32.4,21179.80078125
73.0,2.5,3,32.3,21151.13671875
74.0,3.5,3,32.3,21138.125
75.0,3.1,3,32.3,21139.8984375
76.0,3.4,3,32.3,21130.76171875
77.0,3.5,3,32.3,21113.16796875
78.0,4.3,3,32.3,21112.12890625
79.0,5.1,3,32.3,21112.39453125
80.0,3.2,3,32.3,21111.69921875
81.0,3.9,3,32.3,21108.12109375
82.0,3.5,3,32.3,21124.71484375
83.0,4.8,3,32.3,21124.08203125
84.0,5.4,3,32.3,21125.078125
85.0,3.7,3,32.3,21124.90625
86.0,3.9,3,32.2,21075.5703125
87.0,4.7,3,32.2,21066.421875
88.0,4.5,3,32.2,21069.16015625
89.0,4.7,3,32.2,21067.75
90.0,3.3,3,32.2,21070.484375
91.0,3.6,3,32.2,21080.11328125
92.0,5.8,3,32.4,21156.4921875
93.0,4.4,3,32.4,21159.29296875
94.0,5.1,3,32.4,21154.98828125
95.0,4.0,3,32.4,21153.05078125
96.0,4.0,3,32.4,21153.19140625
97.0,4.3,3,32.3,21152.34375
98.0,4.6,3,32.4,21153.33203125
99.0,4.7,3,32.3,21145.12109375
100.0,4.0,3,32.3,21148.265625
101.0,3.0,3,32.3,21148.89453125
102.0,3.9,3,32.4,21166.4921875
103.0,5.5,3,32.4,21177.62890625
104.0,3.7,3,32.4,21166.86328125
105.0,4.8,3,32.4,21175.52734375
