Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/10/2023 	_x86_64_	(56 CPU)

01:11:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:11:27 PM     all      1.17      0.00      2.05      0.00      0.00     96.78
01:11:29 PM     all      1.52      0.00      0.65      0.00      0.00     97.83
01:11:31 PM     all      1.67      0.00      1.38      0.00      0.00     96.95
01:11:33 PM     all      2.32      0.00      1.12      0.00      0.00     96.56
01:11:35 PM     all      2.26      0.00      0.68      0.00      0.00     97.06
01:11:37 PM     all      4.60      0.00      0.77      0.00      0.00     94.63
01:11:39 PM     all     17.90      0.00      3.54      0.13      0.00     78.43
01:11:41 PM     all      1.54      0.00      1.42      0.00      0.00     97.04
01:11:43 PM     all      3.49      0.00      0.80      0.00      0.00     95.72
01:11:45 PM     all      7.23      0.00      1.14      0.00      0.00     91.63
01:11:47 PM     all      7.22      0.00      1.11      0.00      0.00     91.67
01:11:49 PM     all      7.20      0.00      1.18      0.00      0.00     91.62
01:11:51 PM     all      7.18      0.00      1.16      0.00      0.00     91.66
01:11:53 PM     all      7.24      0.00      1.22      0.00      0.00     91.55
01:11:55 PM     all      7.19      0.00      1.16      0.00      0.00     91.65
01:11:57 PM     all      7.27      0.00      1.20      0.00      0.00     91.52
01:11:59 PM     all      7.20      0.00      1.16      0.00      0.00     91.63
01:12:01 PM     all      7.22      0.00      1.13      0.00      0.00     91.65
01:12:03 PM     all      7.30      0.00      1.19      0.00      0.00     91.51
01:12:05 PM     all      7.19      0.00      1.20      0.00      0.00     91.61
01:12:07 PM     all      7.22      0.00      1.13      0.00      0.00     91.65
01:12:09 PM     all      7.24      0.00      1.20      0.00      0.00     91.57
01:12:11 PM     all      7.21      0.00      1.15      0.00      0.00     91.63
01:12:13 PM     all      7.27      0.00      1.18      0.00      0.00     91.55
01:12:15 PM     all      7.26      0.00      1.13      0.00      0.00     91.60
01:12:17 PM     all      7.22      0.00      1.16      0.00      0.00     91.62
01:12:19 PM     all      7.19      0.00      1.21      0.00      0.00     91.60
01:12:21 PM     all      7.17      0.00      1.14      0.00      0.00     91.69
01:12:23 PM     all      7.22      0.00      1.18      0.00      0.00     91.60
01:12:25 PM     all      7.18      0.00      1.22      0.00      0.00     91.60
01:12:27 PM     all      7.15      0.00      1.18      0.00      0.00     91.67
01:12:29 PM     all      7.18      0.00      1.19      0.00      0.00     91.64
01:12:31 PM     all      7.23      0.00      1.16      0.00      0.00     91.61
01:12:33 PM     all      7.30      0.00      1.25      0.00      0.00     91.45
01:12:35 PM     all      7.18      0.00      1.17      0.00      0.00     91.65
01:12:37 PM     all      7.22      0.00      1.18      0.00      0.00     91.60
01:12:39 PM     all      7.16      0.00      1.19      0.00      0.00     91.66
01:12:41 PM     all      7.19      0.00      1.19      0.00      0.00     91.62
01:12:43 PM     all      7.23      0.00      1.21      0.00      0.00     91.57
01:12:45 PM     all      7.17      0.00      1.22      0.00      0.00     91.60
