[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 27°C,  ?? %,   9 % (E:   0 %  D:   0 %),   29 / 165 W |   269 / 24576 MB | jgong:python3.10/889076(266M)
[1] NVIDIA A30 | 25°C,  ?? %,   7 % (E:   0 %  D:   0 %),   29 / 165 W |   271 / 24576 MB | jgong:python3.10/889077(268M)
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   347 / 24576 MB | jgong:python3.10/889076(344M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   347 / 24576 MB | jgong:python3.10/889077(344M)
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   347 / 24576 MB | jgong:python3.10/889076(344M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   347 / 24576 MB | jgong:python3.10/889077(344M)
[0] NVIDIA A30 | 27°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   659 / 24576 MB | jgong:python3.10/889076(656M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   659 / 24576 MB | jgong:python3.10/889077(656M)
[0] NVIDIA A30 | 27°C,  ?? %,   1 % (E:   0 %  D:   0 %),   29 / 165 W |   761 / 24576 MB | jgong:python3.10/889076(758M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   29 / 165 W |   763 / 24576 MB | jgong:python3.10/889077(758M)
[0] NVIDIA A30 | 28°C,  ?? %,  18 % (E:   0 %  D:   0 %),   45 / 165 W |  3311 / 24576 MB | jgong:python3.10/889076(3358M)
[1] NVIDIA A30 | 27°C,  ?? %,  87 % (E:   0 %  D:   0 %),  126 / 165 W |  3075 / 24576 MB | jgong:python3.10/889077(3156M)
[0] NVIDIA A30 | 34°C,  ?? %,  96 % (E:   0 %  D:   0 %),  138 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 30°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 36°C,  ?? %,  96 % (E:   0 %  D:   0 %),  156 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 31°C,  ?? %,  97 % (E:   0 %  D:   0 %),  167 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 37°C,  ?? %,  96 % (E:   0 %  D:   0 %),  166 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 32°C,  ?? %,  96 % (E:   0 %  D:   0 %),  130 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 38°C,  ?? %,  96 % (E:   0 %  D:   0 %),  168 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 32°C,  ?? %,  96 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 38°C,  ?? %,  96 % (E:   0 %  D:   0 %),  165 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 33°C,  ?? %,  97 % (E:   0 %  D:   0 %),  161 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 39°C,  ?? %,  96 % (E:   0 %  D:   0 %),  154 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 34°C,  ?? %,  96 % (E:   0 %  D:   0 %),  173 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 39°C,  ?? %,  97 % (E:   0 %  D:   0 %),  162 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 34°C,  ?? %,  96 % (E:   0 %  D:   0 %),  154 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 40°C,  ?? %,  95 % (E:   0 %  D:   0 %),  160 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 35°C,  ?? %,  96 % (E:   0 %  D:   0 %),  156 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
[0] NVIDIA A30 | 40°C,  ?? %,  96 % (E:   0 %  D:   0 %),  155 / 165 W |  3925 / 24576 MB | jgong:python3.10/889076(3920M)
[1] NVIDIA A30 | 35°C,  ?? %,  96 % (E:   0 %  D:   0 %),  171 / 165 W |  3891 / 24576 MB | jgong:python3.10/889077(3886M)
