jobid: 
node: b526
# CPUs: 56
time: Thu Aug 10 13:11:25 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691694685,1,0.0,220712,3144,13303,62
1691694686,1,0.0,220712,3144,0,0
1691694687,1,0.0,220712,3144,0,0
1691694688,1,0.0,220712,3144,0,0
1691694689,1,0.0,220712,3144,0,0
1691694690,1,0.0,220712,3144,0,0
1691694691,1,0.0,220712,3144,0,0
1691694692,1,0.0,220712,3144,0,0
1691694693,1,0.0,220712,3144,0,0
1691694694,1,0.0,220712,3144,0,0
1691694695,1,0.0,220712,3144,0,0
1691694696,1,0.0,220712,3144,0,0
1691694697,1,0.0,220712,3144,0,0
1691694698,1,0.0,220712,3144,0,0
1691694699,1,0.0,220712,3144,0,0
1691694700,1,0.0,220712,3144,0,0
1691694701,1,0.0,220712,3144,0,0
1691694702,1,0.0,220712,3144,0,0
1691694703,1,0.0,220712,3144,0,0
1691694704,1,0.0,220712,3144,0,0
1691694705,1,0.0,220712,3144,0,0
1691694706,1,0.0,220712,3144,0,0
1691694707,1,0.0,220712,3144,0,0
1691694708,1,0.0,220712,3144,0,0
1691694709,1,0.0,220712,3144,0,0
1691694710,1,0.0,220712,3144,0,0
1691694711,1,0.0,220712,3144,0,0
1691694712,1,0.0,220712,3144,0,0
1691694713,1,0.0,220712,3144,0,0
1691694714,1,0.0,220712,3144,0,0
1691694715,1,0.0,220712,3144,0,0
1691694716,1,0.0,220712,3144,0,0
1691694717,1,0.0,220712,3144,0,0
1691694718,1,0.0,220712,3144,0,0
1691694719,1,0.0,220712,3144,0,0
1691694720,1,0.0,220712,3144,0,0
1691694721,1,0.0,220712,3144,0,0
1691694722,1,0.0,220712,3144,0,0
1691694723,1,0.0,220712,3144,0,0
1691694724,1,0.0,220712,3144,0,0
1691694725,1,0.0,220712,3144,0,0
1691694726,1,0.0,220712,3144,0,0
1691694727,1,0.0,220712,3144,0,0
1691694728,1,0.0,220712,3144,0,0
1691694729,1,0.0,220712,3144,0,0
1691694730,1,0.0,220712,3144,0,0
1691694731,1,0.0,220712,3144,0,0
1691694732,1,0.0,220712,3144,0,0
1691694733,1,0.0,220712,3144,0,0
1691694734,1,0.0,220712,3144,0,0
1691694735,1,0.0,220712,3144,0,0
1691694736,1,0.0,220712,3144,0,0
1691694737,1,0.0,220712,3144,0,0
1691694738,1,0.0,220712,3144,0,0
1691694739,1,0.0,220712,3144,0,0
1691694740,1,0.0,220712,3144,0,0
1691694741,1,0.0,220712,3144,0,0
1691694742,1,0.0,220712,3144,0,0
1691694743,1,0.0,220712,3144,0,0
1691694744,1,0.0,220712,3144,0,0
1691694745,1,0.0,220712,3144,0,0
1691694746,1,0.0,220712,3144,0,0
1691694747,1,0.0,220712,3144,0,0
1691694748,1,0.0,220712,3144,0,0
1691694749,1,0.0,220712,3144,0,0
1691694750,1,0.0,220712,3144,0,0
1691694751,1,0.0,220712,3144,0,0
1691694752,1,0.0,220712,3144,0,0
1691694753,1,0.0,220712,3144,0,0
1691694754,1,0.0,220712,3144,0,0
1691694755,1,0.0,220712,3144,0,0
1691694756,1,0.0,220712,3144,0,0
1691694757,1,0.0,220712,3144,0,0
1691694758,1,0.0,220712,3144,0,0
1691694759,1,0.0,220712,3144,0,0
1691694760,1,0.0,220712,3144,0,0
1691694761,1,0.0,220712,3144,0,0
1691694762,1,0.0,220712,3144,0,0
1691694763,1,0.0,220712,3144,0,0
1691694764,1,0.0,220712,3144,0,0
1691694765,1,0.0,220712,3144,0,0
1691694766,1,0.0,220712,3144,0,0
1691694767,1,0.0,220712,3144,0,0
1691694768,1,0.0,220712,3144,0,0
1691694769,1,0.0,220712,3144,0,0
1691694770,1,0.0,220712,3144,0,0
1691694771,1,0.0,220712,3144,0,0
1691694772,1,0.0,220712,3144,0,0
1691694773,1,0.0,220712,3144,0,0
1691694774,1,0.0,220712,3144,0,0
1691694775,1,0.0,220712,3144,0,0
1691694776,1,0.0,220712,3144,0,0
1691694777,1,0.0,220712,3144,0,0
1691694778,1,0.0,220712,3144,0,0
1691694779,1,0.0,220712,3144,0,0
1691694780,1,0.0,220712,3144,0,0
1691694781,1,0.0,220712,3144,0,0
1691694782,1,0.0,220712,3144,0,0
1691694783,1,0.0,220712,3144,0,0
1691694784,1,0.0,220712,3144,0,0
1691694785,1,0.0,220712,3144,0,0
1691694786,1,0.0,220712,3144,0,0
1691694787,1,0.0,220712,3144,0,0
1691694788,1,0.0,220712,3144,0,0
1691694789,1,0.0,220712,3144,0,0
1691694790,1,0.0,220712,3144,0,0
1691694791,1,0.0,220712,3144,0,0
1691694792,1,0.0,220712,3144,0,0
1691694793,1,0.0,220712,3144,0,0
1691694794,1,0.0,220712,3144,0,0
1691694795,1,0.0,220712,3144,0,0
1691694796,1,0.0,220712,3144,0,0
1691694797,1,0.0,220712,3144,0,0
1691694798,1,0.0,220712,3144,0,0
1691694799,1,0.0,220712,3144,0,0
1691694800,1,0.0,220712,3144,0,0
1691694801,1,0.0,220712,3144,0,0
1691694802,1,0.0,220712,3144,0,0
1691694803,1,0.0,220712,3144,0,0
1691694804,1,0.0,220712,3144,0,0
1691694805,1,0.0,220712,3144,0,0
1691694806,1,0.0,220712,3144,0,0
1691694807,1,0.0,220712,3144,0,0
1691694808,1,0.0,220712,3144,0,0
1691694809,1,0.0,220712,3144,0,0
1691694810,1,0.0,220712,3144,0,0
1691694811,1,0.0,220712,3144,0,0
1691694812,1,0.0,220712,3144,0,0
1691694813,1,0.0,220712,3144,0,0
1691694814,1,0.0,220712,3144,0,0
1691694815,1,0.0,220712,3144,0,0
1691694816,1,0.0,220712,3144,0,0
1691694817,1,0.0,220712,3144,0,0
1691694818,1,0.0,220712,3144,0,0
1691694819,1,0.0,220712,3144,0,0
1691694820,1,0.0,220712,3144,0,0
1691694821,1,0.0,220712,3144,0,0
1691694822,1,0.0,220712,3144,0,0
1691694823,1,0.0,220712,3144,0,0
1691694824,1,0.0,220712,3144,0,0
1691694825,1,0.0,220712,3144,0,0
1691694826,1,0.0,220712,3144,0,0
1691694827,1,0.0,220712,3144,0,0
1691694828,1,0.0,220712,3144,0,0
1691694829,1,0.0,220712,3144,0,0
1691694830,1,0.0,220712,3144,0,0
1691694831,1,0.0,220712,3144,0,0
1691694832,1,0.0,220712,3144,0,0
1691694833,1,0.0,220712,3144,0,0
1691694834,1,0.0,220712,3144,0,0
1691694835,1,0.0,220712,3144,0,0
1691694836,1,0.0,220712,3144,0,0
1691694837,1,0.0,220712,3144,0,0
1691694838,1,0.0,220712,3144,0,0
1691694839,1,0.0,220712,3144,0,0
1691694840,1,0.0,220712,3144,0,0
1691694841,1,0.0,220712,3144,0,0
1691694842,1,0.0,220712,3144,0,0
1691694843,1,0.0,220712,3144,0,0
1691694844,1,0.0,220712,3144,0,0
1691694845,1,0.0,220712,3144,0,0
1691694846,1,0.0,220712,3144,0,0
1691694847,1,0.0,220712,3144,0,0
1691694848,1,0.0,220712,3144,0,0
1691694849,1,0.0,220712,3144,0,0
1691694850,1,0.0,220712,3144,0,0
1691694851,1,0.0,220712,3144,0,0
1691694852,1,0.0,220712,3144,0,0
1691694853,1,0.0,220712,3144,0,0
1691694854,1,0.0,220712,3144,0,0
1691694855,1,0.0,220712,3144,0,0
1691694856,1,0.0,220712,3144,0,0
1691694857,1,0.0,220712,3144,0,0
1691694858,1,0.0,220712,3144,0,0
1691694859,1,0.0,220712,3144,0,0
1691694860,1,0.0,220712,3144,0,0
1691694861,1,0.0,220712,3144,0,0
1691694862,1,0.0,220712,3144,0,0
1691694863,1,0.0,220712,3144,0,0
1691694864,1,0.0,220712,3144,0,0
1691694865,1,0.0,220712,3144,0,0
1691694866,1,0.0,220712,3144,0,0
1691694867,1,0.0,220712,3144,0,0
1691694868,1,0.0,220712,3144,0,0
1691694869,1,0.0,220712,3144,0,0
1691694870,1,0.0,220712,3144,0,0
1691694871,1,0.0,220712,3144,0,0
1691694872,1,0.0,220712,3144,0,0
1691694873,1,0.0,220712,3144,0,0
1691694874,1,0.0,220712,3144,0,0
1691694875,1,0.0,220712,3144,0,0
