Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/10/2023 	_x86_64_	(56 CPU)

01:11:25 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:11:27 PM 247071964 246454572  16688140      6.33        24   7325472  14959100      5.50   2977068   5706892         0
01:11:29 PM 246865020 246247860  16895084      6.41        24   7325928  15848508      5.82   2977588   5911548         0
01:11:31 PM 246242308 245625508  17517796      6.64        24   7347132  16244752      5.97   2978248   6293300         0
01:11:33 PM 244810084 244201964  18950020      7.18        24   7479992  17696784      6.50   2995608   7693272         0
01:11:35 PM 244549728 243941612  19210376      7.28        24   7480000  17981468      6.61   2995636   7952752         0
01:11:37 PM 244123600 243515596  19636504      7.44        24   7480224  29038636     10.67   2995820   8333412         0
01:11:39 PM 239878424 239272544  23881680      9.05        24   9560428  71665116     26.33   2996300  12390152         0
01:11:41 PM 238159336 237554556  25600768      9.71        24   9652904  73240240     26.91   2997944  14056320         0
01:11:43 PM 238144516 237540608  25615588      9.71        24   9655540  73156728     26.88   2999584  14107528         0
01:11:45 PM 238099120 237495348  25660984      9.73        24   9663264  73187944     26.89   2999576  14151896         0
01:11:47 PM 238067688 237463704  25692416      9.74        24   9671728  73241356     26.91   2999156  14184792         0
01:11:49 PM 238051356 237446020  25708748      9.75        24   9671744  73215464     26.90   2996624  14202204         0
01:11:51 PM 238042744 237431044  25717360      9.75        24   9662212  73237740     26.91   2983936  14224280         0
01:11:53 PM 238016144 237401944  25743960      9.76        24   9671720  73277872     26.93   2979136  14255396         0
01:11:55 PM 237999372 237384272  25760732      9.77        24   9669952  73250820     26.92   2977372  14274424         0
01:11:57 PM 237991552 237373020  25768552      9.77        24   9662744  73223848     26.91   2970488  14288164         0
01:11:59 PM 237979116 237359912  25780988      9.77        24   9660428  73233976     26.91   2969232  14302192         0
01:12:01 PM 237964904 237344904  25795200      9.78        24   9660044  73249332     26.92   2967460  14318044         0
01:12:03 PM 237957980 237333872  25802124      9.78        24   9651624  73233132     26.91   2959540  14333184         0
01:12:05 PM 237945276 237320940  25814828      9.79        24   9650624  73241112     26.91   2959080  14345800         0
01:12:07 PM 237930372 237305740  25829732      9.79        24   9650744  73230700     26.91   2958504  14361880         0
01:12:09 PM 237917144 237291996  25842960      9.80        24   9650036  73188540     26.89   2957456  14375776         0
01:12:11 PM 237940980 237315704  25819124      9.79        24   9612512  73192284     26.89   2957236  14352436         0
01:12:13 PM 237925868 237300436  25834236      9.79        24   9612008  73247252     26.91   2956896  14367028         0
01:12:15 PM 237917108 237287144  25842996      9.80        24   9608572  73224144     26.91   2947884  14386460         0
01:12:17 PM 237895592 237265124  25864512      9.81        24   9615424  73203900     26.90   2946900  14408664         0
01:12:19 PM 237871648 237238260  25888456      9.82        24   9625160  73217744     26.90   2940972  14437700         0
01:12:21 PM 237851016 237216772  25909088      9.82        24   9631856  73239164     26.91   2939260  14459540         0
01:12:23 PM 237838300 237203716  25921804      9.83        24   9631196  73220904     26.90   2938468  14473396         0
01:12:25 PM 237825240 237190472  25934864      9.83        24   9630652  73235068     26.91   2938080  14486932         0
01:12:27 PM 237813672 237177736  25946432      9.84        24   9628248  73244860     26.91   2935672  14500444         0
01:12:29 PM 237800540 237164356  25959564      9.84        24   9627624  73236268     26.91   2935248  14514632         0
01:12:31 PM 237792236 237153592  25967868      9.85        24   9622788  73253304     26.92   2930380  14528664         0
01:12:33 PM 237802428 237151148  25957676      9.84        24   9597652  73245112     26.91   2905072  14543748         0
01:12:35 PM 237789704 237138312  25970400      9.85        24   9596916  73201596     26.90   2904824  14555420         0
