Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:55:59 AM     all      3.53      0.00      2.94      0.00      0.00     93.53
11:56:01 AM     all      1.44      0.00      1.68      0.00      0.00     96.88
11:56:03 AM     all      3.02      0.00      1.41      0.00      0.00     95.57
11:56:05 AM     all      4.21      0.00      1.66      0.00      0.00     94.13
11:56:07 AM     all      3.20      0.00      3.25      0.05      0.00     93.50
11:56:09 AM     all      5.37      0.00      1.81      0.00      0.00     92.82
11:56:11 AM     all      5.10      0.00      1.63      0.00      0.00     93.27
11:56:13 AM     all     22.69      0.00      7.01      0.19      0.00     70.11
11:56:15 AM     all      3.64      0.00      3.97      0.06      0.00     92.32
11:56:17 AM     all      6.20      0.00      1.28      0.05      0.00     92.47
11:56:19 AM     all      5.88      0.00      0.70      0.00      0.00     93.42
11:56:21 AM     all      6.10      0.00      0.92      0.00      0.00     92.98
11:56:23 AM     all      9.04      0.00      1.58      0.00      0.00     89.38
11:56:25 AM     all     10.18      0.00      1.39      0.00      0.00     88.43
11:56:27 AM     all     10.45      0.00      1.55      0.00      0.00     88.00
11:56:29 AM     all     10.94      0.00      1.88      0.00      0.00     87.18
11:56:31 AM     all     10.11      0.00      1.38      0.00      0.00     88.52
11:56:33 AM     all     10.06      0.00      1.47      0.00      0.00     88.47
11:56:35 AM     all     10.32      0.00      1.50      0.00      0.00     88.18
11:56:37 AM     all     10.80      0.00      1.70      0.00      0.00     87.49
11:56:39 AM     all     10.08      0.00      1.47      0.00      0.00     88.45
11:56:41 AM     all     10.19      0.00      1.44      0.00      0.00     88.37
11:56:43 AM     all     10.97      0.00      1.78      0.00      0.00     87.24
11:56:45 AM     all     10.25      0.00      1.50      0.00      0.00     88.25
11:56:47 AM     all     10.21      0.00      1.55      0.00      0.00     88.24
11:56:49 AM     all     10.44      0.00      1.69      0.00      0.00     87.87
11:56:51 AM     all     10.74      0.00      1.52      0.00      0.00     87.74
11:56:53 AM     all     10.18      0.00      1.52      0.00      0.00     88.30
11:56:55 AM     all     10.20      0.00      1.50      0.00      0.00     88.30
11:56:57 AM     all     10.46      0.00      1.78      0.00      0.00     87.76
11:56:59 AM     all     10.29      0.00      1.74      0.00      0.00     87.97
11:57:01 AM     all     10.64      0.00      1.25      0.00      0.00     88.10
11:57:03 AM     all     10.75      0.00      1.77      0.00      0.00     87.48
11:57:05 AM     all     10.19      0.00      1.61      0.00      0.00     88.20
11:57:07 AM     all     10.04      0.00      1.47      0.00      0.00     88.49
11:57:09 AM     all     10.38      0.00      1.55      0.00      0.00     88.07
11:57:11 AM     all     10.80      0.00      1.56      0.00      0.00     87.64
11:57:13 AM     all     10.39      0.00      1.60      0.00      0.00     88.01
11:57:15 AM     all     10.01      0.00      1.38      0.00      0.00     88.61
11:57:17 AM     all     10.13      0.00      1.39      0.00      0.00     88.48
11:57:19 AM     all     10.41      0.00      1.83      0.00      0.00     87.76
11:57:21 AM     all      9.99      0.00      1.38      0.00      0.00     88.64
11:57:23 AM     all     10.23      0.00      1.72      0.00      0.00     88.05
11:57:25 AM     all     10.40      0.00      1.75      0.00      0.00     87.85
11:57:27 AM     all     10.68      0.00      1.69      0.00      0.00     87.63
11:57:29 AM     all     10.56      0.00      1.61      0.00      0.00     87.83
