[0] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |    10 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   340 / 16384 MB | jgong:python3.10/697568(338M)
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |   340 / 16384 MB | jgong:python3.10/697569(338M)
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   340 / 16384 MB | jgong:python3.10/697568(338M)
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |   340 / 16384 MB | jgong:python3.10/697569(338M)
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   340 / 16384 MB | jgong:python3.10/697568(338M)
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 250 W |   340 / 16384 MB | jgong:python3.10/697569(338M)
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   752 / 16384 MB | jgong:python3.10/697568(750M)
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   34 / 250 W |   752 / 16384 MB | jgong:python3.10/697569(750M)
[0] Tesla P100-PCIE-16GB | 29°C,  ?? %,  95 % (E:   0 %  D:   0 %),   56 / 250 W |  3308 / 16384 MB | jgong:python3.10/697568(3304M)
[1] Tesla P100-PCIE-16GB | 29°C,  ?? %,  95 % (E:   0 %  D:   0 %),  147 / 250 W |  5778 / 16384 MB | jgong:python3.10/697569(3322M)
[0] Tesla P100-PCIE-16GB | 31°C,  ?? %,  97 % (E:   0 %  D:   0 %),  142 / 250 W |  4474 / 16384 MB | jgong:python3.10/697568(4470M)
[1] Tesla P100-PCIE-16GB | 31°C,  ?? %,  94 % (E:   0 %  D:   0 %),  107 / 250 W |  3886 / 16384 MB | jgong:python3.10/697569(3882M)
[0] Tesla P100-PCIE-16GB | 32°C,  ?? %,  96 % (E:   0 %  D:   0 %),  125 / 250 W |  3352 / 16384 MB | jgong:python3.10/697568(3348M)
[1] Tesla P100-PCIE-16GB | 31°C,  ?? %,  96 % (E:   0 %  D:   0 %),  129 / 250 W |  7592 / 16384 MB | jgong:python3.10/697569(7588M)
[0] Tesla P100-PCIE-16GB | 32°C,  ?? %,  96 % (E:   0 %  D:   0 %),  110 / 250 W |  2450 / 16384 MB | jgong:python3.10/697568(2420M)
[1] Tesla P100-PCIE-16GB | 32°C,  ?? %,  98 % (E:   0 %  D:   0 %),  174 / 250 W |  1484 / 16384 MB | jgong:python3.10/697569(1480M)
[0] Tesla P100-PCIE-16GB | 34°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 34°C,  ?? %,  97 % (E:   0 %  D:   0 %),  164 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 35°C,  ?? %,  97 % (E:   0 %  D:   0 %),  160 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 35°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 36°C,  ?? %,  97 % (E:   0 %  D:   0 %),  188 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 35°C,  ?? %,  97 % (E:   0 %  D:   0 %),  175 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 36°C,  ?? %,  97 % (E:   0 %  D:   0 %),  178 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 36°C,  ?? %,  97 % (E:   0 %  D:   0 %),  141 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 38°C,  ?? %,  97 % (E:   0 %  D:   0 %),  156 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 37°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 38°C,  ?? %,  97 % (E:   0 %  D:   0 %),  187 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 37°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 38°C,  ?? %,  97 % (E:   0 %  D:   0 %),  159 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 39°C,  ?? %,  97 % (E:   0 %  D:   0 %),  188 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 39°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 39°C,  ?? %,  97 % (E:   0 %  D:   0 %),  184 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  180 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  155 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 41°C,  ?? %,  97 % (E:   0 %  D:   0 %),  154 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  193 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 41°C,  ?? %,  97 % (E:   0 %  D:   0 %),  188 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 40°C,  ?? %,  97 % (E:   0 %  D:   0 %),  171 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 41°C,  ?? %,  97 % (E:   0 %  D:   0 %),  163 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 41°C,  ?? %,  97 % (E:   0 %  D:   0 %),  188 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  192 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 42°C,  ?? %,  98 % (E:   0 %  D:   0 %),  184 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  178 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 42°C,  ?? %,  97 % (E:   0 %  D:   0 %),  116 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 44°C,  ?? %,  97 % (E:   0 %  D:   0 %),  156 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  199 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 44°C,  ?? %,  97 % (E:   0 %  D:   0 %),  186 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 43°C,  ?? %,  97 % (E:   0 %  D:   0 %),  179 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 44°C,  ?? %,  97 % (E:   0 %  D:   0 %),  167 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 44°C,  ?? %,  97 % (E:   0 %  D:   0 %),  182 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 45°C,  ?? %,  97 % (E:   0 %  D:   0 %),  194 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 45°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 45°C,  ?? %,  97 % (E:   0 %  D:   0 %),  160 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 45°C,  ?? %,  97 % (E:   0 %  D:   0 %),  118 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 46°C,  ?? %,  97 % (E:   0 %  D:   0 %),  158 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 46°C,  ?? %,  97 % (E:   0 %  D:   0 %),  205 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 46°C,  ?? %,  97 % (E:   0 %  D:   0 %),  197 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 46°C,  ?? %,  99 % (E:   0 %  D:   0 %),  180 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 47°C,  ?? %,  97 % (E:   0 %  D:   0 %),  172 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 47°C,  ?? %,  97 % (E:   0 %  D:   0 %),  182 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 47°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  178 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 47°C,  ?? %,  97 % (E:   0 %  D:   0 %),  124 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  125 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  196 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 48°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  177 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  178 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 50°C,  ?? %,  98 % (E:   0 %  D:   0 %),  180 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 49°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 49°C,  ?? %,  99 % (E:   0 %  D:   0 %),  143 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  118 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  198 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  187 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  195 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 51°C,  ?? %,  97 % (E:   0 %  D:   0 %),  187 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 50°C,  ?? %,  97 % (E:   0 %  D:   0 %),  169 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
