jobid: 
node: tbm03
# CPUs: 32
time: Thu Aug 10 11:55:57 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691690157,1,0.0,222672,3052,13367,62
1691690158,1,0.0,222672,3052,0,0
1691690159,1,0.0,222672,3052,0,0
1691690160,1,0.0,222672,3052,0,0
1691690161,1,0.0,222672,3052,0,0
1691690162,1,0.0,222672,3052,0,0
1691690163,1,0.0,222672,3052,0,0
1691690164,1,0.0,222672,3052,0,0
1691690165,1,0.0,222672,3052,0,0
1691690166,1,0.0,222672,3052,0,0
1691690167,1,0.0,222672,3052,0,0
1691690168,1,0.0,222672,3052,0,0
1691690169,1,0.0,222672,3052,0,0
1691690170,1,0.0,222672,3052,0,0
1691690171,1,0.0,222672,3052,0,0
1691690172,1,0.0,222672,3052,0,0
1691690173,1,0.0,222672,3052,0,0
1691690174,1,0.0,222672,3052,0,0
1691690175,1,0.0,222672,3052,0,0
1691690176,1,0.0,222672,3052,0,0
1691690177,1,0.0,222672,3052,0,0
1691690178,1,0.0,222672,3052,0,0
1691690179,1,0.0,222672,3052,0,0
1691690180,1,0.0,222672,3052,0,0
1691690181,1,0.0,222672,3052,0,0
1691690182,1,0.0,222672,3052,0,0
1691690183,1,0.0,222672,3052,0,0
1691690184,1,0.0,222672,3052,0,0
1691690185,1,0.0,222672,3052,0,0
1691690186,1,0.0,222672,3052,0,0
1691690187,1,0.0,222672,3052,0,0
1691690188,1,0.0,222672,3052,0,0
1691690189,1,0.0,222672,3052,0,0
1691690190,1,0.0,222672,3052,0,0
1691690191,1,0.0,222672,3052,0,0
1691690192,1,0.0,222672,3052,0,0
1691690193,1,0.0,222672,3052,0,0
1691690194,1,0.0,222672,3052,0,0
1691690195,1,0.0,222672,3052,0,0
1691690196,1,0.0,222672,3052,0,0
1691690197,1,0.0,222672,3052,0,0
1691690198,1,0.0,222672,3052,0,0
1691690199,1,0.0,222672,3052,0,0
1691690200,1,0.0,222672,3052,0,0
1691690201,1,0.0,222672,3052,0,0
1691690202,1,0.0,222672,3052,0,0
1691690203,1,0.0,222672,3052,0,0
1691690204,1,0.0,222672,3052,0,0
1691690205,1,0.0,222672,3052,0,0
1691690206,1,0.0,222672,3052,0,0
1691690207,1,0.0,222672,3052,0,0
1691690208,1,0.0,222672,3052,0,0
1691690209,1,0.0,222672,3052,0,0
1691690210,1,0.0,222672,3052,0,0
1691690211,1,0.0,222672,3052,0,0
1691690212,1,0.0,222672,3052,0,0
1691690213,1,0.0,222672,3052,0,0
1691690214,1,0.0,222672,3052,0,0
1691690215,1,0.0,222672,3052,0,0
1691690216,1,0.0,222672,3052,0,0
1691690217,1,0.0,222672,3052,0,0
1691690218,1,0.0,222672,3052,0,0
1691690219,1,0.0,222672,3052,0,0
1691690220,1,0.0,222672,3052,0,0
1691690221,1,0.0,222672,3052,0,0
1691690222,1,0.0,222672,3052,0,0
1691690223,1,0.0,222672,3052,0,0
1691690224,1,0.0,222672,3052,0,0
1691690225,1,0.0,222672,3052,0,0
1691690226,1,0.0,222672,3052,0,0
1691690227,1,0.0,222672,3052,0,0
1691690228,1,0.0,222672,3052,0,0
1691690229,1,0.0,222672,3052,0,0
1691690230,1,0.0,222672,3052,0,0
1691690231,1,0.0,222672,3052,0,0
1691690232,1,0.0,222672,3052,0,0
1691690233,1,0.0,222672,3052,0,0
1691690234,1,0.0,222672,3052,0,0
1691690235,1,0.0,222672,3052,0,0
1691690236,1,0.0,222672,3052,0,0
1691690237,1,0.0,222672,3052,0,0
1691690238,1,0.0,222672,3052,0,0
1691690239,1,0.0,222672,3052,0,0
1691690240,1,0.0,222672,3052,0,0
1691690241,1,0.0,222672,3052,0,0
1691690242,1,0.0,222672,3052,0,0
1691690243,1,0.0,222672,3052,0,0
1691690244,1,0.0,222672,3052,0,0
1691690245,1,0.0,222672,3052,0,0
1691690246,1,0.0,222672,3052,0,0
1691690247,1,0.0,222672,3052,0,0
1691690248,1,0.0,222672,3052,0,0
1691690249,1,0.0,222672,3052,0,0
1691690250,1,0.0,222672,3052,0,0
1691690251,1,0.0,222672,3052,0,0
1691690252,1,0.0,222672,3052,0,0
1691690253,1,0.0,222672,3052,0,0
1691690254,1,0.0,222672,3052,0,0
1691690255,1,0.0,222672,3052,0,0
1691690256,1,0.0,222672,3052,0,0
1691690257,1,0.0,222672,3052,0,0
1691690258,1,0.0,222672,3052,0,0
1691690259,1,0.0,222672,3052,0,0
1691690260,1,0.0,222672,3052,0,0
1691690261,1,0.0,222672,3052,0,0
1691690262,1,0.0,222672,3052,0,0
1691690263,1,0.0,222672,3052,0,0
1691690264,1,0.0,222672,3052,0,0
1691690265,1,0.0,222672,3052,0,0
1691690266,1,0.0,222672,3052,0,0
1691690267,1,0.0,222672,3052,0,0
1691690268,1,0.0,222672,3052,0,0
1691690269,1,0.0,222672,3052,0,0
1691690270,1,0.0,222672,3052,0,0
1691690271,1,0.0,222672,3052,0,0
1691690272,1,0.0,222672,3052,0,0
1691690273,1,0.0,222672,3052,0,0
1691690274,1,0.0,222672,3052,0,0
1691690275,1,0.0,222672,3052,0,0
1691690276,1,0.0,222672,3052,0,0
1691690277,1,0.0,222672,3052,0,0
1691690278,1,0.0,222672,3052,0,0
1691690279,1,0.0,222672,3052,0,0
1691690280,1,0.0,222672,3052,0,0
1691690281,1,0.0,222672,3052,0,0
1691690282,1,0.0,222672,3052,0,0
1691690283,1,0.0,222672,3052,0,0
1691690284,1,0.0,222672,3052,0,0
1691690285,1,0.0,222672,3052,0,0
1691690286,1,0.0,222672,3052,0,0
1691690287,1,0.0,222672,3052,0,0
1691690288,1,0.0,222672,3052,0,0
1691690289,1,0.0,222672,3052,0,0
1691690290,1,0.0,222672,3052,0,0
1691690291,1,0.0,222672,3052,0,0
1691690292,1,0.0,222672,3052,0,0
1691690293,1,0.0,222672,3052,0,0
1691690294,1,0.0,222672,3052,0,0
