Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:55:59 AM 503098356 503917392  24415716      4.63        24  11645108  16819760      3.14   3287300  13521084        32
11:56:01 AM 503059676 503881024  24454396      4.64        24  11647432  16809492      3.14   3289564  13557372        32
11:56:03 AM 502926464 503748092  24587608      4.66        24  11647724  17604920      3.29   3289960  13689172         0
11:56:05 AM 502699684 503523896  24814388      4.70        24  11650304  17799544      3.32   3292336  13911276         0
11:56:07 AM 501054096 502006148  26459976      5.02        24  11800220  19060852      3.56   3419596  15167132         0
11:56:09 AM 500683624 501636372  26830448      5.09        24  11914292  19364232      3.61   3420196  15528544         0
11:56:11 AM 500399120 501351872  27114952      5.14        24  11914292  19753460      3.69   3420184  15813872         0
11:56:13 AM 496848928 497815164  30665144      5.81        24  13452228  70161752     13.09   3431856  19164104         0
11:56:15 AM 495239228 496320960  32274844      6.12        24  14202236  71656200     13.37   3543436  20602928         0
11:56:17 AM 495147908 496245520  32366164      6.14        24  14225220  71786560     13.40   3558728  20678216         0
11:56:19 AM 495141572 496239332  32372500      6.14        24  14225356  71786560     13.40   3558880  20683716         0
11:56:21 AM 495139260 496237040  32374812      6.14        24  14225372  71813104     13.40   3558904  20686228         0
11:56:23 AM 495116788 496215420  32397284      6.14        24  14226428  71744212     13.39   3559640  20706540         0
11:56:25 AM 495094040 496192692  32420032      6.15        24  14230288  71668060     13.37   3559592  20724292         0
11:56:27 AM 495092452 496191304  32421620      6.15        24  14226260  71665364     13.37   3559600  20730768         0
11:56:29 AM 495039780 496138692  32474292      6.16        24  14264072  71625392     13.37   3559620  20783116         0
11:56:31 AM 495067548 496166332  32446524      6.15        24  14226256  71609920     13.36   3559604  20755648         0
11:56:33 AM 495022828 496121748  32491244      6.16        24  14263728  71783700     13.39   3559628  20800640         0
11:56:35 AM 495048468 496147396  32465604      6.15        24  14226088  71612700     13.36   3559604  20774872         0
11:56:37 AM 495039716 496138616  32474356      6.16        24  14226428  71658228     13.37   3559596  20782572         0
11:56:39 AM 494995628 496094552  32518444      6.16        24  14262040  71752980     13.39   3559612  20827052         0
11:56:41 AM 495025956 496124864  32488116      6.16        24  14226088  71859600     13.41   3559588  20796772         0
11:56:43 AM 494978716 496077568  32535356      6.17        24  14263728  71793564     13.40   3559644  20843732         0
11:56:45 AM 495011556 496110384  32502516      6.16        24  14226088  71901176     13.42   3559588  20811684         0
11:56:47 AM 495004648 496103484  32509424      6.16        24  14226432  71858300     13.41   3559620  20817752         0
11:56:49 AM 494972404 496071224  32541668      6.17        24  14253304  71818264     13.40   3559588  20851096         0
11:56:51 AM 494992076 496090984  32521996      6.17        24  14226092  71772792     13.39   3559612  20830684         0
11:56:53 AM 494947552 496046500  32566520      6.17        24  14263732  71861948     13.41   3559628  20875432         0
11:56:55 AM 494978488 496077380  32535584      6.17        24  14226088  71575980     13.36   3559596  20844340         0
11:56:57 AM 494971764 496070592  32542308      6.17        24  14226444  71628136     13.37   3559608  20850348         0
11:56:59 AM 494932820 496031816  32581252      6.18        24  14258196  71694688     13.38   3559608  20889588         0
11:57:01 AM 494955972 496055016  32558100      6.17        24  14226268  71722628     13.38   3559592  20866312         0
11:57:03 AM 494907340 496006296  32606732      6.18        24  14263740  71532084     13.35   3559632  20914440         0
11:57:05 AM 494941148 496040196  32572924      6.17        24  14226096  71783568     13.39   3559588  20880488         0
11:57:07 AM 494932276 496031420  32581796      6.18        24  14226444  71599472     13.36   3559616  20890044         0
11:57:09 AM 494919444 496018668  32594628      6.18        24  14233328  71670300     13.37   3559612  20901972         0
