Linux 4.18.0-477.13.1.el8_8.x86_64 (b525) 	06/30/2023 	_x86_64_	(56 CPU)

01:26:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:26:44 PM     all      1.21      0.00      3.19      0.00      0.00     95.60
01:26:46 PM     all      0.60      0.00      0.38      0.00      0.00     99.03
01:26:48 PM     all      2.06      0.00      0.77      0.00      0.00     97.17
01:26:50 PM     all      1.08      0.00      1.41      0.00      0.00     97.51
01:26:52 PM     all      2.08      0.00      1.09      0.00      0.00     96.83
01:26:54 PM     all      2.08      0.00      0.57      0.00      0.00     97.35
01:26:56 PM     all      1.81      0.00      0.84      0.00      0.00     97.35
01:26:58 PM     all     22.33      0.00      1.78      0.13      0.00     75.76
01:27:00 PM     all     16.42      0.00      8.85      0.01      0.00     74.71
01:27:02 PM     all      1.79      0.00      1.50      0.09      0.00     96.62
01:27:04 PM     all      5.03      0.00      1.47      0.00      0.00     93.50
01:27:06 PM     all      8.25      0.00      2.35      0.00      0.00     89.40
01:27:08 PM     all      8.20      0.00      2.38      0.00      0.00     89.43
01:27:10 PM     all      8.04      0.00      2.28      0.00      0.00     89.68
01:27:12 PM     all      8.15      0.00      2.35      0.00      0.00     89.50
01:27:14 PM     all      8.16      0.00      2.28      0.00      0.00     89.56
01:27:16 PM     all      8.43      0.00      2.23      0.00      0.00     89.34
01:27:18 PM     all      8.14      0.00      2.30      0.00      0.00     89.56
01:27:20 PM     all      8.17      0.00      2.38      0.00      0.00     89.45
01:27:22 PM     all      8.59      0.00      2.19      0.00      0.00     89.22
01:27:24 PM     all      8.22      0.00      2.30      0.00      0.00     89.47
01:27:26 PM     all      8.61      0.00      2.76      0.00      0.00     88.63
01:27:28 PM     all      8.16      0.00      2.29      0.00      0.00     89.56
01:27:30 PM     all      8.22      0.00      2.50      0.00      0.00     89.28
01:27:32 PM     all      8.22      0.00      2.38      0.00      0.00     89.40
01:27:34 PM     all      8.51      0.00      2.38      0.00      0.00     89.11
01:27:36 PM     all      8.22      0.00      2.35      0.00      0.00     89.43
01:27:38 PM     all      8.26      0.00      2.29      0.00      0.00     89.44
01:27:40 PM     all      8.45      0.00      2.36      0.00      0.00     89.19
01:27:42 PM     all      8.27      0.00      2.31      0.00      0.00     89.42
