Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

03:27:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:27:23 PM     all      1.31      0.00      1.38      0.00      0.00     97.31
03:27:25 PM     all      0.66      0.00      0.49      0.00      0.00     98.85
03:27:27 PM     all      1.45      0.00      0.59      0.00      0.00     97.95
03:27:29 PM     all      1.13      0.00      1.30      0.00      0.00     97.57
03:27:31 PM     all      1.54      0.00      0.89      0.00      0.00     97.57
03:27:33 PM     all      1.54      0.00      0.54      0.00      0.00     97.91
03:27:35 PM     all      1.58      0.00      0.51      0.00      0.00     97.91
03:27:37 PM     all      7.13      0.00      1.03      0.01      0.00     91.84
03:27:39 PM     all     15.48      0.00      4.21      0.00      0.00     80.31
03:27:41 PM     all     13.63      0.00      5.82      0.00      0.00     80.54
03:27:43 PM     all      1.46      0.00      1.50      0.01      0.00     97.03
03:27:45 PM     all      4.00      0.00      0.99      0.00      0.00     95.02
03:27:47 PM     all      6.30      0.00      1.57      0.00      0.00     92.14
03:27:49 PM     all      6.50      0.00      1.64      0.00      0.00     91.86
03:27:51 PM     all      6.41      0.00      1.51      0.00      0.00     92.08
03:27:53 PM     all      6.16      0.00      1.49      0.00      0.00     92.34
03:27:55 PM     all      6.33      0.00      1.55      0.00      0.00     92.12
03:27:57 PM     all      6.76      0.00      1.55      0.00      0.00     91.69
03:27:59 PM     all      6.74      0.00      1.62      0.00      0.00     91.64
03:28:01 PM     all      6.36      0.00      1.56      0.00      0.00     92.08
03:28:03 PM     all      6.36      0.00      1.45      0.00      0.00     92.19
03:28:05 PM     all      6.37      0.00      1.56      0.00      0.00     92.07
03:28:07 PM     all      6.53      0.00      1.54      0.00      0.00     91.93
03:28:09 PM     all      6.49      0.00      1.73      0.00      0.00     91.78
03:28:11 PM     all      6.86      0.00      1.67      0.00      0.00     91.47
03:28:13 PM     all      6.37      0.00      1.56      0.00      0.00     92.06
03:28:15 PM     all      6.41      0.00      1.48      0.00      0.00     92.11
03:28:17 PM     all      6.50      0.00      1.52      0.00      0.00     91.98
03:28:19 PM     all      6.55      0.00      1.78      0.00      0.00     91.68
03:28:21 PM     all      6.50      0.00      1.46      0.00      0.00     92.05
03:28:23 PM     all      6.30      0.00      1.54      0.00      0.00     92.16
03:28:25 PM     all      6.35      0.00      1.52      0.00      0.00     92.13
03:28:27 PM     all      6.55      0.00      1.55      0.00      0.00     91.90
03:28:29 PM     all      6.79      0.00      1.85      0.00      0.00     91.36
03:28:31 PM     all      6.22      0.00      1.53      0.00      0.00     92.25
03:28:33 PM     all      6.74      0.00      1.75      0.00      0.00     91.52
03:28:35 PM     all      6.37      0.00      1.53      0.00      0.00     92.10
03:28:37 PM     all      6.52      0.00      1.71      0.00      0.00     91.77
03:28:39 PM     all      6.88      0.00      1.81      0.00      0.00     91.31
03:28:41 PM     all      6.34      0.00      1.56      0.00      0.00     92.10
03:28:43 PM     all      6.34      0.00      1.60      0.00      0.00     92.06
03:28:45 PM     all      6.20      0.00      1.54      0.00      0.00     92.26
03:28:47 PM     all      6.35      0.00      1.59      0.00      0.00     92.06
03:28:49 PM     all      6.28      0.00      1.69      0.00      0.00     92.02
03:28:51 PM     all      6.51      0.00      1.77      0.00      0.00     91.71
03:28:53 PM     all      6.96      0.00      1.82      0.00      0.00     91.22
03:28:55 PM     all      6.91      0.00      1.77      0.00      0.00     91.32
03:28:57 PM     all      6.46      0.00      1.62      0.00      0.00     91.92
03:28:59 PM     all      6.45      0.00      1.81      0.00      0.00     91.74
03:29:01 PM     all      6.49      0.00      1.61      0.00      0.00     91.89
03:29:03 PM     all      6.69      0.00      1.66      0.00      0.00     91.64
03:29:05 PM     all      6.21      0.00      1.59      0.00      0.00     92.20
03:29:07 PM     all      6.34      0.00      1.54      0.00      0.00     92.11
03:29:09 PM     all      6.50      0.00      1.68      0.00      0.00     91.82
03:29:11 PM     all      6.77      0.00      1.65      0.00      0.00     91.59
03:29:13 PM     all      6.31      0.00      1.53      0.00      0.00     92.15
03:29:15 PM     all      6.53      0.00      1.63      0.00      0.00     91.84
03:29:17 PM     all      6.31      0.00      1.57      0.00      0.00     92.12
03:29:19 PM     all      6.40      0.00      1.68      0.00      0.00     91.92
03:29:21 PM     all      6.58      0.00      1.59      0.00      0.00     91.83
03:29:23 PM     all      6.31      0.00      1.65      0.00      0.00     92.04
03:29:25 PM     all      6.32      0.00      1.52      0.00      0.00     92.16
03:29:27 PM     all      6.03      0.00      1.63      0.00      0.00     92.33
03:29:29 PM     all      6.62      0.00      1.80      0.00      0.00     91.58
03:29:31 PM     all      6.46      0.00      1.50      0.00      0.00     92.04
03:29:33 PM     all      6.37      0.00      1.59      0.00      0.00     92.04
03:29:35 PM     all      6.34      0.00      1.51      0.00      0.00     92.15
03:29:37 PM     all      6.43      0.00      1.64      0.00      0.00     91.93
03:29:39 PM     all      6.95      0.00      1.93      0.00      0.00     91.12
03:29:41 PM     all      6.04      0.00      1.50      0.00      0.00     92.46
03:29:43 PM     all      6.27      0.00      1.61      0.00      0.00     92.12
03:29:45 PM     all      6.60      0.00      1.54      0.00      0.00     91.86
