[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   27 / 165 W |     0 / 24576 MB |
[1] NVIDIA A30 | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   28 / 165 W |     0 / 24576 MB |
[0] NVIDIA A30 | 25°C,  ?? %,   2 % (E:   0 %  D:   0 %),   30 / 165 W |   271 / 24576 MB | jgong:python3.10/2042268(268M)
[1] NVIDIA A30 | 25°C,  ?? %,   2 % (E:   0 %  D:   0 %),   30 / 165 W |   271 / 24576 MB | jgong:python3.10/2042269(268M)
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 165 W |   347 / 24576 MB | jgong:python3.10/2042268(344M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 165 W |   347 / 24576 MB | jgong:python3.10/2042269(344M)
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |   347 / 24576 MB | jgong:python3.10/2042268(344M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 165 W |   347 / 24576 MB | jgong:python3.10/2042269(344M)
[0] NVIDIA A30 | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 165 W |   347 / 24576 MB | jgong:python3.10/2042268(344M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 165 W |   347 / 24576 MB | jgong:python3.10/2042269(344M)
[0] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 165 W |   599 / 24576 MB | jgong:python3.10/2042268(596M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   31 / 165 W |   599 / 24576 MB | jgong:python3.10/2042269(596M)
[0] NVIDIA A30 | 25°C,  ?? %,   1 % (E:   0 %  D:   0 %),   30 / 165 W |   707 / 24576 MB | jgong:python3.10/2042268(700M)
[1] NVIDIA A30 | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   46 / 165 W |   707 / 24576 MB | jgong:python3.10/2042269(700M)
[0] NVIDIA A30 | 29°C,  ?? %,  96 % (E:   0 %  D:   0 %),  130 / 165 W |  6003 / 24576 MB | jgong:python3.10/2042268(5294M)
[1] NVIDIA A30 | 30°C,  ?? %, 100 % (E:   0 %  D:   0 %),   64 / 165 W |  6147 / 24576 MB | jgong:python3.10/2042269(6140M)
[0] NVIDIA A30 | 34°C,  ?? %,  96 % (E:   0 %  D:   0 %),  174 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 33°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 35°C,  ?? %,  98 % (E:   0 %  D:   0 %),  170 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 33°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 35°C,  ?? %,  98 % (E:   0 %  D:   0 %),  164 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 34°C,  ?? %,  98 % (E:   0 %  D:   0 %),  150 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 36°C,  ?? %,  98 % (E:   0 %  D:   0 %),  170 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 35°C,  ?? %,  98 % (E:   0 %  D:   0 %),  162 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 37°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 35°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 37°C,  ?? %,  97 % (E:   0 %  D:   0 %),  165 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 36°C,  ?? %,  98 % (E:   0 %  D:   0 %),  156 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 39°C,  ?? %,  97 % (E:   0 %  D:   0 %),  108 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 37°C,  ?? %,  98 % (E:   0 %  D:   0 %),  150 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  157 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 37°C,  ?? %,  95 % (E:   0 %  D:   0 %),  163 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  163 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 37°C,  ?? %,  98 % (E:   0 %  D:   0 %),  158 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  109 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 38°C,  ?? %,  97 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
[0] NVIDIA A30 | 41°C,  ?? %,  98 % (E:   0 %  D:   0 %),  156 / 165 W | 10673 / 24576 MB | jgong:python3.10/2042268(10666M)
[1] NVIDIA A30 | 39°C,  ?? %,  98 % (E:   0 %  D:   0 %),  155 / 165 W | 10653 / 24576 MB | jgong:python3.10/2042269(10646M)
