[0] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[1] Tesla V100-SXM2-32GB | 38°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     0 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 300 W |     0 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     0 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[1] Tesla V100-SXM2-32GB | 38°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     0 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 300 W |     0 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     0 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[1] Tesla V100-SXM2-32GB | 38°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     0 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 300 W |     0 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     0 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[1] Tesla V100-SXM2-32GB | 38°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     0 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     0 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     0 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     0 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 35°C,  ?? %,   1 % (E:   0 %  D:   0 %),   57 / 300 W |   367 / 32768 MB | jgong:python3.10/466630(364M)
[1] Tesla V100-SXM2-32GB | 39°C,  ?? %,   1 % (E:   0 %  D:   0 %),   57 / 300 W |   367 / 32768 MB | jgong:python3.10/466631(364M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     3 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     3 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     3 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |   469 / 32768 MB | jgong:python3.10/466630(466M)
[1] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   57 / 300 W |   469 / 32768 MB | jgong:python3.10/466631(466M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     3 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     3 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     3 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   469 / 32768 MB | jgong:python3.10/466630(466M)
[1] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   469 / 32768 MB | jgong:python3.10/466631(466M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     3 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     3 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 300 W |     3 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     3 / 32768 MB |
[7] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[0] Tesla V100-SXM2-32GB | 35°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   469 / 32768 MB | jgong:python3.10/466630(466M)
[1] Tesla V100-SXM2-32GB | 39°C,  ?? %,   0 % (E:   0 %  D:   0 %),   58 / 300 W |   469 / 32768 MB | jgong:python3.10/466631(466M)
[2] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   43 / 300 W |     3 / 32768 MB |
[3] Tesla V100-SXM2-32GB | 34°C,  ?? %,   0 % (E:   0 %  D:   0 %),   42 / 300 W |     3 / 32768 MB |
[4] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   44 / 300 W |     3 / 32768 MB |
[5] Tesla V100-SXM2-32GB | 36°C,  ?? %,   0 % (E:   0 %  D:   0 %),   45 / 300 W |     3 / 32768 MB |
[6] Tesla V100-SXM2-32GB | 37°C,  ?? %,   0 % (E:   0 %  D:   0 %),   41 / 300 W |     3 / 32768 MB |
