jobid: 
node: b525
# CPUs: 56
time: Fri Jun 30 13:26:42 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1688153202,1,0.0,222672,3016,13257,62
1688153203,1,0.0,222672,3016,0,0
1688153204,1,0.0,222672,3016,0,0
1688153205,1,0.0,222672,3016,0,0
1688153206,1,0.0,222672,3016,0,0
1688153207,1,0.0,222672,3016,0,0
1688153208,1,0.0,222672,3016,0,0
1688153209,1,0.0,222672,3016,0,0
1688153210,1,0.0,222672,3016,0,0
1688153211,1,0.0,222672,3016,0,0
1688153212,1,0.0,222672,3016,0,0
1688153213,1,0.0,222672,3016,0,0
1688153214,1,0.0,222672,3016,0,0
1688153215,1,0.0,222672,3016,0,0
1688153216,1,0.0,222672,3016,0,0
1688153217,1,0.0,222672,3016,0,0
1688153218,1,0.0,222672,3016,0,0
1688153219,1,0.0,222672,3016,0,0
1688153220,1,0.0,222672,3016,0,0
1688153221,1,0.0,222672,3016,0,0
1688153222,1,0.0,222672,3016,0,0
1688153223,1,0.0,222672,3016,0,0
1688153224,1,0.0,222672,3016,0,0
1688153225,1,0.0,222672,3016,0,0
1688153226,1,0.0,222672,3016,0,0
1688153227,1,0.0,222672,3016,0,0
1688153228,1,0.0,222672,3016,0,0
1688153229,1,0.0,222672,3016,0,0
1688153230,1,0.0,222672,3016,0,0
1688153231,1,0.0,222672,3016,0,0
1688153232,1,0.0,222672,3016,0,0
1688153233,1,0.0,222672,3016,0,0
1688153234,1,0.0,222672,3016,0,0
1688153235,1,0.0,222672,3016,0,0
1688153236,1,0.0,222672,3016,0,0
1688153237,1,0.0,222672,3016,0,0
1688153238,1,0.0,222672,3016,0,0
1688153239,1,0.0,222672,3016,0,0
1688153240,1,0.0,222672,3016,0,0
1688153241,1,0.0,222672,3016,0,0
1688153242,1,0.0,222672,3016,0,0
1688153243,1,0.0,222672,3016,0,0
1688153244,1,0.0,222672,3016,0,0
1688153245,1,0.0,222672,3016,0,0
1688153246,1,0.0,222672,3016,0,0
1688153247,1,0.0,222672,3016,0,0
1688153248,1,0.0,222672,3016,0,0
1688153249,1,0.0,222672,3016,0,0
1688153250,1,0.0,222672,3016,0,0
1688153251,1,0.0,222672,3016,0,0
1688153252,1,0.0,222672,3016,0,0
1688153253,1,0.0,222672,3016,0,0
1688153254,1,0.0,222672,3016,0,0
1688153255,1,0.0,222672,3016,0,0
1688153256,1,0.0,222672,3016,0,0
1688153257,1,0.0,222672,3016,0,0
1688153258,1,0.0,222672,3016,0,0
1688153259,1,0.0,222672,3016,0,0
1688153260,1,0.0,222672,3016,0,0
1688153261,1,0.0,222672,3016,0,0
1688153262,1,0.0,222672,3016,0,0
1688153263,1,0.0,222672,3016,0,0
1688153264,1,0.0,222672,3016,0,0
1688153265,1,0.0,222672,3016,0,0
1688153266,1,0.0,222672,3016,0,0
1688153267,1,0.0,222672,3016,0,0
1688153268,1,0.0,222672,3016,0,0
1688153269,1,0.0,222672,3016,0,0
1688153270,1,0.0,222672,3016,0,0
1688153271,1,0.0,222672,3016,0,0
1688153272,1,0.0,222672,3016,0,0
1688153273,1,0.0,222672,3016,0,0
1688153274,1,0.0,222672,3016,0,0
1688153275,1,0.0,222672,3016,0,0
1688153276,1,0.0,222672,3016,0,0
1688153277,1,0.0,222672,3016,0,0
1688153278,1,0.0,222672,3016,0,0
1688153279,1,0.0,222672,3016,0,0
1688153280,1,0.0,222672,3016,0,0
1688153281,1,0.0,222672,3016,0,0
1688153282,1,0.0,222672,3016,0,0
1688153283,1,0.0,222672,3016,0,0
1688153284,1,0.0,222672,3016,0,0
1688153285,1,0.0,222672,3016,0,0
1688153286,1,0.0,222672,3016,0,0
1688153287,1,0.0,222672,3016,0,0
1688153288,1,0.0,222672,3016,0,0
1688153289,1,0.0,222672,3016,0,0
1688153290,1,0.0,222672,3016,0,0
1688153291,1,0.0,222672,3016,0,0
1688153292,1,0.0,222672,3016,0,0
1688153293,1,0.0,222672,3016,0,0
1688153294,1,0.0,222672,3016,0,0
1688153295,1,0.0,222672,3016,0,0
1688153296,1,0.0,222672,3016,0,0
1688153297,1,0.0,222672,3016,0,0
1688153298,1,0.0,222672,3016,0,0
1688153299,1,0.0,222672,3016,0,0
1688153300,1,0.0,222672,3016,0,0
1688153301,1,0.0,222672,3016,0,0
1688153302,1,0.0,222672,3016,0,0
1688153303,1,0.0,222672,3016,0,0
1688153304,1,0.0,222672,3016,0,0
