jobid: 
node: tdgx01
# CPUs: 80
time: Tue Aug  8 15:27:21 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691530041,1,0.0,222672,3000,13257,62
1691530042,1,0.0,222672,3000,0,0
1691530043,1,0.0,222672,3000,0,0
1691530044,1,0.0,222672,3000,0,0
1691530045,1,0.0,222672,3000,0,0
1691530046,1,0.0,222672,3000,0,0
1691530047,1,0.0,222672,3000,0,0
1691530048,1,0.0,222672,3000,0,0
1691530049,1,0.0,222672,3000,0,0
1691530050,1,0.0,222672,3000,0,0
1691530051,1,0.0,222672,3000,0,0
1691530052,1,0.0,222672,3000,0,0
1691530053,1,0.0,222672,3000,0,0
1691530054,1,0.0,222672,3000,0,0
1691530055,1,0.0,222672,3000,0,0
1691530056,1,0.0,222672,3000,0,0
1691530057,1,0.0,222672,3000,0,0
1691530058,1,0.0,222672,3000,0,0
1691530059,1,0.0,222672,3000,0,0
1691530060,1,0.0,222672,3000,0,0
1691530061,1,0.0,222672,3000,0,0
1691530062,1,0.0,222672,3000,0,0
1691530063,1,0.0,222672,3000,0,0
1691530064,1,0.0,222672,3000,0,0
1691530065,1,0.0,222672,3000,0,0
1691530066,1,0.0,222672,3000,0,0
1691530067,1,0.0,222672,3000,0,0
1691530068,1,0.0,222672,3000,0,0
1691530069,1,0.0,222672,3000,0,0
1691530070,1,0.0,222672,3000,0,0
1691530071,1,0.0,222672,3000,0,0
1691530072,1,0.0,222672,3000,0,0
1691530073,1,0.0,222672,3000,0,0
1691530074,1,0.0,222672,3000,0,0
1691530075,1,0.0,222672,3000,0,0
1691530076,1,0.0,222672,3000,0,0
1691530077,1,0.0,222672,3000,0,0
1691530078,1,0.0,222672,3000,0,0
1691530079,1,0.0,222672,3000,0,0
1691530080,1,0.0,222672,3000,0,0
1691530081,1,0.0,222672,3000,0,0
1691530082,1,0.0,222672,3000,0,0
1691530083,1,0.0,222672,3000,0,0
1691530084,1,0.0,222672,3000,0,0
1691530085,1,0.0,222672,3000,0,0
1691530086,1,0.0,222672,3000,0,0
1691530087,1,0.0,222672,3000,0,0
1691530088,1,0.0,222672,3000,0,0
1691530089,1,0.0,222672,3000,0,0
1691530090,1,0.0,222672,3000,0,0
1691530091,1,0.0,222672,3000,0,0
1691530092,1,0.0,222672,3000,0,0
1691530093,1,0.0,222672,3000,0,0
1691530094,1,0.0,222672,3000,0,0
1691530095,1,0.0,222672,3000,0,0
1691530096,1,0.0,222672,3000,0,0
1691530097,1,0.0,222672,3000,0,0
1691530098,1,0.0,222672,3000,0,0
1691530099,1,0.0,222672,3000,0,0
1691530100,1,0.0,222672,3000,0,0
1691530101,1,0.0,222672,3000,0,0
1691530102,1,0.0,222672,3000,0,0
1691530103,1,0.0,222672,3000,0,0
1691530104,1,0.0,222672,3000,0,0
1691530105,1,0.0,222672,3000,0,0
1691530106,1,0.0,222672,3000,0,0
1691530107,1,0.0,222672,3000,0,0
1691530108,1,0.0,222672,3000,0,0
1691530109,1,0.0,222672,3000,0,0
1691530110,1,0.0,222672,3000,0,0
1691530111,1,0.0,222672,3000,0,0
1691530112,1,0.0,222672,3000,0,0
1691530113,1,0.0,222672,3000,0,0
1691530114,1,0.0,222672,3000,0,0
1691530115,1,0.0,222672,3000,0,0
1691530116,1,0.0,222672,3000,0,0
1691530117,1,0.0,222672,3000,0,0
1691530118,1,0.0,222672,3000,0,0
1691530119,1,0.0,222672,3000,0,0
1691530120,1,0.0,222672,3000,0,0
1691530121,1,0.0,222672,3000,0,0
1691530122,1,0.0,222672,3000,0,0
1691530123,1,0.0,222672,3000,0,0
1691530124,1,0.0,222672,3000,0,0
1691530125,1,0.0,222672,3000,0,0
1691530126,1,0.0,222672,3000,0,0
1691530127,1,0.0,222672,3000,0,0
1691530128,1,0.0,222672,3000,0,0
1691530129,1,0.0,222672,3000,0,0
1691530130,1,0.0,222672,3000,0,0
1691530131,1,0.0,222672,3000,0,0
1691530132,1,0.0,222672,3000,0,0
1691530133,1,0.0,222672,3000,0,0
1691530134,1,0.0,222672,3000,0,0
1691530135,1,0.0,222672,3000,0,0
1691530136,1,0.0,222672,3000,0,0
1691530137,1,0.0,222672,3000,0,0
1691530138,1,0.0,222672,3000,0,0
1691530139,1,0.0,222672,3000,0,0
1691530140,1,0.0,222672,3000,0,0
1691530141,1,0.0,222672,3000,0,0
1691530142,1,0.0,222672,3000,0,0
1691530143,1,0.0,222672,3000,0,0
1691530144,1,0.0,222672,3000,0,0
1691530145,1,0.0,222672,3000,0,0
1691530146,1,0.0,222672,3000,0,0
1691530147,1,0.0,222672,3000,0,0
1691530148,1,0.0,222672,3000,0,0
1691530149,1,0.0,222672,3000,0,0
1691530150,1,0.0,222672,3000,0,0
1691530151,1,0.0,222672,3000,0,0
1691530152,1,0.0,222672,3000,0,0
1691530153,1,0.0,222672,3000,0,0
1691530154,1,0.0,222672,3000,0,0
1691530155,1,0.0,222672,3000,0,0
1691530156,1,0.0,222672,3000,0,0
1691530157,1,0.0,222672,3000,0,0
1691530158,1,0.0,222672,3000,0,0
1691530159,1,0.0,222672,3000,0,0
1691530160,1,0.0,222672,3000,0,0
1691530161,1,0.0,222672,3000,0,0
1691530162,1,0.0,222672,3000,0,0
1691530163,1,0.0,222672,3000,0,0
1691530164,1,0.0,222672,3000,0,0
1691530165,1,0.0,222672,3000,0,0
1691530166,1,0.0,222672,3000,0,0
1691530167,1,0.0,222672,3000,0,0
1691530168,1,0.0,222672,3000,0,0
1691530169,1,0.0,222672,3000,0,0
1691530170,1,0.0,222672,3000,0,0
1691530171,1,0.0,222672,3000,0,0
1691530172,1,0.0,222672,3000,0,0
1691530173,1,0.0,222672,3000,0,0
1691530174,1,0.0,222672,3000,0,0
1691530175,1,0.0,222672,3000,0,0
1691530176,1,0.0,222672,3000,0,0
1691530177,1,0.0,222672,3000,0,0
1691530178,1,0.0,222672,3000,0,0
1691530179,1,0.0,222672,3000,0,0
1691530180,1,0.0,222672,3000,0,0
1691530181,1,0.0,222672,3000,0,0
1691530182,1,0.0,222672,3000,0,0
1691530183,1,0.0,222672,3000,0,0
1691530184,1,0.0,222672,3000,0,0
1691530185,1,0.0,222672,3000,0,0
1691530186,1,0.0,222672,3000,0,0
1691530187,1,0.0,222672,3000,0,0
1691530188,1,0.0,222672,3000,0,0
1691530189,1,0.0,222672,3000,0,0
1691530190,1,0.0,222672,3000,0,0
1691530191,1,0.0,222672,3000,0,0
1691530192,1,0.0,222672,3000,0,0
