Linux 4.18.0-477.13.1.el8_8.x86_64 (b525) 	06/30/2023 	_x86_64_	(56 CPU)

01:26:42 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:26:44 PM 246172212 246472772  17587892      6.67        56   8393940  16779728      6.17   3836764   5868024         0
01:26:46 PM 246125208 246428404  17634896      6.69        56   8396364  16854924      6.19   3839152   5911780         0
01:26:48 PM 245840088 246143628  17920016      6.79        56   8396668  17826288      6.55   3839688   6193876         0
01:26:50 PM 245091568 245445276  18668536      7.08        56   8467040  18303064      6.73   3889084   6647964         0
01:26:52 PM 243806608 244215820  19953496      7.57        56   8637648  19517984      7.17   3944312   7865828         0
01:26:54 PM 243560292 243969492  20199812      7.66        56   8637648  19816460      7.28   3944312   8110000         0
01:26:56 PM 243334824 243744200  20425280      7.74        56   8637648  20063968      7.37   3944304   8336284         0
01:26:58 PM 241718228 242129956  22041876      8.36        56   8640316  71914580     26.42   3946300   9785248         0
01:27:00 PM 235965476 236437108  27794628     10.54        56  12836336  76509392     28.11   4000972  15376576         0
01:27:02 PM 233941128 234577452  29818976     11.31        56  13193020  78201572     28.73   4162488  17217356         0
01:27:04 PM 233862152 234501616  29897952     11.34        56  13217364  78183740     28.73   4165372  17293640         0
01:27:06 PM 233786988 234426664  29973116     11.36        56  13202988  78239852     28.75   4165396  17366696         0
01:27:08 PM 233679368 234318904  30080736     11.40        56  13208700  78282108     28.76   4165380  17475904         0
01:27:10 PM 233684120 234323776  30075984     11.40        56  13206912  78229560     28.75   4165408  17470668         0
01:27:12 PM 233662012 234302212  30098092     11.41        56  13212568  78325232     28.78   4176000  17482936         0
01:27:14 PM 233423252 234062924  30336852     11.50        56  13269296  78439776     28.82   4165392  17730940         0
01:27:16 PM 233578600 234218296  30181504     11.44        56  13229480  78280196     28.76   4165392  17575960         0
01:27:18 PM 233560884 234200612  30199220     11.45        56  13208032  78375920     28.80   4170444  17588484         0
01:27:20 PM 233450204 234089828  30309900     11.49        56  13270416  78355124     28.79   4165396  17705084         0
01:27:22 PM 233487088 234126920  30273016     11.48        56  13202992  78332184     28.78   4165416  17667176         0
