Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

03:27:21 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:27:23 PM 512091856 510274932  16143196      3.06        24   7272424  15302764      2.85   2825084   5241164         0
03:27:25 PM 512037172 510222596  16197880      3.07        24   7275008  15407204      2.87   2827652   5291360         0
03:27:27 PM 511773596 509959280  16461456      3.12        24   7275228  16271936      3.03   2827956   5551800         0
03:27:29 PM 511183392 509370952  17051660      3.23        24   7298884  16391264      3.05   2830996   5702772         0
03:27:31 PM 509606248 507845160  18628804      3.53        24   7482508  17875280      3.33   2932724   7164560         0
03:27:33 PM 509372364 507611516  18862688      3.57        24   7482508  18167096      3.39   2932724   7397528         0
03:27:35 PM 509136308 507375696  19098744      3.62        24   7482508  18379556      3.43   2932724   7632536         0
03:27:37 PM 508616312 506857304  19618740      3.71        24   7484800  59754420     11.14   2934468   7979964         0
03:27:39 PM 504808220 503051504  23426832      4.43        24   8506088  72509828     13.51   2937020  11742540         0
03:27:41 PM 502168992 500441220  26066060      4.93        24  11108416  74691924     13.92   3012808  14240432         0
03:27:43 PM 500463360 498783704  27771692      5.26        24  11964676  76200728     14.20   3080744  15827424         0
03:27:45 PM 500261632 498582888  27973420      5.30        24  12042740  76411444     14.24   3082036  16025160         0
03:27:47 PM 500153572 498474660  28081480      5.32        24  12042740  76510572     14.26   3082036  16132508         0
03:27:49 PM 500199716 498521236  28035336      5.31        24  12042740  76404820     14.24   3082040  16084816         0
03:27:51 PM 500218112 498539684  28016940      5.30        24  11976212  76372016     14.23   3082040  16066944         0
03:27:53 PM 500079572 498401152  28155480      5.33        24  12017024  76488976     14.25   3082044  16203040         0
03:27:55 PM 500104128 498425712  28130924      5.33        24  12043976  76421880     14.24   3082060  16180292         0
03:27:57 PM 500041980 498363716  28193072      5.34        24  12037704  76501780     14.26   3082044  16242140         0
03:27:59 PM 500031540 498353400  28203512      5.34        24  12042744  76448624     14.25   3082044  16251880         0
03:28:01 PM 500038764 498360720  28196288      5.34        24  12037816  76403528     14.24   3082048  16244256         0
03:28:03 PM 500071364 498393524  28163688      5.33        24  11976216  76416924     14.24   3082040  16211724         0
03:28:05 PM 500019836 498341956  28215216      5.34        24  11976440  76366376     14.23   3082056  16263208         0
03:28:07 PM 499884100 498206428  28350952      5.37        24  12034664  76531656     14.26   3082040  16398232         0
03:28:09 PM 499849008 498171392  28386044      5.37        24  12034680  76549048     14.26   3082044  16433116         0
03:28:11 PM 499846072 498168428  28388980      5.37        24  12035800  76509104     14.26   3082052  16435844         0
03:28:13 PM 499753820 498076276  28481232      5.39        24  12042744  76579608     14.27   3082036  16527748         0
03:28:15 PM 499925076 498247516  28309976      5.36        24  11976216  76455468     14.25   3082040  16357520         0
03:28:17 PM 499847668 498170284  28387384      5.37        24  12008856  76496052     14.26   3082048  16434180         0
03:28:19 PM 499782108 498104980  28452944      5.39        24  12043976  76498380     14.26   3082056  16466128         0
03:28:21 PM 499797132 498119896  28437920      5.38        24  12019056  76467124     14.25   3082040  16451284         0
03:28:23 PM 499705328 498028116  28529724      5.40        24  12043016  76560220     14.27   3082048  16542428         0
03:28:25 PM 499785376 498108216  28449676      5.39        24  12010488  76452640     14.25   3082040  16463028         0
03:28:27 PM 499786456 498109516  28448596      5.39        24  11976328  76379460     14.23   3082048  16461268         0
03:28:29 PM 499674932 497998184  28560120      5.41        24  12020588  76480896     14.25   3082036  16572124         0
03:28:31 PM 499621548 497944744  28613504      5.42        24  12029660  76557760     14.27   3082040  16625852         0
03:28:33 PM 499558832 497882344  28676220      5.43        24  12043108  76615544     14.28   3082052  16686540         0
03:28:35 PM 499748920 498072256  28486132      5.39        24  11976460  76456624     14.25   3082068  16498516         0
03:28:37 PM 499685732 498008972  28549320      5.40        24  12019692  76518144     14.26   3125404  16517660         0
03:28:39 PM 499632072 497955628  28602980      5.41        24  12043996  76578048     14.27   3082068  16614592         0
03:28:41 PM 499555460 497878892  28679592      5.43        24  12043544  76642344     14.28   3082068  16691204         0
03:28:43 PM 499606576 497930152  28628476      5.42        24  12042764  76641700     14.28   3082044  16639944         0
03:28:45 PM 499692316 498015964  28542736      5.40        24  12002444  76504200     14.26   3082048  16554336         0
03:28:47 PM 499601076 497924940  28633976      5.42        24  12041756  76538160     14.26   3082056  16645428         0
03:28:49 PM 499651484 497975044  28583568      5.41        24  11988332  76533020     14.26   3082052  16595844         0
03:28:51 PM 499694992 498018692  28540060      5.40        24  11976236  76442680     14.25   3082052  16551848         0
03:28:53 PM 499490592 497814576  28744460      5.44        24  12043152  76659252     14.29   3082108  16755408         0
03:28:55 PM 499476740 497800700  28758312      5.44        24  12043252  76674004     14.29   3082052  16769064         0
03:28:57 PM 499682636 498006520  28552416      5.41        24  11976236  76462944     14.25   3082052  16564228         0
03:28:59 PM 499673196 497997324  28561856      5.41        24  11976236  76434552     14.24   3082048  16572864         0
03:29:01 PM 499633756 497958040  28601296      5.41        24  12010340  76531352     14.26   3082056  16612152         0
03:29:03 PM 499623992 497948384  28611060      5.42        24  12003060  76530800     14.26   3082560  16621772         0
03:29:05 PM 499561068 497885528  28673984      5.43        24  12043040  76547060     14.26   3082048  16684956         0
03:29:07 PM 499566692 497891268  28668360      5.43        24  12042764  76615164     14.28   3082048  16679220         0
03:29:09 PM 499649444 497974112  28585608      5.41        24  11989340  76428920     14.24   3082052  16596508         0
03:29:11 PM 499713264 498038468  28521788      5.40        24  11976348  76353192     14.23   3082060  16532492         0
03:29:13 PM 499556440 497881336  28678612      5.43        24  12043368  76581132     14.27   3082052  16688732         0
03:29:15 PM 499572108 497897120  28662944      5.43        24  12041868  76463792     14.25   3082056  16641052         0
03:29:17 PM 499646656 497971944  28588396      5.41        24  11976236  76329348     14.22   3082048  16565652         0
03:29:19 PM 499568968 497894340  28666084      5.43        24  12043996  76432304     14.24   3082068  16642904         0
03:29:21 PM 499484284 497809440  28750768      5.44        24  12003452  76514392     14.26   3082052  16728108         0
03:29:23 PM 499451640 497776836  28783412      5.45        24  12013032  76598836     14.27   3082056  16760208         0
03:29:25 PM 499580600 497905844  28654452      5.42        24  11976240  76475900     14.25   3082056  16631840         0
03:29:27 PM 499564780 497890256  28670272      5.43        24  11976464  76429636     14.24   3082072  16647332         0
03:29:29 PM 499510568 497836120  28724484      5.44        24  12044000  76492220     14.25   3082072  16700684         0
03:29:31 PM 499389056 497714820  28845996      5.46        24  12026136  76628940     14.28   3082052  16821428         0
03:29:33 PM 499389324 497715108  28845728      5.46        24  12002952  76571008     14.27   3082052  16820680         0
03:29:35 PM 499479816 497805508  28755236      5.44        24  11976240  76461080     14.25   3082052  16731292         0
03:29:37 PM 499630260 497955980  28604792      5.42        24  11976240  76339628     14.23   3082052  16581208         0
