Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/08/2023 	_x86_64_	(56 CPU)

02:37:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:37:16 PM     all      1.20      0.00      3.09      0.00      0.00     95.71
02:37:18 PM     all      1.23      0.00      0.51      0.00      0.00     98.26
02:37:20 PM     all      1.20      0.00      0.70      0.00      0.00     98.09
02:37:22 PM     all      0.45      0.00      0.32      0.00      0.00     99.23
02:37:24 PM     all      1.42      0.00      0.24      0.00      0.00     98.34
02:37:26 PM     all      1.87      0.00      0.49      0.00      0.00     97.64
02:37:28 PM     all      1.56      0.00      0.81      0.00      0.00     97.63
02:37:30 PM     all      2.13      0.00      0.31      0.00      0.00     97.55
02:37:32 PM     all      2.15      0.00      0.21      0.00      0.00     97.64
02:37:34 PM     all      1.97      0.00      0.21      0.00      0.00     97.81
02:37:36 PM     all      2.07      0.00      0.20      0.00      0.00     97.73
02:37:38 PM     all      2.38      0.00      0.19      0.00      0.00     97.44
02:37:40 PM     all      2.40      0.00      0.12      0.00      0.00     97.48
02:37:42 PM     all      2.19      0.00      0.26      0.00      0.00     97.56
02:37:44 PM     all      2.25      0.00      0.20      0.00      0.00     97.55
02:37:46 PM     all      2.20      0.00      0.20      0.00      0.00     97.60
02:37:48 PM     all      2.22      0.00      0.19      0.00      0.00     97.59
02:37:50 PM     all      2.85      0.00      0.30      0.00      0.00     96.85
02:37:52 PM     all      3.07      0.00      0.35      0.00      0.00     96.59
02:37:54 PM     all      2.55      0.00      0.41      0.00      0.00     97.04
02:37:56 PM     all      2.84      0.00      0.46      0.00      0.00     96.69
02:37:58 PM     all      2.92      0.00      0.47      0.00      0.00     96.61
02:38:00 PM     all      3.15      0.00      0.48      0.00      0.00     96.36
02:38:02 PM     all      2.35      0.00      0.50      0.00      0.00     97.15
02:38:04 PM     all      2.77      0.00      0.52      0.00      0.00     96.71
02:38:06 PM     all      2.30      0.00      0.60      0.00      0.00     97.10
02:38:08 PM     all      6.39      0.00      5.55      0.00      0.00     88.05
02:38:10 PM     all      1.79      0.00      0.19      0.00      0.00     98.02
02:38:12 PM     all      2.55      0.00      0.14      0.00      0.00     97.31
02:38:14 PM     all      2.14      0.00      0.19      0.00      0.00     97.67
02:38:16 PM     all      2.26      0.00      0.19      0.00      0.00     97.55
02:38:18 PM     all      2.20      0.00      0.18      0.00      0.00     97.62
02:38:20 PM     all      2.18      0.00      0.13      0.00      0.00     97.69
02:38:22 PM     all      2.24      0.00      0.19      0.00      0.00     97.57
02:38:24 PM     all      2.21      0.00      0.19      0.00      0.00     97.60
02:38:26 PM     all      2.14      0.00      0.15      0.00      0.00     97.71
