jobid: 
node: b526
# CPUs: 56
time: Tue Aug  8 14:37:14 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691527034,1,0.0,222672,3124,12795,62
1691527035,1,0.0,222672,3124,0,0
1691527036,1,0.0,222672,3124,0,0
1691527037,1,0.0,222672,3124,0,0
1691527038,1,0.0,222672,3124,0,0
1691527039,1,0.0,222672,3124,0,0
1691527040,1,0.0,222672,3124,0,0
1691527041,1,0.0,222672,3124,0,0
1691527042,1,0.0,222672,3124,0,0
1691527043,1,0.0,222672,3124,0,0
1691527044,1,0.0,222672,3124,0,0
1691527045,1,0.0,222672,3124,0,0
1691527046,1,0.0,222672,3124,0,0
1691527047,1,0.0,222672,3124,0,0
1691527048,1,0.0,222672,3124,0,0
1691527049,1,0.0,222672,3124,0,0
1691527050,1,0.0,222672,3124,0,0
1691527051,1,0.0,222672,3124,0,0
1691527052,1,0.0,222672,3124,0,0
1691527053,1,0.0,222672,3124,0,0
1691527054,1,0.0,222672,3124,0,0
1691527055,1,0.0,222672,3124,0,0
1691527056,1,0.0,222672,3124,0,0
1691527057,1,0.0,222672,3124,0,0
1691527058,1,0.0,222672,3124,0,0
1691527059,1,0.0,222672,3124,0,0
1691527060,1,0.0,222672,3124,0,0
1691527061,1,0.0,222672,3124,0,0
1691527062,1,0.0,222672,3124,0,0
1691527063,1,0.0,222672,3124,0,0
1691527064,1,0.0,222672,3124,0,0
1691527065,1,0.0,222672,3124,0,0
1691527066,1,0.0,222672,3124,0,0
1691527067,1,0.0,222672,3124,0,0
1691527068,1,0.0,222672,3124,0,0
1691527069,1,0.0,222672,3124,0,0
1691527070,1,0.0,222672,3124,0,0
1691527071,1,0.0,222672,3124,0,0
1691527072,1,0.0,222672,3124,0,0
1691527073,1,0.0,222672,3124,0,0
1691527074,1,0.0,222672,3124,0,0
1691527075,1,0.0,222672,3124,0,0
1691527076,1,0.0,222672,3124,0,0
1691527077,1,0.0,222672,3124,0,0
1691527078,1,0.0,222672,3124,0,0
1691527079,1,0.0,222672,3124,0,0
1691527080,1,0.0,222672,3124,0,0
1691527081,1,0.0,222672,3124,0,0
1691527082,1,0.0,222672,3124,0,0
1691527083,1,0.0,222672,3124,0,0
1691527084,1,0.0,222672,3124,0,0
1691527085,1,0.0,222672,3124,0,0
1691527086,1,0.0,222672,3124,0,0
1691527087,1,0.0,222672,3124,0,0
1691527088,1,0.0,222672,3124,0,0
1691527089,1,0.0,222672,3124,0,0
1691527090,1,0.0,222672,3124,0,0
1691527091,1,0.0,222672,3124,0,0
1691527092,1,0.0,222672,3124,0,0
1691527093,1,0.0,222672,3124,0,0
1691527094,1,0.0,222672,3124,0,0
1691527095,1,0.0,222672,3124,0,0
1691527096,1,0.0,222672,3124,0,0
1691527097,1,0.0,222672,3124,0,0
1691527098,1,0.0,222672,3124,0,0
1691527099,1,0.0,222672,3124,0,0
1691527100,1,0.0,222672,3124,0,0
1691527101,1,0.0,222672,3124,0,0
1691527102,1,0.0,222672,3124,0,0
1691527103,1,0.0,222672,3124,0,0
1691527104,1,0.0,222672,3124,0,0
1691527105,1,0.0,222672,3124,0,0
1691527106,1,0.0,222672,3124,0,0
1691527107,1,0.0,222672,3124,0,0
1691527108,1,0.0,222672,3124,0,0
1691527109,1,0.0,222672,3124,0,0
1691527110,1,0.0,222672,3124,0,0
1691527111,1,0.0,222672,3124,0,0
1691527112,1,0.0,222672,3124,0,0
1691527113,1,0.0,222672,3124,0,0
1691527114,1,0.0,222672,3124,0,0
1691527115,1,0.0,222672,3124,0,0
1691527116,1,0.0,222672,3124,0,0
1691527117,1,0.0,222672,3124,0,0
1691527118,1,0.0,222672,3124,0,0
1691527119,1,0.0,222672,3124,0,0
1691527120,1,0.0,222672,3124,0,0
1691527121,1,0.0,222672,3124,0,0
1691527122,1,0.0,222672,3124,0,0
1691527123,1,0.0,222672,3124,0,0
1691527124,1,0.0,222672,3124,0,0
1691527125,1,0.0,222672,3124,0,0
1691527126,1,0.0,222672,3124,0,0
1691527127,1,0.0,222672,3124,0,0
1691527128,1,0.0,222672,3124,0,0
1691527129,1,0.0,222672,3124,0,0
1691527130,1,0.0,222672,3124,0,0
1691527131,1,0.0,222672,3124,0,0
1691527132,1,0.0,222672,3124,0,0
1691527133,1,0.0,222672,3124,0,0
1691527134,1,0.0,222672,3124,0,0
1691527135,1,0.0,222672,3124,0,0
1691527136,1,0.0,222672,3124,0,0
1691527137,1,0.0,222672,3124,0,0
1691527138,1,0.0,222672,3124,0,0
1691527139,1,0.0,222672,3124,0,0
1691527140,1,0.0,222672,3124,0,0
1691527141,1,0.0,222672,3124,0,0
1691527142,1,0.0,222672,3124,0,0
1691527143,1,0.0,222672,3124,0,0
1691527144,1,0.0,222672,3124,0,0
1691527145,1,0.0,222672,3124,0,0
1691527146,1,0.0,222672,3124,0,0
1691527147,1,0.0,222672,3124,0,0
1691527148,1,0.0,222672,3124,0,0
1691527149,1,0.0,222672,3124,0,0
1691527150,1,0.0,222672,3124,0,0
1691527151,1,0.0,222672,3124,0,0
1691527152,1,0.0,222672,3124,0,0
1691527153,1,0.0,222672,3124,0,0
1691527154,1,0.0,222672,3124,0,0
1691527155,1,0.0,222672,3124,0,0
1691527156,1,0.0,222672,3124,0,0
1691527157,1,0.0,222672,3124,0,0
1691527158,1,0.0,222672,3124,0,0
1691527159,1,0.0,222672,3124,0,0
1691527160,1,0.0,222672,3124,0,0
1691527161,1,0.0,222672,3124,0,0
1691527162,1,0.0,222672,3124,0,0
1691527163,1,0.0,222672,3124,0,0
1691527164,1,0.0,222672,3124,0,0
1691527165,1,0.0,222672,3124,0,0
1691527166,1,0.0,222672,3124,0,0
1691527167,1,0.0,222672,3124,0,0
1691527168,1,0.0,222672,3124,0,0
1691527169,1,0.0,222672,3124,0,0
1691527170,1,0.0,222672,3124,0,0
1691527171,1,0.0,222672,3124,0,0
1691527172,1,0.0,222672,3124,0,0
1691527173,1,0.0,222672,3124,0,0
1691527174,1,0.0,222672,3124,0,0
1691527175,1,0.0,222672,3124,0,0
1691527176,1,0.0,222672,3124,0,0
1691527177,1,0.0,222672,3124,0,0
1691527178,1,0.0,222672,3124,0,0
1691527179,1,0.0,222672,3124,0,0
1691527180,1,0.0,222672,3124,0,0
1691527181,1,0.0,222672,3124,0,0
1691527182,1,0.0,222672,3124,0,0
1691527183,1,0.0,222672,3124,0,0
1691527184,1,0.0,222672,3124,0,0
1691527185,1,0.0,222672,3124,0,0
1691527186,1,0.0,222672,3124,0,0
1691527187,1,0.0,222672,3124,0,0
1691527188,1,0.0,222672,3124,0,0
1691527189,1,0.0,222672,3124,0,0
1691527190,1,0.0,222672,3124,0,0
1691527191,1,0.0,222672,3124,0,0
1691527192,1,0.0,222672,3124,0,0
1691527193,1,0.0,222672,3124,0,0
