[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     2 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 26°C,  ?? %,   3 % (E:   0 %  D:   0 %),   30 / 250 W |   396 / 16384 MB | jgong:python/420896(394M)
[1] Tesla P100-PCIE-16GB | 25°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     2 / 16384 MB |
