jobid: 
node: tdgx01
# CPUs: 80
time: Tue Aug  8 15:33:57 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691530438,1,0.0,222672,3084,0,0
1691530439,1,0.0,222672,3084,0,0
1691530440,1,0.0,222672,3084,0,0
1691530441,1,0.0,222672,3084,0,0
1691530442,1,0.0,222672,3084,0,0
1691530443,1,0.0,222672,3084,0,0
1691530444,1,0.0,222672,3084,0,0
1691530445,1,0.0,222672,3084,0,0
1691530446,1,0.0,222672,3084,0,0
1691530447,1,0.0,222672,3084,0,0
1691530448,1,0.0,222672,3084,0,0
1691530449,1,0.0,222672,3084,0,0
1691530450,1,0.0,222672,3084,0,0
1691530451,1,0.0,222672,3084,0,0
1691530452,1,0.0,222672,3084,0,0
1691530453,1,0.0,222672,3084,0,0
1691530454,1,0.0,222672,3084,0,0
1691530455,1,0.0,222672,3084,0,0
1691530456,1,0.0,222672,3084,0,0
1691530457,1,0.0,222672,3084,0,0
1691530458,1,0.0,222672,3084,0,0
1691530459,1,0.0,222672,3084,0,0
1691530460,1,0.0,222672,3084,0,0
1691530461,1,0.0,222672,3084,0,0
1691530462,1,0.0,222672,3084,0,0
1691530463,1,0.0,222672,3084,0,0
1691530464,1,0.0,222672,3084,0,0
1691530465,1,0.0,222672,3084,0,0
1691530466,1,0.0,222672,3084,0,0
1691530467,1,0.0,222672,3084,0,0
1691530468,1,0.0,222672,3084,0,0
1691530469,1,0.0,222672,3084,0,0
1691530470,1,0.0,222672,3084,0,0
1691530471,1,0.0,222672,3084,0,0
1691530472,1,0.0,222672,3084,0,0
1691530473,1,0.0,222672,3084,0,0
1691530474,1,0.0,222672,3084,0,0
1691530475,1,0.0,222672,3084,0,0
1691530476,1,0.0,222672,3084,0,0
1691530477,1,0.0,222672,3084,0,0
1691530478,1,0.0,222672,3084,0,0
1691530479,1,0.0,222672,3084,0,0
1691530480,1,0.0,222672,3084,0,0
1691530481,1,0.0,222672,3084,0,0
1691530482,1,0.0,222672,3084,0,0
1691530483,1,0.0,222672,3084,0,0
1691530484,1,0.0,222672,3084,0,0
1691530485,1,0.0,222672,3084,0,0
1691530486,1,0.0,222672,3084,0,0
1691530487,1,0.0,222672,3084,0,0
1691530488,1,0.0,222672,3084,0,0
1691530489,1,0.0,222672,3084,0,0
1691530490,1,0.0,222672,3084,0,0
1691530491,1,0.0,222672,3084,0,0
1691530492,1,0.0,222672,3084,0,0
1691530493,1,0.0,222672,3084,0,0
1691530494,1,0.0,222672,3084,0,0
1691530495,1,0.0,222672,3084,0,0
1691530496,1,0.0,222672,3084,0,0
1691530497,1,0.0,222672,3084,0,0
1691530498,1,0.0,222672,3084,0,0
1691530499,1,0.0,222672,3084,0,0
1691530500,1,0.0,222672,3084,0,0
1691530501,1,0.0,222672,3084,0,0
1691530502,1,0.0,222672,3084,0,0
1691530503,1,0.0,222672,3084,0,0
1691530504,1,0.0,222672,3084,0,0
1691530505,1,0.0,222672,3084,0,0
1691530506,1,0.0,222672,3084,0,0
1691530507,1,0.0,222672,3084,0,0
1691530508,1,0.0,222672,3084,0,0
1691530509,1,0.0,222672,3084,0,0
1691530510,1,0.0,222672,3084,0,0
1691530511,1,0.0,222672,3084,0,0
1691530512,1,0.0,222672,3084,0,0
1691530513,1,0.0,222672,3084,0,0
1691530514,1,0.0,222672,3084,0,0
1691530515,1,0.0,222672,3084,0,0
1691530516,1,0.0,222672,3084,0,0
1691530517,1,0.0,222672,3084,0,0
1691530518,1,0.0,222672,3084,0,0
1691530519,1,0.0,222672,3084,0,0
1691530520,1,0.0,222672,3084,0,0
1691530521,1,0.0,222672,3084,0,0
1691530522,1,0.0,222672,3084,0,0
1691530523,1,0.0,222672,3084,0,0
1691530524,1,0.0,222672,3084,0,0
1691530525,1,0.0,222672,3084,0,0
1691530526,1,0.0,222672,3084,0,0
1691530527,1,0.0,222672,3084,0,0
1691530528,1,0.0,222672,3084,0,0
1691530529,1,0.0,222672,3084,0,0
1691530530,1,0.0,222672,3084,0,0
1691530531,1,0.0,222672,3084,0,0
1691530532,1,0.0,222672,3084,0,0
1691530533,1,0.0,222672,3084,0,0
1691530534,1,0.0,222672,3084,0,0
1691530535,1,0.0,222672,3084,0,0
