Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/08/2023 	_x86_64_	(32 CPU)

03:19:17 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:19:19 PM 474160736 509648216  53353336     10.11        24  46402120  15660988      2.92  38036408   9027744         0
03:19:21 PM 474139180 509631368  53374892     10.12        24  46406412  15790776      2.95  38040704   9044360         0
03:19:23 PM 473960600 509535880  53553472     10.15        24  46488640  16175304      3.02  38122768   9138152         0
03:19:25 PM 473896880 509477740  53617192     10.16        24  46492740  16304472      3.04  38126892   9194044         0
03:19:27 PM 473749936 509340448  53764136     10.19        24  46501008  16369300      3.05  38135168   9257144         8
03:19:29 PM 473407700 509030344  54106372     10.26        24  46542728  16466832      3.07  38166588   9457176         0
03:19:31 PM 472709016 508423008  54805056     10.39        24  46633748  17185096      3.21  38257688  10062388         0
03:19:33 PM 472673500 508389876  54840572     10.40        24  46636132  17314076      3.23  38259980  10094948         0
03:19:35 PM 472571116 508289480  54942956     10.42        24  46662636  17378876      3.24  38261928  10194648         0
03:19:37 PM 471921448 507673716  55592624     10.54        24  46821972  17739152      3.31  38295580  10691932         0
03:19:39 PM 471004480 506879436  56509592     10.71        24  46951248  17810344      3.32  38417564  11479556         0
03:19:41 PM 470900452 506779088  56613620     10.73        24  46979516  17942012      3.35  38421276  11578348         0
03:19:43 PM 470860904 506741148  56653168     10.74        24  46981112  18006404      3.36  38422840  11616420         0
03:19:45 PM 470891808 506774728  56622264     10.73        24  46983780  18006404      3.36  38425556  11582388         0
03:19:47 PM 470861776 506746356  56652296     10.74        24  46985428  18006404      3.36  38427176  11611068         0
03:19:49 PM 470894700 506781484  56619372     10.73        24  46987676  18006404      3.36  38429380  11575464         0
03:19:51 PM 470866552 506755116  56647520     10.74        24  46989396  18070796      3.37  38431124  11601476         0
03:19:53 PM 470894204 506784968  56619868     10.73        24  46991592  18025580      3.36  38433348  11571164         0
03:19:55 PM 470869384 506761636  56644688     10.74        24  46993072  17957132      3.35  38434828  11595076         0
03:19:57 PM 470900984 506795176  56613088     10.73        24  46995032  18076104      3.37  38436728  11560696         0
03:19:59 PM 470839968 506735628  56674104     10.74        24  46996520  18121044      3.38  38438208  11618968         0
03:20:01 PM 470896756 506794668  56617316     10.73        24  46998732  18152808      3.39  38440484  11561012         0
03:20:03 PM 470856512 506755776  56657560     10.74        24  47000076  18217200      3.40  38441836  11599960         0
03:20:05 PM 470913964 506815680  56600108     10.73        24  47002516  18073516      3.37  38444272  11540384         0
03:20:07 PM 470675628 506585588  56838444     10.77        24  47035320  18284632      3.41  38452440  11769048         0
03:20:09 PM 470586368 506503784  56927704     10.79        24  47042712  18351012      3.42  38459880  11850952         0
03:20:11 PM 470468792 506392984  57045280     10.81        24  47049496  18436772      3.44  38466604  11960804         0
03:20:13 PM 470401104 506331764  57112968     10.83        24  47055956  18522532      3.46  38473080  12022192         0
03:20:15 PM 470327112 506263028  57186960     10.84        24  47061160  18526316      3.46  38478312  12091140         0
03:20:17 PM 470060996 506001612  57453076     10.89        24  47065864  18863728      3.52  38483008  12350120         0
03:20:19 PM 470005372 505950816  57508700     10.90        24  47070664  18968176      3.54  38487844  12400724         0
03:20:21 PM 470105792 506055876  57408280     10.88        24  47075288  18731928      3.50  38492452  12297156         0
03:20:23 PM 470030948 505986080  57483124     10.90        24  47080364  18800536      3.51  38497488  12366216         0
03:20:25 PM 469976200 505935720  57537872     10.91        24  47084692  18851992      3.52  38501852  12417596         0
03:20:27 PM 469885440 505848400  57628632     10.92        24  47088152  19370068      3.61  38505300  12502204         0
03:20:29 PM 464343508 500307676  63170564     11.98        24  47089352  26585924      4.96  38506544  18031684         0
03:20:31 PM 469457736 505422024  58056336     11.01        24  47089492  19353516      3.61  38506656  12929712         0
03:20:33 PM 470725864 506691512  56788208     10.77        24  47090848  18086028      3.37  38507980  11662516         0
03:20:35 PM 470813992 506781108  56700080     10.75        24  47092280  18054520      3.37  38509472  11573048         0
03:20:37 PM 470766936 506736612  56747136     10.76        24  47094848  17989564      3.36  38512004  11616916         0
03:20:39 PM 470779364 506750412  56734708     10.76        24  47096204  17989564      3.36  38513400  11603436         0
03:20:41 PM 470758652 506732136  56755420     10.76        24  47098672  17989564      3.36  38515816  11621760         0
03:20:43 PM 470794204 506768836  56719868     10.75        24  47099780  17921148      3.34  38516972  11585476         0
03:20:45 PM 470759624 506736840  56754448     10.76        24  47102352  17921148      3.34  38519524  11617520         0
03:20:47 PM 470796016 506774428  56718056     10.75        24  47103540  17921148      3.34  38520728  11579508         0
03:20:49 PM 470755880 506737196  56758192     10.76        24  47106456  17921148      3.34  38523604  11617464         0
03:20:51 PM 470788172 506770728  56725900     10.75        24  47107684  17985552      3.36  38524860  11583656         0
03:20:53 PM 470751488 506736220  56762584     10.76        24  47109856  18050476      3.37  38527052  11617312         0
03:20:55 PM 470782992 506769136  56731080     10.75        24  47111228  18050476      3.37  38528424  11585500         0
03:20:57 PM 470756392 506744572  56757680     10.76        24  47113256  17948200      3.35  38530444  11609532         0
03:20:59 PM 470789468 506779316  56724604     10.75        24  47114924  17727136      3.31  38532116  11573016         0
03:21:01 PM 470636780 506626648  56877292     10.78        24  47114932  17876812      3.34  38532124  11725468         0
03:21:03 PM 470418012 506407884  57096060     10.82        24  47114932  18124092      3.38  38532132  11941968         0
03:21:05 PM 470389744 506379616  57124328     10.83        24  47114932  18127928      3.38  38532124  11972392         0
03:21:07 PM 470303956 506293828  57210116     10.85        24  47114932  18278080      3.41  38532120  12058112         0
03:21:09 PM 470234476 506224348  57279596     10.86        24  47114932  18281840      3.41  38532128  12127056         0
03:21:11 PM 470057580 506047452  57456492     10.89        24  47114932  18606136      3.47  38532116  12303892         0
03:21:13 PM 469912856 505902728  57601216     10.92        24  47114932  18760584      3.50  38532128  12446600         0
03:21:15 PM 470029144 506019016  57484928     10.90        24  47114932  18524548      3.46  38532124  12332800         0
03:21:17 PM 469645892 505635764  57868180     10.97        24  47114932  18920840      3.53  38532124  12714504         0
03:21:19 PM 469908828 505898700  57605244     10.92        24  47114932  18709008      3.49  38532124  12452732         0
