Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

04:08:53 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:08:55 PM 511146840 509669016  17088212      3.23        24   7906740  15143488      2.82   3459896   5231344         0
04:08:57 PM 511018996 509541180  17216056      3.26        24   7906752  15634132      2.91   3459932   5357276         0
04:08:59 PM 510703228 509225424  17531824      3.32        24   7906760  15818644      2.95   3459900   5456720         8
04:09:01 PM 509700140 508222356  18534912      3.51        24   7919048  16741036      3.12   3459932   6348576         0
04:09:03 PM 509702808 508224940  18532244      3.51        24   7919052  16705032      3.11   3459904   6346172         0
04:09:05 PM 509459996 507982128  18775056      3.55        24   7919052  16958972      3.16   3459924   6587064         0
04:09:07 PM 509471076 507993208  18763976      3.55        24   8017332  16965180      3.16   3459932   6574840         0
04:09:09 PM 509325948 507848080  18909104      3.58        24   8017356  17060168      3.18   3459912   6719072         0
04:09:11 PM 509304408 507826540  18930644      3.58        24   8029452  17027316      3.17   3459928   6633316         0
04:09:13 PM 508479692 507001824  19755360      3.74        24   8054028  17660744      3.29   3459920   7236632         0
04:09:15 PM 507677100 506199232  20557952      3.89        24   8078604  18243400      3.40   3459912   7815532         0
04:09:17 PM 506885228 505407360  21349824      4.04        24   8103180  18843368      3.51   3459916   8382368         0
04:09:19 PM 506128668 504650800  22106384      4.18        24   8105420  19069680      3.55   3459932   9134248         0
04:09:21 PM 505111108 503633224  23123944      4.38        24   8414700  19275872      3.59   3459920  10114172         0
04:09:23 PM 504273132 502795248  23961920      4.54        24   8424948  19301804      3.60   3459932  10941696         0
04:09:25 PM 503726640 502248756  24508412      4.64        24   8440320  19355388      3.61   3459920  11478648         0
04:09:27 PM 503204772 501726888  25030280      4.74        24   8455692  19504212      3.63   3459968  11992576         0
04:09:29 PM 503062732 501584836  25172320      4.77        24   8455692  19701600      3.67   3459968  12133544         0
04:09:31 PM 503036948 501559068  25198104      4.77        24   8553996  19760484      3.68   3459964  12152576         0
04:09:33 PM 502931940 501454060  25303112      4.79        24   8553996  19857264      3.70   3459972  12256608         0
04:09:35 PM 503021188 501543308  25213864      4.77        24   8553996  19801920      3.69   3459940  12167800         0
04:09:37 PM 502913668 501435788  25321384      4.79        24   8553996  19897100      3.71   3459964  12274836         0
04:09:39 PM 502997964 501520084  25237088      4.78        24   8553996  19848988      3.70   3459948  12190432         0
