Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

03:33:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:33:59 PM     all      2.28      0.00      2.01      0.00      0.00     95.72
03:34:01 PM     all      1.04      0.00      0.49      0.00      0.00     98.47
03:34:03 PM     all      1.66      0.00      0.73      0.00      0.00     97.61
03:34:05 PM     all      1.87      0.00      0.86      0.00      0.00     97.27
03:34:07 PM     all      1.83      0.00      0.81      0.00      0.00     97.36
03:34:09 PM     all      1.50      0.00      0.92      0.00      0.00     97.58
03:34:11 PM     all      1.14      0.00      0.46      0.00      0.00     98.40
03:34:13 PM     all      2.12      0.00      0.44      0.00      0.00     97.44
03:34:15 PM     all      2.34      0.00      0.74      0.00      0.00     96.92
03:34:17 PM     all      2.26      0.00      0.58      0.00      0.00     97.17
03:34:19 PM     all      2.21      0.00      1.04      0.00      0.00     96.74
03:34:21 PM     all      1.73      0.00      0.93      0.00      0.00     97.34
03:34:23 PM     all      1.68      0.00      1.04      0.00      0.00     97.29
03:34:25 PM     all      1.67      0.00      1.01      0.00      0.00     97.32
03:34:27 PM     all      2.57      0.00      0.99      0.00      0.00     96.43
03:34:29 PM     all      3.88      0.00      2.68      0.00      0.00     93.44
03:34:31 PM     all      2.19      0.00      0.82      0.00      0.00     96.99
03:34:33 PM     all      2.26      0.00      0.76      0.00      0.00     96.98
03:34:35 PM     all      2.13      0.00      0.78      0.00      0.00     97.10
03:34:37 PM     all      2.12      0.00      0.49      0.00      0.00     97.39
03:34:39 PM     all      2.59      0.00      0.73      0.00      0.00     96.67
03:34:41 PM     all      2.07      0.00      0.50      0.00      0.00     97.43
03:34:43 PM     all      2.46      0.00      0.64      0.00      0.00     96.90
03:34:45 PM     all      2.26      0.00      0.64      0.00      0.00     97.11
03:34:47 PM     all      2.59      0.00      0.70      0.00      0.00     96.71
03:34:49 PM     all      2.26      0.00      0.59      0.00      0.00     97.16
03:34:51 PM     all      2.39      0.00      0.61      0.00      0.00     97.00
03:34:53 PM     all      2.21      0.00      0.57      0.00      0.00     97.22
03:34:55 PM     all      2.67      0.00      0.81      0.00      0.00     96.52
03:34:57 PM     all      2.09      0.00      0.51      0.00      0.00     97.41
03:34:59 PM     all      2.77      0.01      0.91      0.00      0.00     96.31
03:35:01 PM     all      2.09      0.00      0.49      0.00      0.00     97.42
03:35:03 PM     all      2.42      0.00      0.61      0.00      0.00     96.97
03:35:05 PM     all      2.16      0.00      0.54      0.00      0.00     97.31
03:35:07 PM     all      2.63      0.00      0.70      0.00      0.00     96.67
03:35:09 PM     all      2.48      0.00      0.63      0.00      0.00     96.90
03:35:11 PM     all      2.21      0.00      0.59      0.00      0.00     97.21
03:35:13 PM     all      2.49      0.00      0.57      0.00      0.00     96.94
03:35:15 PM     all      2.08      0.00      0.53      0.00      0.00     97.39
03:35:17 PM     all      2.45      0.00      0.60      0.00      0.00     96.95
03:35:19 PM     all      2.21      0.00      0.64      0.00      0.00     97.16
03:35:21 PM     all      2.64      0.00      0.74      0.00      0.00     96.61
03:35:23 PM     all      2.12      0.00      0.50      0.00      0.00     97.38
03:35:25 PM     all      2.54      0.00      0.73      0.00      0.00     96.73
03:35:27 PM     all      2.09      0.00      0.53      0.00      0.00     97.37
03:35:29 PM     all      2.70      0.00      0.92      0.00      0.00     96.38
03:35:31 PM     all      2.08      0.00      0.51      0.00      0.00     97.41
03:35:33 PM     all      2.47      0.00      0.59      0.00      0.00     96.94
03:35:35 PM     all      2.05      0.00      0.56      0.00      0.00     97.39
03:35:37 PM     all      2.47      0.00      0.58      0.00      0.00     96.95
03:35:39 PM     all      2.56      0.00      0.68      0.01      0.00     96.75
03:35:41 PM     all      2.08      0.00      0.53      0.00      0.00     97.39
03:35:43 PM     all      2.45      0.00      0.60      0.00      0.00     96.95
03:35:45 PM     all      2.15      0.00      0.60      0.00      0.00     97.25
03:35:47 PM     all      2.45      0.00      0.66      0.00      0.00     96.89
03:35:49 PM     all      2.79      0.00      0.84      0.00      0.00     96.37
03:35:51 PM     all      2.27      0.00      0.74      0.00      0.00     96.99
03:35:53 PM     all      2.49      0.00      0.80      0.00      0.00     96.71
03:35:55 PM     all      2.48      0.00      0.78      0.00      0.00     96.75
03:35:57 PM     all      2.21      0.00      0.74      0.00      0.00     97.05
03:35:59 PM     all      2.74      0.00      1.21      0.00      0.00     96.05
03:36:01 PM     all      2.36      0.00      0.90      0.00      0.00     96.74
03:36:03 PM     all     14.09      0.00      3.22      0.00      0.00     82.69
03:36:05 PM     all     20.64      0.00      1.24      0.00      0.00     78.12
03:36:07 PM     all     24.39      0.00      0.63      0.00      0.00     74.98
03:36:09 PM     all      7.36      0.00      0.93      0.00      0.00     91.71
03:36:11 PM     all      2.06      0.00      0.49      0.00      0.00     97.45
03:36:13 PM     all      2.11      0.00      0.51      0.00      0.00     97.39
03:36:15 PM     all      2.48      0.00      0.54      0.00      0.00     96.99
03:36:17 PM     all      2.13      0.00      0.47      0.00      0.00     97.40
03:36:19 PM     all      2.56      0.00      0.71      0.00      0.00     96.73
03:36:21 PM     all      2.14      0.00      0.44      0.00      0.00     97.41
03:36:23 PM     all      2.43      0.00      0.64      0.00      0.00     96.93
03:36:25 PM     all      2.13      0.00      0.45      0.00      0.00     97.42
03:36:27 PM     all      2.46      0.00      0.61      0.00      0.00     96.94
03:36:29 PM     all      2.34      0.00      0.64      0.00      0.00     97.01
03:36:31 PM     all      2.46      0.00      0.59      0.00      0.00     96.96
03:36:33 PM     all      2.09      0.00      0.49      0.00      0.00     97.41
03:36:35 PM     all      2.45      0.00      0.56      0.00      0.00     96.99
03:36:37 PM     all      2.37      0.00      0.51      0.00      0.00     97.12
03:36:39 PM     all      2.30      0.00      0.72      0.00      0.00     96.98
03:36:41 PM     all      2.49      0.00      0.55      0.00      0.00     96.96
03:36:43 PM     all      2.09      0.00      0.54      0.00      0.00     97.37
03:36:45 PM     all      2.42      0.00      0.58      0.00      0.00     97.00
03:36:47 PM     all      2.09      0.00      0.52      0.00      0.00     97.39
03:36:49 PM     all      2.56      0.00      0.73      0.01      0.00     96.70
03:36:51 PM     all      2.07      0.00      0.52      0.00      0.00     97.41
03:36:53 PM     all      2.44      0.00      0.63      0.00      0.00     96.92
03:36:55 PM     all      2.10      0.00      0.51      0.00      0.00     97.39
03:36:57 PM     all      2.48      0.00      0.56      0.00      0.00     96.96
03:36:59 PM     all      2.27      0.00      0.78      0.00      0.00     96.95
03:37:01 PM     all      2.53      0.00      0.68      0.00      0.00     96.80
03:37:03 PM     all      2.22      0.00      0.66      0.00      0.00     97.12
03:37:05 PM     all      2.43      0.00      0.62      0.00      0.00     96.95
03:37:07 PM     all      2.16      0.00      0.50      0.00      0.00     97.34
03:37:09 PM     all      2.56      0.00      0.74      0.00      0.00     96.70
03:37:11 PM     all      2.49      0.00      0.55      0.00      0.00     96.96
03:37:13 PM     all      2.07      0.00      0.54      0.00      0.00     97.39
03:37:15 PM     all      2.44      0.00      0.60      0.00      0.00     96.96
03:37:17 PM     all      2.08      0.00      0.54      0.00      0.00     97.38
03:37:19 PM     all      2.59      0.00      0.83      0.00      0.00     96.58
03:37:21 PM     all      2.09      0.00      0.46      0.00      0.00     97.44
03:37:23 PM     all      2.45      0.00      0.64      0.00      0.00     96.91
03:37:25 PM     all      2.13      0.00      0.54      0.00      0.00     97.33
03:37:27 PM     all      2.65      0.00      0.69      0.00      0.00     96.65
03:37:29 PM     all      2.77      0.00      0.93      0.00      0.00     96.30
03:37:31 PM     all      2.57      0.00      0.74      0.00      0.00     96.69
03:37:33 PM     all      2.25      0.00      0.72      0.00      0.00     97.03
03:37:35 PM     all      2.43      0.00      0.79      0.00      0.00     96.78
03:37:37 PM     all      2.58      0.00      0.74      0.00      0.00     96.69
03:37:39 PM     all      2.25      0.00      1.00      0.00      0.00     96.75
03:37:41 PM     all      2.38      0.00      0.88      0.00      0.00     96.74
03:37:43 PM     all     16.02      0.00      3.10      0.00      0.00     80.87
03:37:45 PM     all     21.72      0.00      0.87      0.00      0.00     77.41
03:37:47 PM     all     23.94      0.00      0.73      0.00      0.00     75.34
03:37:49 PM     all      2.77      0.00      0.91      0.00      0.00     96.32
03:37:51 PM     all      2.01      0.00      0.56      0.00      0.00     97.43
03:37:53 PM     all      2.08      0.00      0.54      0.00      0.00     97.38
03:37:55 PM     all      2.45      0.00      0.63      0.00      0.00     96.92
03:37:57 PM     all      2.11      0.00      0.51      0.00      0.00     97.39
03:37:59 PM     all      2.63      0.00      0.76      0.00      0.00     96.61
03:38:01 PM     all      2.23      0.00      0.68      0.00      0.00     97.09
03:38:03 PM     all      2.47      0.00      0.55      0.00      0.00     96.98
03:38:05 PM     all      2.35      0.00      0.57      0.00      0.00     97.08
03:38:07 PM     all      2.23      0.00      0.51      0.00      0.00     97.26
03:38:09 PM     all      2.58      0.00      0.70      0.00      0.00     96.72
03:38:11 PM     all      2.06      0.00      0.54      0.00      0.00     97.39
03:38:13 PM     all      2.49      0.00      0.54      0.00      0.00     96.97
03:38:15 PM     all      2.08      0.00      0.51      0.00      0.00     97.41
03:38:17 PM     all      2.49      0.00      0.61      0.00      0.00     96.90
03:38:19 PM     all      2.23      0.00      0.57      0.00      0.00     97.20
03:38:21 PM     all      2.43      0.00      0.62      0.00      0.00     96.95
03:38:23 PM     all      2.10      0.00      0.51      0.00      0.00     97.39
03:38:25 PM     all      2.61      0.00      0.62      0.00      0.00     96.77
03:38:27 PM     all      2.12      0.00      0.49      0.00      0.00     97.39
03:38:29 PM     all      2.46      0.00      0.79      0.00      0.00     96.75
03:38:31 PM     all      2.11      0.00      0.49      0.00      0.00     97.39
03:38:33 PM     all      2.51      0.00      0.54      0.00      0.00     96.95
03:38:35 PM     all      2.08      0.00      0.52      0.00      0.00     97.40
03:38:37 PM     all      2.51      0.00      0.58      0.00      0.00     96.91
03:38:39 PM     all      2.51      0.00      0.74      0.00      0.00     96.75
03:38:41 PM     all      2.26      0.00      0.57      0.00      0.00     97.17
03:38:43 PM     all      2.45      0.00      0.56      0.00      0.00     96.99
03:38:45 PM     all      2.10      0.00      0.51      0.00      0.00     97.39
03:38:47 PM     all      2.43      0.00      0.66      0.00      0.00     96.92
03:38:49 PM     all      2.18      0.00      0.68      0.00      0.00     97.14
03:38:51 PM     all      2.45      0.00      0.58      0.00      0.00     96.98
03:38:53 PM     all      2.11      0.00      0.49      0.00      0.00     97.41
03:38:55 PM     all      2.43      0.00      0.61      0.00      0.00     96.96
03:38:57 PM     all      2.09      0.00      0.51      0.00      0.00     97.40
03:38:59 PM     all      2.61      0.00      0.80      0.00      0.00     96.59
03:39:01 PM     all      2.26      0.00      0.67      0.00      0.00     97.06
03:39:03 PM     all      2.46      0.00      0.57      0.00      0.00     96.97
03:39:05 PM     all      2.34      0.00      0.51      0.00      0.00     97.14
03:39:07 PM     all      2.67      0.00      0.63      0.00      0.00     96.70
03:39:09 PM     all      2.42      0.00      0.90      0.00      0.00     96.68
03:39:11 PM     all      2.48      0.00      0.78      0.00      0.00     96.74
03:39:13 PM     all      2.46      0.00      0.83      0.00      0.00     96.71
03:39:15 PM     all      2.55      0.00      0.74      0.00      0.00     96.71
03:39:17 PM     all      2.13      0.00      0.83      0.00      0.00     97.04
03:39:19 PM     all      2.60      0.00      0.91      0.00      0.00     96.48
03:39:21 PM     all      3.36      0.00      1.17      0.00      0.00     95.47
03:39:23 PM     all     18.93      0.00      3.04      0.00      0.00     78.04
03:39:25 PM     all     24.27      0.00      0.73      0.00      0.00     75.00
03:39:27 PM     all     12.99      0.00      0.78      0.00      0.00     86.23
03:39:29 PM     all      2.36      0.00      0.61      0.00      0.00     97.02
03:39:31 PM     all      2.06      0.00      0.52      0.00      0.00     97.42
03:39:33 PM     all      2.79      0.00      0.98      0.00      0.00     96.24
03:39:35 PM     all      2.15      0.00      0.53      0.00      0.00     97.32
03:39:37 PM     all      2.44      0.00      0.61      0.00      0.00     96.96
03:39:39 PM     all      2.21      0.00      0.62      0.00      0.00     97.17
03:39:41 PM     all      2.41      0.00      0.64      0.00      0.00     96.96
03:39:43 PM     all      2.11      0.00      0.51      0.00      0.00     97.38
03:39:45 PM     all      2.48      0.00      0.59      0.00      0.00     96.92
03:39:47 PM     all      2.13      0.00      0.46      0.00      0.00     97.41
03:39:49 PM     all      2.63      0.00      0.79      0.00      0.00     96.58
03:39:51 PM     all      2.08      0.00      0.52      0.00      0.00     97.40
03:39:53 PM     all      2.45      0.00      0.60      0.00      0.00     96.95
03:39:55 PM     all      2.09      0.00      0.48      0.00      0.00     97.43
03:39:57 PM     all      2.43      0.00      0.60      0.00      0.00     96.97
03:39:59 PM     all      2.22      0.00      0.63      0.00      0.00     97.15
