Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

03:33:57 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
03:33:59 PM 511539920 509884532  16695132      3.16        24   7557212  15143036      2.82   3110376   5232524         0
03:34:01 PM 511527052 509873300  16708000      3.16        24   7560084  15143036      2.82   3113232   5241972         0
03:34:03 PM 511377964 509726080  16857088      3.19        24   7563468  15614724      2.91   3116484   5387176         0
03:34:05 PM 511103404 509455592  17131648      3.24        24   7569120  15693856      2.92   3122132   5436892         8
03:34:07 PM 510832052 509188256  17403000      3.29        24   7587984  15801656      2.94   3128912   5558320         8
03:34:09 PM 510031268 508391504  18203784      3.45        24   7596108  16609724      3.10   3136848   6346900         8
03:34:11 PM 509865416 508228440  18369636      3.48        24   7601688  16760412      3.12   3142412   6507264         0
03:34:13 PM 509744588 508107628  18490464      3.50        24   7601716  16885960      3.15   3142440   6627716         0
03:34:15 PM 509705100 508070660  18529952      3.51        24   7705064  16923516      3.15   3147468   6659648         0
03:34:17 PM 509619632 507985204  18615420      3.52        24   7705084  16984264      3.17   3147492   6744900         0
03:34:19 PM 509430104 507795700  18804948      3.56        24   7717420  16995484      3.17   3147572   6740264         0
03:34:21 PM 508705308 507070904  19529744      3.70        24   7742000  17577000      3.28   3147576   7328464         0
03:34:23 PM 507929428 506295024  20305624      3.84        24   7766576  18132540      3.38   3147576   7880932         0
03:34:25 PM 507153328 505518924  21081724      3.99        24   7791152  18688132      3.48   3147576   8432304         0
03:34:27 PM 506437304 504802936  21797748      4.13        24   7793272  18923828      3.53   3147648   9144140         0
03:34:29 PM 505483332 503848980  22751720      4.31        24   8102588  19227548      3.58   3147672  10059180         0
03:34:31 PM 504637464 503003488  23597588      4.47        24   8113588  19266932      3.59   3148428  10895244         0
03:34:33 PM 504065936 502431960  24169116      4.58        24   8128964  19295792      3.60   3148432  11457624         0
03:34:35 PM 503619192 501985416  24615860      4.66        24   8144792  19295792      3.60   3148776  11894460         0
03:34:37 PM 503359004 501728216  24876048      4.71        24   8150740  19539028      3.64   3154736  12148192         0
03:34:39 PM 503441772 501813444  24793280      4.69        24   8253924  19451288      3.62   3159680  12052684         0
03:34:41 PM 503235896 501607672  24999156      4.73        24   8254148  19665936      3.66   3159908  12258304         0
03:34:43 PM 503303668 501677804  24931384      4.72        24   8258836  19600936      3.65   3164592  12185572         0
03:34:45 PM 503213428 501587572  25021624      4.74        24   8258852  19718388      3.67   3164596  12275308         0
03:34:47 PM 503305620 501682136  24929432      4.72        24   8263596  19599960      3.65   3169476  12178212         0
03:34:49 PM 503208280 501584796  25026772      4.74        24   8263596  19737984      3.68   3169476  12275184         0
03:34:51 PM 503288216 501667336  24946836      4.72        24   8268808  19656984      3.66   3174688  12190376         0
03:34:53 PM 503160792 501539912  25074260      4.75        24   8268808  19790064      3.69   3174712  12316124         0
03:34:55 PM 503267644 501649484  24967408      4.73        24   8274244  19687876      3.67   3180100  12205400         0
03:34:57 PM 503171032 501552872  25064020      4.74        24   8274244  19785076      3.69   3180100  12301928         0
03:34:59 PM 503253592 501638192  24981460      4.73        24   8279796  19704076      3.67   3185664  12213780         0
03:35:01 PM 503149452 501534052  25085600      4.75        24   8279796  19797316      3.69   3185664  12318036         0
03:35:03 PM 503236432 501623464  24998620      4.73        24   8284664  19700744      3.67   3190512  12226452         0
03:35:05 PM 503103388 501490420  25131664      4.76        24   8284664  19846620      3.70   3190520  12358656         0
03:35:07 PM 503222968 501612376  25012084      4.74        24   8289380  19715436      3.67   3195248  12235044         0
03:35:09 PM 503170864 501560272  25064188      4.74        24   8289380  19756860      3.68   3195260  12287044         0
03:35:11 PM 503205488 501597516  25029564      4.74        24   8294620  19717244      3.67   3200452  12247184         0
03:35:13 PM 503394644 501789192  24840408      4.70        24   8299660  19504620      3.63   3205540  12052808         0
03:35:15 PM 503187380 501582064  25047672      4.74        24   8299904  19713196      3.67   3205728  12259804         0
03:35:17 PM 503262232 501659472  24972820      4.73        24   8305012  19654516      3.66   3210848  12179816         0
03:35:19 PM 503169688 501566928  25065364      4.75        24   8305012  19747664      3.68   3210852  12272312         0
03:35:21 PM 503241988 501641712  24993064      4.73        24   8309952  19651832      3.66   3215808  12194956         0
03:35:23 PM 503149080 501548804  25085972      4.75        24   8309952  19740932      3.68   3215832  12287748         0
03:35:25 PM 503228116 501630288  25006936      4.73        24   8314860  19637544      3.66   3220716  12204240         0
03:35:27 PM 503140452 501542624  25094600      4.75        24   8314860  19734744      3.68   3220716  12291828         0
03:35:29 PM 503215836 501620644  25019216      4.74        24   8320136  19693668      3.67   3225964  12210780         0
03:35:31 PM 503122560 501527368  25112492      4.75        24   8320136  19786816      3.69   3225960  12303892         0
03:35:33 PM 503190296 501597804  25044756      4.74        24   8325500  19710728      3.67   3231376  12231020         0
03:35:35 PM 503077380 501484888  25157672      4.76        24   8325500  19827568      3.69   3231376  12343772         0
03:35:37 PM 503173112 501583116  25061940      4.74        24   8330492  19714780      3.67   3236336  12243228         0
03:35:39 PM 503408164 501820524  24826888      4.70        24   8335216  19498104      3.63   3241032  12003444         0
03:35:41 PM 503147908 501560452  25087144      4.75        24   8335572  19743128      3.68   3241416  12263496         0
03:35:43 PM 503229096 501644048  25005956      4.73        24   8340392  19651672      3.66   3246252  12177084         0
03:35:45 PM 503122624 501537584  25112428      4.75        24   8340396  19814136      3.69   3246248  12283672         0
03:35:47 PM 503167560 501585020  25067492      4.75        24   8345396  19750520      3.68   3251236  12233900         0
03:35:49 PM 503084256 501506924  25150796      4.76        24   8453952  19809508      3.69   3261532  12300416         0
03:35:51 PM 502793376 501221592  25441676      4.82        24   8464960  20067796      3.74   3272484  12579976         0
03:35:53 PM 502703424 501136592  25531628      4.83        24   8474864  20177500      3.76   3282408  12660056         0
03:35:55 PM 502509200 500945148  25725852      4.87        24   8480424  20355312      3.79   3288000  12848128         0
03:35:57 PM 502411692 500852748  25823360      4.89        24   8490636  20438524      3.81   3298184  12935372         0
03:35:59 PM 502354720 500800892  25880332      4.90        24   8500856  20501936      3.82   3308472  12980996         0
03:36:01 PM 502027504 500474876  26207548      4.96        24   8503260  20926336      3.90   3310800  13304256         0
03:36:03 PM 496742960 495190364  31492092      5.96        24   8503324  27733880      5.17   3310960  18581200         0
03:36:05 PM 495002784 493450212  33232268      6.29        24   8503368  28141572      5.24   3310944  20317812         0
03:36:07 PM 494795536 493242964  33439516      6.33        24   8503368  28141572      5.24   3310944  20524824         0
03:36:09 PM 501913080 500360572  26321972      4.98        24   8503496  20962440      3.91   3311056  13419804         0
03:36:11 PM 503122988 501573116  25112064      4.75        24   8508796  19724140      3.68   3316260  12207264         0
03:36:13 PM 502944376 501394616  25290676      4.79        24   8508956  19904364      3.71   3316532  12385216         0
03:36:15 PM 503037756 501490344  25197296      4.77        24   8513648  19815264      3.69   3321208  12287560         0
03:36:17 PM 502932952 501385540  25302100      4.79        24   8513648  19932716      3.71   3321208  12392056         0
03:36:19 PM 503016888 501472136  25218164      4.77        24   8518932  19871108      3.70   3326456  12302708         0
03:36:21 PM 502915256 501370504  25319796      4.79        24   8518932  19964256      3.72   3326456  12404204         0
03:36:23 PM 503003876 501461468  25231176      4.78        24   8523616  19871108      3.70   3331176  12311000         0
03:36:25 PM 502902356 501359948  25332696      4.80        24   8523616  19960208      3.72   3331192  12411868         0
03:36:27 PM 502982680 501442648  25252372      4.78        24   8528372  19871108      3.70   3335932  12327304         0
03:36:29 PM 502886312 501346284  25348740      4.80        24   8528372  20002556      3.73   3335932  12422928         0
03:36:31 PM 502969056 501431600  25265996      4.78        24   8533512  19901772      3.71   3341044  12335384         0
03:36:33 PM 502854556 501317100  25380496      4.80        24   8533512  19995012      3.73   3341044  12449744         0
03:36:35 PM 502944072 501409140  25290980      4.79        24   8538564  19925008      3.71   3346100  12355660         0
03:36:37 PM 503180956 501646024  25054096      4.74        24   8538564  19696184      3.67   3346136  12119236         0
03:36:39 PM 502926712 501394268  25308340      4.79        24   8543532  19945260      3.72   3351076  12367752         0
03:36:41 PM 503151272 501621600  25083780      4.75        24   8549076  19696184      3.67   3356648  12138092         0
03:36:43 PM 502912796 501383264  25322256      4.79        24   8549324  19937160      3.72   3356872  12375896         0
03:36:45 PM 503030656 501503352  25204396      4.77        24   8553780  19778656      3.69   3361292  12253620         0
03:36:47 PM 502896480 501369176  25338572      4.80        24   8553780  19922432      3.71   3361292  12388068         0
03:36:49 PM 502984780 501459992  25250272      4.78        24   8558800  19848180      3.70   3366340  12294696         0
03:36:51 PM 502883060 501358272  25351992      4.80        24   8558800  19941328      3.72   3366340  12396168         0
03:36:53 PM 502963148 501440936  25271904      4.78        24   8563956  19864380      3.70   3371488  12311140         0
03:36:55 PM 502868056 501345844  25366996      4.80        24   8563956  19983324      3.72   3371528  12405824         0
03:36:57 PM 502949124 501429732  25285928      4.79        24   8569592  19890328      3.71   3377152  12319260         0
03:36:59 PM 502846132 501326744  25388920      4.81        24   8569592  19954440      3.72   3377160  12420648         0
