Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/08/2023 	_x86_64_	(32 CPU)

03:19:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:19:19 PM     all      2.93      0.00      2.40      0.02      0.00     94.66
03:19:21 PM     all      0.75      0.00      0.42      0.00      0.00     98.83
03:19:23 PM     all      1.69      0.00      0.86      0.00      0.00     97.45
03:19:25 PM     all      1.64      0.00      0.86      0.00      0.00     97.50
03:19:27 PM     all      1.74      0.00      0.92      0.00      0.00     97.34
03:19:29 PM     all      1.19      0.00      1.09      0.00      0.00     97.72
03:19:31 PM     all      1.41      0.00      1.08      0.00      0.00     97.52
03:19:33 PM     all      0.45      0.00      0.22      0.00      0.00     99.33
03:19:35 PM     all      3.37      0.00      0.36      0.00      0.00     96.27
03:19:37 PM     all      2.72      0.00      1.17      0.00      0.00     96.11
03:19:39 PM     all      2.78      0.00      1.16      0.00      0.00     96.06
03:19:41 PM     all      3.49      0.00      0.53      0.00      0.00     95.98
03:19:43 PM     all      3.44      0.00      0.39      0.00      0.00     96.17
03:19:45 PM     all      3.67      0.00      0.55      0.00      0.00     95.78
03:19:47 PM     all      3.36      0.00      0.44      0.00      0.00     96.20
03:19:49 PM     all      3.53      0.00      0.55      0.00      0.00     95.92
03:19:51 PM     all      3.66      0.00      0.31      0.00      0.00     96.03
03:19:53 PM     all      3.71      0.00      0.42      0.00      0.00     95.87
03:19:55 PM     all      3.64      0.00      0.39      0.00      0.00     95.97
03:19:57 PM     all      3.80      0.00      0.45      0.00      0.00     95.75
03:19:59 PM     all      3.66      0.00      0.42      0.00      0.00     95.92
03:20:01 PM     all      3.88      0.00      0.52      0.00      0.00     95.61
03:20:03 PM     all      3.48      0.00      0.38      0.00      0.00     96.14
03:20:05 PM     all      4.00      0.00      0.52      0.00      0.00     95.48
03:20:07 PM     all      3.84      0.00      0.64      0.00      0.00     95.51
03:20:09 PM     all      4.06      0.00      0.64      0.00      0.00     95.30
03:20:11 PM     all      3.50      0.00      0.95      0.00      0.00     95.55
03:20:13 PM     all      3.63      0.00      0.95      0.00      0.00     95.42
03:20:15 PM     all      3.20      0.00      0.91      0.00      0.00     95.89
03:20:17 PM     all      2.92      0.00      1.06      0.00      0.00     96.01
03:20:19 PM     all      2.91      0.00      1.11      0.00      0.00     95.98
03:20:21 PM     all      2.74      0.00      1.14      0.00      0.00     96.12
03:20:23 PM     all      2.71      0.00      1.27      0.00      0.00     96.03
03:20:25 PM     all      2.86      0.00      1.17      0.00      0.00     95.97
03:20:27 PM     all      2.58      0.00      1.34      0.00      0.00     96.08
03:20:29 PM     all     12.65      0.00      7.60      0.02      0.00     79.73
03:20:31 PM     all      2.78      0.00      0.80      0.00      0.00     96.42
03:20:33 PM     all      3.15      0.00      0.39      0.00      0.00     96.45
03:20:35 PM     all      3.72      0.00      0.50      0.00      0.00     95.78
03:20:37 PM     all      3.45      0.00      0.45      0.00      0.00     96.09
03:20:39 PM     all      3.84      0.00      0.47      0.00      0.00     95.69
03:20:41 PM     all      3.49      0.00      0.33      0.00      0.00     96.18
03:20:43 PM     all      4.01      0.00      0.45      0.00      0.00     95.53
03:20:45 PM     all      3.36      0.00      0.31      0.00      0.00     96.32
03:20:47 PM     all      3.78      0.00      0.48      0.00      0.00     95.74
03:20:49 PM     all      3.39      0.00      0.36      0.00      0.00     96.25
03:20:51 PM     all      3.84      0.00      0.47      0.00      0.00     95.69
03:20:53 PM     all      3.49      0.00      0.44      0.00      0.00     96.08
03:20:55 PM     all      3.75      0.00      0.42      0.00      0.00     95.83
03:20:57 PM     all      3.53      0.00      0.33      0.00      0.00     96.14
03:20:59 PM     all      3.77      0.00      0.72      0.00      0.00     95.51
03:21:01 PM     all      4.03      0.00      0.59      0.00      0.00     95.37
03:21:03 PM     all      3.61      0.00      0.67      0.00      0.00     95.72
03:21:05 PM     all      3.33      0.00      0.75      0.00      0.00     95.92
03:21:07 PM     all      3.28      0.00      0.92      0.00      0.00     95.80
03:21:09 PM     all      3.08      0.00      0.94      0.00      0.00     95.98
03:21:11 PM     all      3.72      0.00      0.98      0.00      0.00     95.30
