Linux 4.18.0-477.15.1.el8_8.x86_64 (tdgx01) 	08/08/2023 	_x86_64_	(80 CPU)

04:08:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:08:55 PM     all      1.12      0.00      1.33      0.00      0.00     97.54
04:08:57 PM     all      0.75      0.00      0.26      0.00      0.00     98.99
04:08:59 PM     all      1.08      0.00      0.53      0.00      0.00     98.40
04:09:01 PM     all      0.74      0.00      0.79      0.00      0.00     98.46
04:09:03 PM     all      0.37      0.00      0.52      0.00      0.00     99.11
04:09:05 PM     all      1.11      0.00      0.20      0.00      0.00     98.69
04:09:07 PM     all      1.43      0.00      0.17      0.00      0.00     98.40
04:09:09 PM     all      1.29      0.00      0.17      0.00      0.00     98.54
04:09:11 PM     all      1.40      0.00      0.54      0.00      0.00     98.06
04:09:13 PM     all      0.90      0.00      0.62      0.00      0.00     98.48
04:09:15 PM     all      0.89      0.00      0.62      0.00      0.00     98.49
04:09:17 PM     all      0.87      0.00      0.61      0.00      0.00     98.52
04:09:19 PM     all      1.80      0.00      0.62      0.00      0.00     97.58
04:09:21 PM     all      2.69      0.00      2.08      0.00      0.00     95.24
04:09:23 PM     all      1.33      0.00      0.49      0.00      0.00     98.18
04:09:25 PM     all      1.48      0.00      0.39      0.00      0.00     98.13
04:09:27 PM     all      1.34      0.00      0.41      0.00      0.00     98.26
04:09:29 PM     all      1.26      0.00      0.14      0.00      0.00     98.59
04:09:31 PM     all      1.79      0.00      0.54      0.00      0.00     97.68
04:09:33 PM     all      1.28      0.00      0.14      0.00      0.00     98.59
04:09:35 PM     all      1.55      0.00      0.27      0.00      0.00     98.18
04:09:37 PM     all      1.29      0.00      0.16      0.00      0.00     98.56
04:09:39 PM     all      1.54      0.00      0.29      0.00      0.00     98.17
04:09:41 PM     all      1.44      0.00      0.28      0.00      0.00     98.28
04:09:43 PM     all      1.61      0.00      0.24      0.00      0.00     98.16
04:09:45 PM     all      1.62      0.00      0.28      0.00      0.00     98.11
04:09:47 PM     all      1.24      0.00      0.18      0.00      0.00     98.57
04:09:49 PM     all      1.56      0.00      0.29      0.00      0.00     98.15
04:09:51 PM     all      1.40      0.00      0.31      0.00      0.00     98.29
04:09:53 PM     all      1.57      0.00      0.31      0.00      0.00     98.12
04:09:55 PM     all      1.31      0.00      0.17      0.00      0.00     98.52
04:09:57 PM     all      1.53      0.00      0.21      0.00      0.00     98.25
04:09:59 PM     all      1.31      0.00      0.15      0.00      0.00     98.54
04:10:01 PM     all      1.66      0.00      0.46      0.00      0.00     97.89
04:10:03 PM     all      1.45      0.00      0.34      0.00      0.00     98.21
04:10:05 PM     all      1.61      0.00      0.29      0.00      0.00     98.11
04:10:07 PM     all      1.44      0.00      0.22      0.00      0.00     98.34
04:10:09 PM     all      1.34      0.00      0.23      0.00      0.00     98.43
04:10:11 PM     all      1.68      0.00      0.38      0.00      0.00     97.94
04:10:13 PM     all      1.31      0.00      0.20      0.00      0.00     98.49
04:10:15 PM     all      1.53      0.00      0.26      0.00      0.00     98.21
04:10:17 PM     all      1.31      0.00      0.16      0.00      0.00     98.54
04:10:19 PM     all      1.56      0.00      0.25      0.00      0.00     98.19
04:10:21 PM     all      1.39      0.00      0.31      0.00      0.00     98.29
04:10:23 PM     all      1.56      0.00      0.24      0.00      0.00     98.20
04:10:25 PM     all      1.43      0.00      0.17      0.00      0.00     98.41
04:10:27 PM     all      1.49      0.00      0.24      0.00      0.00     98.27
04:10:29 PM     all      1.57      0.00      0.24      0.00      0.00     98.18
04:10:31 PM     all      1.58      0.00      0.51      0.00      0.00     97.91
04:10:33 PM     all      1.58      0.00      0.26      0.00      0.00     98.16
04:10:35 PM     all      1.28      0.00      0.14      0.00      0.00     98.58
04:10:37 PM     all      1.68      0.00      0.29      0.00      0.00     98.04
04:10:39 PM     all      1.61      0.00      0.39      0.00      0.00     98.00
04:10:41 PM     all      1.72      0.00      0.53      0.00      0.00     97.74
04:10:43 PM     all      1.35      0.00      0.41      0.00      0.00     98.24
04:10:45 PM     all      1.51      0.00      0.47      0.00      0.00     98.02
04:10:47 PM     all      1.49      0.00      0.44      0.00      0.00     98.06
04:10:49 PM     all      1.23      0.00      0.49      0.00      0.00     98.29
04:10:51 PM     all      1.56      0.00      0.73      0.00      0.00     97.71
04:10:53 PM     all     17.66      0.00      3.12      0.00      0.00     79.22
04:10:55 PM     all     24.72      0.00      0.36      0.00      0.00     74.92
04:10:57 PM     all     22.21      0.00      0.44      0.00      0.00     77.34
04:10:59 PM     all      1.20      0.00      0.22      0.00      0.00     98.58
04:11:01 PM     all      1.39      0.00      0.42      0.00      0.00     98.19
04:11:03 PM     all      1.44      0.00      0.38      0.00      0.00     98.19
04:11:05 PM     all      1.54      0.00      0.27      0.00      0.00     98.19
04:11:07 PM     all      1.29      0.00      0.16      0.00      0.00     98.56
04:11:09 PM     all      1.56      0.00      0.23      0.00      0.00     98.22
04:11:11 PM     all      1.69      0.00      0.40      0.00      0.00     97.90
04:11:13 PM     all      1.27      0.00      0.21      0.00      0.00     98.51
04:11:15 PM     all      1.57      0.00      0.28      0.00      0.00     98.15
04:11:17 PM     all      1.29      0.00      0.17      0.00      0.00     98.54
04:11:19 PM     all      1.51      0.00      0.30      0.00      0.00     98.19
04:11:21 PM     all      1.41      0.00      0.29      0.00      0.00     98.31
04:11:23 PM     all      1.53      0.00      0.28      0.00      0.00     98.19
04:11:25 PM     all      1.29      0.00      0.16      0.00      0.00     98.54
04:11:27 PM     all      1.58      0.00      0.28      0.00      0.00     98.15
04:11:29 PM     all      1.26      0.00      0.19      0.00      0.00     98.55
