jobid: 
node: tdgx01
# CPUs: 80
time: Tue Aug  8 16:08:53 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691532533,1,0.0,222672,3144,12795,62
1691532534,1,0.0,222672,3144,0,0
1691532535,1,0.0,222672,3144,0,0
1691532536,1,0.0,222672,3144,0,0
1691532537,1,0.0,222672,3144,0,0
1691532538,1,0.0,222672,3144,0,0
1691532539,1,0.0,222672,3144,0,0
1691532540,1,0.0,222672,3144,0,0
1691532541,1,0.0,222672,3144,0,0
1691532542,1,0.0,222672,3144,0,0
1691532543,1,0.0,222672,3144,0,0
1691532544,1,0.0,222672,3144,0,0
1691532545,1,0.0,222672,3144,0,0
1691532546,1,0.0,222672,3144,0,0
1691532547,1,0.0,222672,3144,0,0
1691532548,1,0.0,222672,3144,0,0
1691532549,1,0.0,222672,3144,0,0
1691532550,1,0.0,222672,3144,0,0
1691532551,1,0.0,222672,3144,0,0
1691532552,1,0.0,222672,3144,0,0
1691532553,1,0.0,222672,3144,0,0
1691532554,1,0.0,222672,3144,0,0
1691532555,1,0.0,222672,3144,0,0
1691532556,1,0.0,222672,3144,0,0
1691532557,1,0.0,222672,3144,0,0
1691532558,1,0.0,222672,3144,0,0
1691532559,1,0.0,222672,3144,0,0
1691532560,1,0.0,222672,3144,0,0
1691532561,1,0.0,222672,3144,0,0
1691532562,1,0.0,222672,3144,0,0
1691532563,1,0.0,222672,3144,0,0
1691532564,1,0.0,222672,3144,0,0
1691532565,1,0.0,222672,3144,0,0
1691532566,1,0.0,222672,3144,0,0
1691532567,1,0.0,222672,3144,0,0
1691532568,1,0.0,222672,3144,0,0
1691532569,1,0.0,222672,3144,0,0
1691532570,1,0.0,222672,3144,0,0
1691532571,1,0.0,222672,3144,0,0
1691532572,1,0.0,222672,3144,0,0
1691532573,1,0.0,222672,3144,0,0
1691532574,1,0.0,222672,3144,0,0
1691532575,1,0.0,222672,3144,0,0
1691532576,1,0.0,222672,3144,0,0
1691532577,1,0.0,222672,3144,0,0
1691532578,1,0.0,222672,3144,0,0
1691532579,1,0.0,222672,3144,0,0
1691532580,1,0.0,222672,3144,0,0
1691532581,1,0.0,222672,3144,0,0
1691532582,1,0.0,222672,3144,0,0
1691532583,1,0.0,222672,3144,0,0
1691532584,1,0.0,222672,3144,0,0
1691532585,1,0.0,222672,3144,0,0
1691532586,1,0.0,222672,3144,0,0
1691532587,1,0.0,222672,3144,0,0
1691532588,1,0.0,222672,3144,0,0
1691532589,1,0.0,222672,3144,0,0
1691532590,1,0.0,222672,3144,0,0
1691532591,1,0.0,222672,3144,0,0
1691532592,1,0.0,222672,3144,0,0
1691532593,1,0.0,222672,3144,0,0
1691532594,1,0.0,222672,3144,0,0
1691532595,1,0.0,222672,3144,0,0
1691532596,1,0.0,222672,3144,0,0
1691532597,1,0.0,222672,3144,0,0
1691532598,1,0.0,222672,3144,0,0
1691532599,1,0.0,222672,3144,0,0
1691532600,1,0.0,222672,3144,0,0
1691532601,1,0.0,222672,3144,0,0
1691532602,1,0.0,222672,3144,0,0
1691532603,1,0.0,222672,3144,0,0
1691532604,1,0.0,222672,3144,0,0
1691532605,1,0.0,222672,3144,0,0
1691532606,1,0.0,222672,3144,0,0
1691532607,1,0.0,222672,3144,0,0
1691532608,1,0.0,222672,3144,0,0
1691532609,1,0.0,222672,3144,0,0
1691532610,1,0.0,222672,3144,0,0
1691532611,1,0.0,222672,3144,0,0
1691532612,1,0.0,222672,3144,0,0
1691532613,1,0.0,222672,3144,0,0
1691532614,1,0.0,222672,3144,0,0
1691532615,1,0.0,222672,3144,0,0
1691532616,1,0.0,222672,3144,0,0
1691532617,1,0.0,222672,3144,0,0
1691532618,1,0.0,222672,3144,0,0
1691532619,1,0.0,222672,3144,0,0
1691532620,1,0.0,222672,3144,0,0
1691532621,1,0.0,222672,3144,0,0
1691532622,1,0.0,222672,3144,0,0
1691532623,1,0.0,222672,3144,0,0
1691532624,1,0.0,222672,3144,0,0
1691532625,1,0.0,222672,3144,0,0
1691532626,1,0.0,222672,3144,0,0
1691532627,1,0.0,222672,3144,0,0
1691532628,1,0.0,222672,3144,0,0
1691532629,1,0.0,222672,3144,0,0
1691532630,1,0.0,222672,3144,0,0
1691532631,1,0.0,222672,3144,0,0
1691532632,1,0.0,222672,3144,0,0
1691532633,1,0.0,222672,3144,0,0
1691532634,1,0.0,222672,3144,0,0
1691532635,1,0.0,222672,3144,0,0
1691532636,1,0.0,222672,3144,0,0
1691532637,1,0.0,222672,3144,0,0
1691532638,1,0.0,222672,3144,0,0
1691532639,1,0.0,222672,3144,0,0
1691532640,1,0.0,222672,3144,0,0
1691532641,1,0.0,222672,3144,0,0
1691532642,1,0.0,222672,3144,0,0
1691532643,1,0.0,222672,3144,0,0
1691532644,1,0.0,222672,3144,0,0
1691532645,1,0.0,222672,3144,0,0
1691532646,1,0.0,222672,3144,0,0
1691532647,1,0.0,222672,3144,0,0
1691532648,1,0.0,222672,3144,0,0
1691532649,1,0.0,222672,3144,0,0
1691532650,1,0.0,222672,3144,0,0
1691532651,1,0.0,222672,3144,0,0
1691532652,1,0.0,222672,3144,0,0
1691532653,1,0.0,222672,3144,0,0
1691532654,1,0.0,222672,3144,0,0
1691532655,1,0.0,222672,3144,0,0
1691532656,1,0.0,222672,3144,0,0
1691532657,1,0.0,222672,3144,0,0
1691532658,1,0.0,222672,3144,0,0
1691532659,1,0.0,222672,3144,0,0
1691532660,1,0.0,222672,3144,0,0
1691532661,1,0.0,222672,3144,0,0
1691532662,1,0.0,222672,3144,0,0
1691532663,1,0.0,222672,3144,0,0
1691532664,1,0.0,222672,3144,0,0
1691532665,1,0.0,222672,3144,0,0
1691532666,1,0.0,222672,3144,0,0
1691532667,1,0.0,222672,3144,0,0
1691532668,1,0.0,222672,3144,0,0
1691532669,1,0.0,222672,3144,0,0
1691532670,1,0.0,222672,3144,0,0
1691532671,1,0.0,222672,3144,0,0
1691532672,1,0.0,222672,3144,0,0
1691532673,1,0.0,222672,3144,0,0
1691532674,1,0.0,222672,3144,0,0
1691532675,1,0.0,222672,3144,0,0
1691532676,1,0.0,222672,3144,0,0
1691532677,1,0.0,222672,3144,0,0
1691532678,1,0.0,222672,3144,0,0
1691532679,1,0.0,222672,3144,0,0
1691532680,1,0.0,222672,3144,0,0
1691532681,1,0.0,222672,3144,0,0
1691532682,1,0.0,222672,3144,0,0
1691532683,1,0.0,222672,3144,0,0
1691532684,1,0.0,222672,3144,0,0
1691532685,1,0.0,222672,3144,0,0
1691532686,1,0.0,222672,3144,0,0
1691532687,1,0.0,222672,3144,0,0
1691532688,1,0.0,222672,3144,0,0
1691532689,1,0.0,222672,3144,0,0
1691532690,1,0.0,222672,3144,0,0
