Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/08/2023 	_x86_64_	(56 CPU)

02:37:14 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:37:16 PM 246901164 247116740  16858940      6.39        24   8195160  16145272      5.93   3869336   5189848         0
02:37:18 PM 246704360 246919948  17055744      6.47        24   8195172  16664448      6.12   3869356   5348956         0
02:37:20 PM 246064668 246280264  17695436      6.71        24   8205420  17258272      6.34   3869352   5863672         8
02:37:22 PM 245630040 245845620  18130064      6.87        24   8205420  17670592      6.49   3869352   6295036         8
02:37:24 PM 245498140 245714048  18261964      6.92        24   8230452  17819576      6.55   3869664   6426156         8
02:37:26 PM 245008964 245225256  18751140      7.11        24   8242948  18169744      6.68   3870060   6829276         8
02:37:28 PM 243373676 243590048  20386428      7.73        24   8356428  18367484      6.75   3870056   8450268         8
02:37:30 PM 243002788 243219736  20757316      7.87        24   8388716  18407936      6.76   3870580   8814944         8
02:37:32 PM 243002244 243219628  20757860      7.87        24   8389152  18412056      6.77   3871024   8815068         8
02:37:34 PM 242900572 243118348  20859532      7.91        24   8389544  18519632      6.80   3871420   8915664         8
02:37:36 PM 242912448 243131052  20847656      7.90        24   8390356  18519236      6.80   3872212   8903444         8
02:37:38 PM 242910060 243130180  20850044      7.90        24   8391856  18502120      6.80   3873692   8903640         8
02:37:40 PM 242894496 243115204  20865608      7.91        24   8392452  18539536      6.81   3874304   8917872         8
02:37:42 PM 242910684 243132792  20849420      7.90        24   8393840  18571640      6.82   3875696   8901080         8
02:37:44 PM 242921808 243145348  20838296      7.90        24   8395272  18575688      6.83   3877104   8888660         8
02:37:46 PM 242924800 243149220  20835304      7.90        24   8396144  18590112      6.83   3877988   8884828         8
02:37:48 PM 242915152 243140176  20844952      7.90        24   8396732  18592032      6.83   3878600   8894640         8
02:37:50 PM 242832188 243058960  20927916      7.93        24   8423032  18647936      6.85   3880324   8975608         8
02:37:52 PM 242690760 242919096  21069344      7.99        24   8424604  18811128      6.91   3881844   9115916         0
02:37:54 PM 242567248 242797624  21192856      8.03        24   8426604  18949328      6.96   3883884   9235724         0
02:37:56 PM 242461560 242694084  21298544      8.07        24   8428720  18996824      6.98   3886012   9339004         0
02:37:58 PM 242300188 242536372  21459916      8.14        24   8432432  19351400      7.11   3889640   9494692         0
02:38:00 PM 242262308 242500100  21497796      8.15        24   8433988  19445576      7.15   3891260   9529748         0
02:38:02 PM 241943944 242183672  21816160      8.27        24   8435924  19612532      7.21   3893216   9844948         0
02:38:04 PM 242109440 242350248  21650664      8.21        24   8437004  19321476      7.10   3894276   9681852         0
02:38:06 PM 241995852 242238848  21764252      8.25        24   8439184  19799692      7.28   3896476   9790876         0
02:38:08 PM 241594268 241837272  22165836      8.40        24   8439184  19814752      7.28   3896476  10194144         0
02:38:10 PM 242863876 243106900  20896228      7.92        24   8439184  18566016      6.82   3896476   8927036         0
02:38:12 PM 242888504 243132768  20871600      7.91        24   8440408  18521764      6.81   3897704   8900664         0
02:38:14 PM 242902264 243147976  20857840      7.91        24   8441840  18540256      6.81   3899140   8885312         0
02:38:16 PM 242838964 243085460  20921140      7.93        24   8442624  18607320      6.84   3899916   8948112         0
02:38:18 PM 242901384 243148116  20858720      7.91        24   8442864  18539888      6.81   3900160   8885392         0
02:38:20 PM 242901028 243148604  20859076      7.91        24   8443704  18521332      6.81   3900992   8884936         0
02:38:22 PM 242837412 243085612  20922692      7.93        24   8444328  18501324      6.80   3901604   8947144         0
02:38:24 PM 242897056 243145620  20863048      7.91        24   8444692  18473244      6.79   3901980   8887124         0
02:38:26 PM 242896172 243145108  20863932      7.91        24   8445064  18491720      6.79   3902348   8887520         0
02:38:28 PM 242833136 243082924  20926968      7.93        24   8445928  18572884      6.82   3903148   8949768         0
02:38:30 PM 242833060 243082848  20927044      7.93        24   8445928  18591360      6.83   3903148   8949804         0
02:38:32 PM 242681452 242931284  21078652      7.99        24   8445928  18741820      6.89   3903224   9100616         0
02:38:34 PM 242561768 242811616  21198336      8.04        24   8445928  18824824      6.92   3903212   9220456         0
02:38:36 PM 242297652 242547500  21462452      8.14        24   8445928  19119016      7.03   3903216   9481824         0
02:38:38 PM 242144936 242394784  21615168      8.20        24   8445928  19263612      7.08   3903208   9636744         0
02:38:40 PM 242251308 242501172  21508796      8.15        24   8445928  19152080      7.04   3903216   9529316         0
02:38:42 PM 242232376 242482240  21527728      8.16        24   8445928  19207392      7.06   3903212   9547824         0
02:38:44 PM 241981136 242231000  21778968      8.26        24   8445928  19615432      7.21   3903224   9800296         0
02:38:46 PM 242076484 242326348  21683620      8.22        24   8445928  19374832      7.12   3903220   9705088         0
