Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/09/2023 	_x86_64_	(56 CPU)

09:23:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:23:35 PM     all      1.50      0.00      3.41      0.00      0.00     95.09
09:23:37 PM     all      0.94      0.00      0.46      0.00      0.00     98.61
09:23:39 PM     all      3.52      0.00      0.97      0.00      0.00     95.51
09:23:41 PM     all      6.31      0.00      0.77      0.00      0.00     92.92
09:23:43 PM     all      1.79      0.00      0.94      0.00      0.00     97.28
09:23:45 PM     all      1.69      0.00      0.84      0.00      0.00     97.47
09:23:47 PM     all      0.65      0.00      0.51      0.00      0.00     98.84
09:23:49 PM     all      0.60      0.00      0.84      0.00      0.00     98.56
09:23:51 PM     all      0.59      0.00      0.85      0.00      0.00     98.56
09:23:53 PM     all      0.41      0.00      0.63      0.00      0.00     98.96
09:23:55 PM     all      0.37      0.00      0.70      0.00      0.00     98.94
09:23:57 PM     all      0.44      0.00      0.81      0.00      0.00     98.75
09:23:59 PM     all      0.35      0.00      0.79      0.00      0.00     98.87
09:24:01 PM     all      0.33      0.00      0.73      0.00      0.00     98.94
09:24:03 PM     all      0.41      0.00      0.63      0.00      0.00     98.95
09:24:05 PM     all      0.36      0.00      0.63      0.00      0.00     99.02
09:24:07 PM     all      0.32      0.00      0.46      0.00      0.00     99.22
09:24:09 PM     all      0.40      0.00      0.63      0.00      0.00     98.97
09:24:11 PM     all      0.33      0.00      0.47      0.00      0.00     99.20
09:24:13 PM     all      0.38      0.00      0.63      0.00      0.00     99.00
09:24:15 PM     all      0.39      0.00      0.62      0.00      0.00     98.99
09:24:17 PM     all      0.62      0.00      0.62      0.00      0.00     98.77
09:24:19 PM     all      0.37      0.00      0.67      0.00      0.00     98.96
09:24:21 PM     all      0.33      0.00      0.63      0.00      0.00     99.04
09:24:23 PM     all      0.41      0.00      0.72      0.00      0.00     98.87
09:24:25 PM     all      0.36      0.00      0.63      0.00      0.00     99.02
09:24:27 PM     all      0.32      0.00      0.58      0.00      0.00     99.10
09:24:29 PM     all      0.40      0.00      0.64      0.00      0.00     98.96
09:24:31 PM     all      1.72      0.00      0.23      0.00      0.00     98.04
09:24:33 PM     all     14.79      0.00     30.70      0.00      0.00     54.52
