jobid: 
node: b526
# CPUs: 56
time: Wed Aug  9 21:23:33 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691637813,1,0.0,222672,3080,12795,62
1691637814,1,0.0,222672,3080,0,0
1691637815,1,0.0,222672,3080,0,0
1691637816,1,0.0,222672,3080,0,0
1691637817,1,0.0,222672,3080,0,0
1691637818,1,0.0,222672,3080,0,0
1691637819,1,0.0,222672,3080,0,0
1691637820,1,0.0,222672,3080,0,0
1691637821,1,0.0,222672,3080,0,0
1691637822,1,0.0,222672,3080,0,0
1691637823,1,0.0,222672,3080,0,0
1691637824,1,0.0,222672,3080,0,0
1691637825,1,0.0,222672,3080,0,0
1691637826,1,0.0,222672,3080,0,0
1691637827,1,0.0,222672,3080,0,0
1691637828,1,0.0,222672,3080,0,0
1691637829,1,0.0,222672,3080,0,0
1691637830,1,0.0,222672,3080,0,0
1691637831,1,0.0,222672,3080,0,0
1691637832,1,0.0,222672,3080,0,0
1691637833,1,0.0,222672,3080,0,0
1691637834,1,0.0,222672,3080,0,0
1691637835,1,0.0,222672,3080,0,0
1691637836,1,0.0,222672,3080,0,0
1691637837,1,0.0,222672,3080,0,0
1691637838,1,0.0,222672,3080,0,0
1691637839,1,0.0,222672,3080,0,0
1691637840,1,0.0,222672,3080,0,0
1691637841,1,0.0,222672,3080,0,0
1691637842,1,0.0,222672,3080,0,0
1691637843,1,0.0,222672,3080,0,0
1691637844,1,0.0,222672,3080,0,0
1691637845,1,0.0,222672,3080,0,0
1691637846,1,0.0,222672,3080,0,0
1691637847,1,0.0,222672,3080,0,0
1691637848,1,0.0,222672,3080,0,0
1691637849,1,0.0,222672,3080,0,0
1691637850,1,0.0,222672,3080,0,0
1691637851,1,0.0,222672,3080,0,0
1691637852,1,0.0,222672,3080,0,0
1691637853,1,0.0,222672,3080,0,0
1691637854,1,0.0,222672,3080,0,0
1691637855,1,0.0,222672,3080,0,0
1691637856,1,0.0,222672,3080,0,0
1691637857,1,0.0,222672,3080,0,0
1691637858,1,0.0,222672,3080,0,0
1691637859,1,0.0,222672,3080,0,0
1691637860,1,0.0,222672,3080,0,0
1691637861,1,0.0,222672,3080,0,0
1691637862,1,0.0,222672,3080,0,0
1691637863,1,0.0,222672,3080,0,0
1691637864,1,0.0,222672,3080,0,0
1691637865,1,0.0,222672,3080,0,0
1691637866,1,0.0,222672,3080,0,0
1691637867,1,0.0,222672,3080,0,0
1691637868,1,0.0,222672,3080,0,0
1691637869,1,0.0,222672,3080,0,0
1691637870,1,0.0,222672,3080,0,0
1691637871,1,0.0,222672,3080,0,0
1691637872,1,0.0,222672,3080,0,0
1691637873,1,0.0,222672,3080,0,0
1691637874,1,0.0,222672,3080,0,0
1691637875,1,0.0,222672,3080,0,0
1691637876,1,0.0,222672,3080,0,0
1691637877,1,0.0,222672,3080,0,0
1691637878,1,0.0,222672,3080,0,0
1691637879,1,0.0,222672,3080,0,0
1691637880,1,0.0,222672,3080,0,0
1691637881,1,0.0,222672,3080,0,0
1691637882,1,0.0,222672,3080,0,0
1691637883,1,0.0,222672,3080,0,0
1691637884,1,0.0,222672,3080,0,0
1691637885,1,0.0,222672,3080,0,0
1691637886,1,0.0,222672,3080,0,0
1691637887,1,0.0,222672,3080,0,0
1691637888,1,0.0,222672,3080,0,0
1691637889,1,0.0,222672,3080,0,0
1691637890,1,0.0,222672,3080,0,0
1691637891,1,0.0,222672,3080,0,0
1691637892,1,0.0,222672,3080,0,0
1691637893,1,0.0,222672,3080,0,0
1691637894,1,0.0,222672,3080,0,0
1691637895,1,0.0,222672,3080,0,0
1691637896,1,0.0,222672,3080,0,0
1691637897,1,0.0,222672,3080,0,0
1691637898,1,0.0,222672,3080,0,0
1691637899,1,0.0,222672,3080,0,0
1691637900,1,0.0,222672,3080,0,0
1691637901,1,0.0,222672,3080,0,0
1691637902,1,0.0,222672,3080,0,0
1691637903,1,0.0,222672,3080,0,0
1691637904,1,0.0,222672,3080,0,0
1691637905,1,0.0,222672,3080,0,0
1691637906,1,0.0,222672,3080,0,0
1691637907,1,0.0,222672,3080,0,0
1691637908,1,0.0,222672,3080,0,0
1691637909,1,0.0,222672,3080,0,0
1691637910,1,0.0,222672,3080,0,0
1691637911,1,0.0,222672,3080,0,0
1691637912,1,0.0,222672,3080,0,0
1691637913,1,0.0,222672,3080,0,0
1691637914,1,0.0,222672,3080,0,0
1691637915,1,0.0,222672,3080,0,0
1691637916,1,0.0,222672,3080,0,0
1691637917,1,0.0,222672,3080,0,0
1691637918,1,0.0,222672,3080,0,0
1691637919,1,0.0,222672,3080,0,0
1691637920,1,0.0,222672,3080,0,0
1691637921,1,0.0,222672,3080,0,0
1691637922,1,0.0,222672,3080,0,0
1691637923,1,0.0,222672,3080,0,0
1691637924,1,0.0,222672,3080,0,0
1691637925,1,0.0,222672,3080,0,0
1691637926,1,0.0,222672,3080,0,0
1691637927,1,0.0,222672,3080,0,0
1691637928,1,0.0,222672,3080,0,0
1691637929,1,0.0,222672,3080,0,0
1691637930,1,0.0,222672,3080,0,0
1691637931,1,0.0,222672,3080,0,0
1691637932,1,0.0,222672,3080,0,0
1691637933,1,0.0,222672,3080,0,0
1691637934,1,0.0,222672,3080,0,0
1691637935,1,0.0,222672,3080,0,0
1691637936,1,0.0,222672,3080,0,0
1691637937,1,0.0,222672,3080,0,0
1691637938,1,0.0,222672,3080,0,0
1691637939,1,0.0,222672,3080,0,0
1691637940,1,0.0,222672,3080,0,0
1691637941,1,0.0,222672,3080,0,0
1691637942,1,0.0,222672,3080,0,0
1691637943,1,0.0,222672,3080,0,0
1691637944,1,0.0,222672,3080,0,0
1691637945,1,0.0,222672,3080,0,0
1691637946,1,0.0,222672,3080,0,0
1691637947,1,0.0,222672,3080,0,0
1691637948,1,0.0,222672,3080,0,0
1691637949,1,0.0,222672,3080,0,0
1691637950,1,0.0,222672,3080,0,0
1691637951,1,0.0,222672,3080,0,0
1691637952,1,0.0,222672,3080,0,0
1691637953,1,0.0,222672,3080,0,0
1691637954,1,0.0,222672,3080,0,0
1691637955,1,0.0,222672,3080,0,0
1691637956,1,0.0,222672,3080,0,0
1691637957,1,0.0,222672,3080,0,0
1691637958,1,0.0,222672,3080,0,0
1691637959,1,0.0,222672,3080,0,0
1691637960,1,0.0,222672,3080,0,0
1691637961,1,0.0,222672,3080,0,0
1691637962,1,0.0,222672,3080,0,0
1691637963,1,0.0,222672,3080,0,0
1691637964,1,0.0,222672,3080,0,0
1691637965,1,0.0,222672,3080,0,0
1691637966,1,0.0,222672,3080,0,0
1691637967,1,0.0,222672,3080,0,0
1691637968,1,0.0,222672,3080,0,0
1691637969,1,0.0,222672,3080,0,0
1691637970,1,0.0,222672,3080,0,0
1691637971,1,0.0,222672,3080,0,0
1691637972,1,0.0,222672,3080,0,0
1691637973,1,0.0,222672,3080,0,0
1691637974,1,0.0,222672,3080,0,0
1691637975,1,0.0,222672,3080,0,0
1691637976,1,0.0,222672,3080,0,0
1691637977,1,0.0,222672,3080,0,0
1691637978,1,0.0,222672,3080,0,0
1691637979,1,0.0,222672,3080,0,0
1691637980,1,0.0,222672,3080,0,0
1691637981,1,0.0,222672,3080,0,0
1691637982,1,0.0,222672,3080,0,0
1691637983,1,0.0,222672,3080,0,0
1691637984,1,0.0,222672,3080,0,0
1691637985,1,0.0,222672,3080,0,0
1691637986,1,0.0,222672,3080,0,0
1691637987,1,0.0,222672,3080,0,0
1691637988,1,0.0,222672,3080,0,0
1691637989,1,0.0,222672,3080,0,0
1691637990,1,0.0,222672,3080,0,0
1691637991,1,0.0,222672,3080,0,0
1691637992,1,0.0,222672,3080,0,0
1691637993,1,0.0,222672,3080,0,0
1691637994,1,0.0,222672,3080,0,0
1691637995,1,0.0,222672,3080,0,0
1691637996,1,0.0,222672,3080,0,0
1691637997,1,0.0,222672,3080,0,0
1691637998,1,0.0,222672,3080,0,0
1691637999,1,0.0,222672,3080,0,0
1691638000,1,0.0,222672,3080,0,0
1691638001,1,0.0,222672,3080,0,0
1691638002,1,0.0,222672,3080,0,0
1691638003,1,0.0,222672,3080,0,0
1691638004,1,0.0,222672,3080,0,0
1691638005,1,0.0,222672,3080,0,0
1691638006,1,0.0,222672,3080,0,0
1691638007,1,0.0,222672,3080,0,0
1691638008,1,0.0,222672,3080,0,0
1691638009,1,0.0,222672,3080,0,0
1691638010,1,0.0,222672,3080,0,0
1691638011,1,0.0,222672,3080,0,0
1691638012,1,0.0,222672,3080,0,0
1691638013,1,0.0,222672,3080,0,0
1691638014,1,0.0,222672,3080,0,0
1691638015,1,0.0,222672,3080,0,0
1691638016,1,0.0,222672,3080,0,0
1691638017,1,0.0,222672,3080,0,0
1691638018,1,0.0,222672,3080,0,0
1691638019,1,0.0,222672,3080,0,0
1691638020,1,0.0,222672,3080,0,0
1691638021,1,0.0,222672,3080,0,0
1691638022,1,0.0,222672,3080,0,0
1691638023,1,0.0,222672,3080,0,0
1691638024,1,0.0,222672,3080,0,0
