Linux 4.18.0-477.15.1.el8_8.x86_64 (b526) 	08/09/2023 	_x86_64_	(56 CPU)

09:23:33 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
09:23:35 PM 243665672 243031520  20094432      7.62        24   7275628  17202064      6.32   2944968   9082116         0
09:23:37 PM 243600060 242966672  20160044      7.64        24   7275628  17299752      6.36   2944948   9146388         0
09:23:39 PM 243403760 242770768  20356344      7.72        24   7275632  17454096      6.41   2944956   9265560        12
09:23:41 PM 242384248 241751344  21375856      8.10        24   7285872  18404888      6.76   2945052  10196232         0
09:23:43 PM 240963888 240331040  22796216      8.64        24   7291508  19863836      7.30   2945064  11610980         0
09:23:45 PM 240025612 239392716  23734492      9.00        24   7291508  20844408      7.66   2945056  12547332         0
09:23:47 PM 240010808 239380532  23749296      9.00        24   7291508  20893308      7.68   2945044  12557204         0
09:23:49 PM 240001932 239374916  23758172      9.01        24   7291508  20887184      7.67   2945072  12559560         0
09:23:51 PM 239998092 239373948  23762012      9.01        24   7291508  20871388      7.67   2945044  12556992         0
09:23:53 PM 239992940 239371576  23767164      9.01        24   7291520  20875956      7.67   2945048  12557620         0
09:23:55 PM 239987708 239368872  23772396      9.01        24   7291520  20888660      7.68   2945032  12557252         0
09:23:57 PM 239985164 239367312  23774940      9.01        24   7291520  20890720      7.68   2945044  12557612         0
09:23:59 PM 239984324 239366472  23775780      9.01        24   7291520  20887960      7.68   2945040  12558364         0
09:24:01 PM 239984608 239366756  23775496      9.01        24   7291520  20906436      7.68   2945048  12558400         0
09:24:03 PM 239985852 239368000  23774252      9.01        24   7291520  20906908      7.68   2945040  12556436         0
09:24:05 PM 239985728 239367868  23774376      9.01        24   7291520  20886512      7.67   2945048  12556860         0
09:24:07 PM 239985276 239367416  23774828      9.01        24   7291520  20904988      7.68   2945044  12557136         0
09:24:09 PM 239985012 239367200  23775092      9.01        24   7291532  20933024      7.69   2945048  12557332         0
09:24:11 PM 239983988 239366160  23776116      9.01        24   7291532  20951500      7.70   2945056  12558140         0
09:24:13 PM 239983216 239365404  23776888      9.01        24   7291532  20878540      7.67   2945060  12559752         0
09:24:15 PM 239983028 239365216  23777076      9.01        24   7291532  20889116      7.68   2945052  12559852         0
09:24:17 PM 239983924 239366112  23776180      9.01        24   7291532  20926068      7.69   2945068  12559852         0
09:24:19 PM 239983932 239366104  23776172      9.01        24   7291516  20961828      7.70   2945052  12559740         0
09:24:21 PM 239983820 239365992  23776284      9.01        24   7291516  20943352      7.70   2945052  12560124         0
09:24:23 PM 239983828 239365960  23776276      9.01        24   7291436  20979112      7.71   2944972  12560256         0
09:24:25 PM 239984064 239366000  23776040      9.01        24   7291076  20962424      7.70   2944628  12560172         0
09:24:27 PM 239984072 239365712  23776032      9.01        24   7290480  20943956      7.70   2944016  12559904         0
09:24:29 PM 239985364 239366732  23774740      9.01        24   7289952  20955876      7.70   2943492  12560136         0
09:24:31 PM 240000464 239381828  23759640      9.01        24   7289956  20955100      7.70   2943496  12545156         0
09:24:33 PM 239102468 238483784  24657636      9.35        24   7416588  82835788     30.44   2943516  13333300         0
09:24:35 PM 238162000 237543384  25598104      9.71        24   7856268 198143824     72.81   3039584  13977012         0
09:24:37 PM 235653060 235036540  28107044     10.66        24   8979176 207370560     76.20   3059588  16406904         0
09:24:39 PM 235490756 234874224  28269348     10.72        24   8979176 207568164     76.27   3059588  16567548         0
09:24:41 PM 235409524 234793024  28350580     10.75        24   8979176 207656028     76.30   3059608  16648424         0
09:24:43 PM 235495096 234878592  28265008     10.72        24   8979176 207624876     76.29   3059592  16562796         0
09:24:45 PM 235070472 234454068  28689632     10.88        24   8979308 207797880     76.35   3059736  16987088        12
09:24:47 PM 235088296 234471976  28671808     10.87        24   8979312 207650580     76.30   3059728  16968868        16
09:24:49 PM 234931724 234315448  28828380     10.93        24   8979308 207761404     76.34   3059724  17126496         0
09:24:51 PM 234730096 234113936  29030008     11.01        24   8998400 207873304     76.38   3059732  17324704         0
09:24:53 PM 234577692 233961532  29182412     11.06        24   8998524 208009276     76.43   3059748  17477320         0
09:24:55 PM 234466848 233850752  29293256     11.11        24   8981332 208135416     76.48   3059732  17589584         0
09:24:57 PM 234387876 233771740  29372228     11.14        24   8979376 208187872     76.50   3059772  17667860         0
09:24:59 PM 234374512 233758264  29385592     11.14        24   8979316 208157064     76.49   3059724  17683016         0
09:25:01 PM 234345376 233729152  29414728     11.15        24   8979316 208227696     76.51   3059784  17711924         0
09:25:03 PM 234334168 233717968  29425936     11.16        24   8979252 208287624     76.53   3059712  17722936         0
09:25:05 PM 234324152 233707988  29435952     11.16        24   8979256 208216296     76.51   3059748  17732360         0
09:25:07 PM 234301008 233684884  29459096     11.17        24   8979316 208271280     76.53   3059768  17755112         0
09:25:09 PM 234287416 233671340  29472688     11.17        24   8979192 208315552     76.55   3059704  17769408         0
09:25:11 PM 234260836 233644824  29499268     11.18        24   8979316 208278664     76.53   3059712  17795208         0
09:25:13 PM 234248396 233632360  29511708     11.19        24   8979500 208250244     76.52   3059784  17806916         0
09:25:15 PM 234237280 233621228  29522824     11.19        24   8979256 208282992     76.53   3059736  17817704         0
09:25:17 PM 234228876 233612872  29531228     11.20        24   9017620 208258764     76.52   3059756  17827732         0
09:25:19 PM 234236084 233620096  29524020     11.19        24   8979316 208271976     76.53   3059760  17819780         0
09:25:21 PM 234228804 233612844  29531300     11.20        24   8979380 208295216     76.54   3059788  17826744         0
09:25:23 PM 234210016 233594072  29550088     11.20        24   8979436 208352640     76.56   3059784  17845052         0
09:25:25 PM 234201228 233585256  29558876     11.21        24   8979316 208371876     76.57   3059768  17855572         0
09:25:27 PM 234177528 233561500  29582576     11.22        24   8979252 208466832     76.60   3059764  17869472         0
09:25:29 PM 234182112 233566084  29577992     11.21        24   8979880 208381576     76.57   3060284  17873120         0
09:25:31 PM 234173548 233557544  29586556     11.22        24   8978968 208350432     76.56   3059784  17881708         0
09:25:33 PM 234158736 233542724  29601368     11.22        24   8979256 208279772     76.53   3059728  17897260         0
09:25:35 PM 234151164 233535160  29608940     11.23        24   8979256 208320852     76.55   3059724  17904420         0
09:25:37 PM 234185460 233569568  29574644     11.21        24   8979440 208289208     76.54   3059788  17871328         0
09:25:39 PM 234169784 233553908  29590320     11.22        24   8979320 208291824     76.54   3059744  17883460         0
09:25:41 PM 234147404 233531592  29612700     11.23        24   8979380 208305776     76.54   3059752  17906892         0
09:25:43 PM 234138408 233522580  29621696     11.23        24   8979320 208312720     76.54   3059776  17916276         0
09:25:45 PM 234134808 233519028  29625296     11.23        24   8979896 208291720     76.54   3060268  17918480         0
09:25:47 PM 234130356 233514632  29629748     11.23        24   8979388 208314512     76.54   3059796  17923116         0
09:25:49 PM 234125292 233509528  29634812     11.24        24   8979328 208352368     76.56   3059760  17929896         0
09:25:51 PM 234118404 233502616  29641700     11.24        24   8979268 208367900     76.56   3059772  17936580         0
09:25:53 PM 234094364 233478652  29665740     11.25        24   8979408 208350348     76.56   3059804  17960588         0
09:25:55 PM 234090160 233474480  29669944     11.25        24   8979344 208321220     76.55   3059784  17963816         0
09:25:57 PM 234084644 233469012  29675460     11.25        24   8979344 208338684     76.55   3059800  17970440         0
09:25:59 PM 234054712 233439088  29705392     11.26        24   8986460 208334212     76.55   3059784  17999988         0
09:26:01 PM 234015288 233399608  29744816     11.28        24   9017648 208361564     76.56   3059792  18038120         0
09:26:03 PM 234014580 233398868  29745524     11.28        24   8979284 208379544     76.57   3059748  18040152         0
09:26:05 PM 234008308 233392468  29751796     11.28        24   8979280 208370620     76.57   3059752  18046756         0
09:26:07 PM 234000952 233385112  29759152     11.28        24   8979344 208407516     76.58   3059784  18053200         0
09:26:09 PM 233998312 233382536  29761792     11.28        24   8979408 208429228     76.59   3059808  18057336         0
09:26:11 PM 233990168 233374368  29769936     11.29        24   8979340 208446928     76.59   3059792  18064964         0
09:26:13 PM 233987732 233371888  29772372     11.29        24   8979468 208418672     76.58   3059808  18067768         0
09:26:15 PM 233963988 233348112  29796116     11.30        24   8979464 208394152     76.57   3060328  18091168         0
09:26:17 PM 233959444 233343528  29800660     11.30        24   8979344 208407756     76.58   3059780  18095700         0
09:26:19 PM 233936504 233320604  29823600     11.31        24   8979344 208443748     76.59   3059772  18118608         0
09:26:21 PM 233932416 233316540  29827688     11.31        24   8979284 208449140     76.59   3059780  18123796         0
09:26:23 PM 233925712 233309900  29834392     11.31        24   8979404 208432896     76.59   3059808  18128968         0
09:26:25 PM 233923460 233307704  29836644     11.31        24   8979344 208468804     76.60   3059780  18132304         0
09:26:27 PM 233902320 233286548  29857784     11.32        24   8993456 208471856     76.60   3059820  18152796         0
09:26:29 PM 233904896 233289124  29855208     11.32        24   8989424 208466328     76.60   3059772  18151480         0
09:26:31 PM 233901796 233286060  29858308     11.32        24   8979528 208533040     76.62   3059856  18147392         0
09:26:33 PM 233963544 233347688  29796560     11.30        24   8979344 208357164     76.56   3059796  18092948         0
09:26:35 PM 233956708 233340916  29803396     11.30        24   8979340 208407192     76.58   3059808  18098108         0
09:26:37 PM 233937056 233321328  29823048     11.31        24   8979464 208397348     76.58   3059844  18118240         0
09:26:39 PM 233934004 233318260  29826100     11.31        24   8979356 208426236     76.59   3059776  18120440         0
09:26:41 PM 233928360 233312632  29831744     11.31        24   8979344 208441532     76.59   3059824  18126712         0
09:26:43 PM 233915480 233299860  29844624     11.32        24   8979464 208494852     76.61   3059944  18130608         0
09:26:45 PM 233935888 233320280  29824216     11.31        24   8979676 208394612     76.57   3060028  18120136         0
09:26:47 PM 233928024 233312400  29832080     11.31        24   8979612 208401836     76.58   3060412  18126928         0
09:26:49 PM 233910668 233294988  29849436     11.32        24   8979996 208467340     76.60   3060476  18135136         0
09:26:51 PM 233896248 233280640  29863856     11.32        24   8999068 208406488     76.58   3060424  18157664         0
09:26:53 PM 233914184 233298500  29845920     11.32        24   8979876 208317664     76.55   3060336  18141456         0
09:26:55 PM 233891128 233275388  29868976     11.32        24   8999148 208405004     76.58   3064932  18160008         0
09:26:57 PM 233905192 233289532  29854912     11.32        24   8979996 208370312     76.57   3060408  18150792         0
09:26:59 PM 233903384 233287684  29856720     11.32        24   8979904 208284648     76.53   3060360  18152544         0
09:27:01 PM 233898460 233282804  29861644     11.32        24   8979900 208268592     76.53   3060348  18157412         0
09:27:03 PM 233895288 233279572  29864816     11.32        24   8979968 208273348     76.53   3060348  18160304         0
09:27:05 PM 233891864 233276156  29868240     11.32        24   8979844 208342860     76.56   3060336  18163964         0
09:27:07 PM 233884888 233269260  29875216     11.33        24   8979844 208336192     76.55   3060356  18169580         0
09:27:09 PM 233881476 233265896  29878628     11.33        24   8979912 208346372     76.56   3060364  18173780         0
09:27:11 PM 233875144 233259572  29884960     11.33        24   8979976 208374944     76.57   3060408  18179640         0
09:27:13 PM 233869700 233254128  29890404     11.33        24   8979916 208379144     76.57   3060372  18186088         0


Average:    235926854 235309240  27833250     10.55        24   8511198 157518611     57.88   3028372  16267542         0
