Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:19:02 AM     all      1.21      0.00      3.19      0.00      0.00     95.60
05:19:04 AM     all      0.52      0.00      0.38      0.00      0.00     99.10
05:19:06 AM     all      0.73      0.00      0.30      0.00      0.00     98.96
05:19:08 AM     all      0.51      0.00      0.38      0.00      0.00     99.11
05:19:10 AM     all      0.99      0.00      0.71      0.00      0.00     98.29
05:19:12 AM     all      3.64      0.00      0.72      0.14      0.00     95.49
05:19:14 AM     all      0.97      0.00      0.46      0.00      0.00     98.57
05:19:16 AM     all      0.99      0.00      0.70      0.00      0.00     98.31
05:19:18 AM     all      1.48      0.00      0.46      0.00      0.00     98.06
05:19:20 AM     all      0.80      0.00      0.38      0.00      0.00     98.82
05:19:22 AM     all      0.25      0.00      0.39      0.00      0.00     99.36
05:19:24 AM     all      0.28      0.00      0.36      0.00      0.00     99.37
05:19:26 AM     all      0.26      0.00      0.40      0.00      0.00     99.34
05:19:28 AM     all      0.31      0.00      0.36      0.00      0.00     99.33
05:19:30 AM     all      0.33      0.00      0.39      0.00      0.00     99.28
05:19:32 AM     all      0.23      0.00      0.40      0.00      0.00     99.36
05:19:34 AM     all      0.39      0.00      0.48      0.00      0.00     99.12
05:19:36 AM     all      0.28      0.00      0.46      0.00      0.00     99.26
05:19:38 AM     all      0.30      0.00      0.37      0.00      0.00     99.33
05:19:40 AM     all      0.30      0.00      0.44      0.00      0.00     99.27
05:19:42 AM     all      0.30      0.00      0.44      0.00      0.00     99.26
05:19:44 AM     all      0.38      0.00      0.42      0.00      0.00     99.20
05:19:46 AM     all      0.41      0.00      0.50      0.00      0.00     99.09
05:19:48 AM     all      0.30      0.00      0.47      0.00      0.00     99.22
05:19:50 AM     all      0.32      0.00      0.48      0.00      0.00     99.20
05:19:52 AM     all      0.28      0.00      0.35      0.00      0.00     99.37
05:19:54 AM     all      0.24      0.00      0.45      0.00      0.00     99.31
05:19:56 AM     all      0.29      0.00      0.39      0.00      0.00     99.32
05:19:58 AM     all      0.27      0.00      0.39      0.00      0.00     99.34
05:20:00 AM     all      0.27      0.00      0.37      0.00      0.00     99.37
05:20:02 AM     all      0.24      0.00      0.43      0.00      0.00     99.33
05:20:04 AM     all      0.30      0.00      0.38      0.00      0.00     99.31
05:20:06 AM     all      0.30      0.00      0.41      0.00      0.00     99.28
05:20:08 AM     all      0.28      0.00      0.46      0.00      0.00     99.27
05:20:10 AM     all      0.26      0.00      0.45      0.00      0.00     99.29
05:20:12 AM     all      0.28      0.00      0.44      0.00      0.00     99.28
