Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
05:19:02 AM 1041705396 1038385396  14574780      1.38        24   7271476  16029320      1.51   2702152   5144128         0
05:19:04 AM 1041645068 1038331244  14635108      1.39        24   7281660  16029320      1.51   2712364   5191060         0
05:19:06 AM 1041594896 1038283024  14685280      1.39        24   7283880  16103084      1.51   2714584   5238480         0
05:19:08 AM 1041499480 1038189464  14780696      1.40        24   7285952  16176832      1.52   2716664   5263692         0
05:19:10 AM 1041375308 1038068076  14904868      1.41        24   7290340  16254936      1.53   2721048   5305312         0
05:19:12 AM 1040459164 1037190348  15821012      1.50        24   7376352  17098084      1.61   2796644   6059168         0
05:19:14 AM 1040012032 1036774524  16268144      1.54        24   7437556  17490340      1.64   2857884   6440176         0
05:19:16 AM 1038654236 1035492304  17625940      1.67        24   7589916  18724720      1.76   3008196   7641856         0
05:19:18 AM 1037841396 1034684996  18438780      1.75        24   7604416  19489028      1.83   3019128   8441212         0
05:19:20 AM 1037594348 1034438524  18685828      1.77        24   7604416  19936676      1.87   3019148   8686708         0
05:19:22 AM 1037592396 1034437604  18687780      1.77        24   7604416  19936676      1.87   3019144   8686736         0
05:19:24 AM 1037590660 1034436916  18689516      1.77        24   7604416  20010580      1.88   3019144   8686428         0
05:19:26 AM 1037522164 1034369488  18758012      1.78        24   7604416  20010592      1.88   3019136   8686568         0
05:19:28 AM 1037519728 1034368196  18760448      1.78        24   7604416  20010592      1.88   3019144   8686656         0
05:19:30 AM 1037517568 1034367104  18762608      1.78        24   7604416  20010604      1.88   3019144   8686700         0
05:19:32 AM 1037514980 1034365648  18765196      1.78        24   7604416  20084508      1.89   3019144   8686756         0
05:19:34 AM 1037446744 1034298632  18833432      1.78        24   7604416  20084508      1.89   3019144   8686764         0
05:19:36 AM 1037443116 1034296208  18837060      1.78        24   7604416  20158412      1.89   3019152   8686768         0
05:19:38 AM 1037441640 1034295956  18838536      1.78        24   7604416  20084520      1.89   3019152   8686776         0
05:19:40 AM 1037438104 1034293644  18842072      1.78        24   7604416  20158424      1.89   3019148   8686716         0
05:19:42 AM 1037369624 1034226432  18910552      1.79        24   7604416  20158424      1.89   3019156   8686928         0
05:19:44 AM 1037367016 1034225244  18913160      1.79        24   7604416  20158424      1.89   3019140   8686668         0
05:19:46 AM 1037364672 1034224260  18915504      1.79        24   7604420  20174888      1.89   3019160   8686940         0
05:19:48 AM 1037361012 1034221960  18919164      1.79        24   7604420  20248792      1.90   3019152   8686792         0
05:19:50 AM 1037292128 1034154480  18988048      1.80        24   7604420  20248792      1.90   3019152   8686808         0
05:19:52 AM 1037289052 1034152912  18991124      1.80        24   7604420  20174900      1.89   3019148   8686692         0
05:19:54 AM 1037285888 1034151240  18994288      1.80        24   7604420  20174900      1.89   3019152   8686748         0
05:19:56 AM 1037216872 1034083692  19063304      1.80        24   7604420  20248804      1.90   3019144   8686712         0
05:19:58 AM 1037214444 1034082796  19065732      1.80        24   7604420  20248804      1.90   3019152   8686772         0
05:20:00 AM 1037211432 1034081324  19068744      1.81        24   7604420  20322708      1.91   3019144   8686708         0
05:20:02 AM 1037142520 1034013868  19137656      1.81        24   7604420  20322708      1.91   3019144   8686644         0
05:20:04 AM 1037137940 1034011004  19142236      1.81        24   7604420  20396612      1.92   3019152   8686840         0
05:20:06 AM 1037135872 1034010544  19144304      1.81        24   7604420  20322708      1.91   3019152   8686832         0
05:20:08 AM 1037065496 1033941756  19214680      1.82        24   7604420  20322708      1.91   3019152   8686804         0
05:20:10 AM 1037063132 1033941000  19217044      1.82        24   7604420  20322708      1.91   3019152   8686756         0
05:20:12 AM 1037058944 1033938364  19221232      1.82        24   7604420  20322708      1.91   3019152   8686740         0
05:20:14 AM 1036990384 1033871392  19289792      1.83        24   7604420  20396612      1.92   3019160   8687024         0
05:20:16 AM 1036986536 1033869128  19293640      1.83        24   7604420  20421088      1.92   3019152   8686804         0
05:20:18 AM 1036984292 1033868504  19295884      1.83        24   7604420  20421076      1.92   3019152   8686788         0
05:20:20 AM 1036914896 1033800716  19365280      1.83        24   7604420  20494980      1.93   3019152   8686868         0
05:20:22 AM 1036911764 1033799160  19368412      1.83        24   7604420  20494980      1.93   3019152   8686740         0
