jobid: 
node: bhm06
# CPUs: 56
time: Thu Aug 10 08:14:33 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691676873,1,0.0,222672,3248,12795,62
1691676874,1,0.0,222672,3248,0,0
1691676875,1,0.0,222672,3248,0,0
1691676876,1,0.0,222672,3248,0,0
1691676877,1,0.0,222672,3248,0,0
1691676878,1,0.0,222672,3248,0,0
1691676879,1,0.0,222672,3248,0,0
1691676880,1,0.0,222672,3248,0,0
1691676881,1,0.0,222672,3248,0,0
1691676882,1,0.0,222672,3248,0,0
1691676883,1,0.0,222672,3248,0,0
1691676884,1,0.0,222672,3248,0,0
1691676885,1,0.0,222672,3248,0,0
1691676886,1,0.0,222672,3248,0,0
1691676887,1,0.0,222672,3248,0,0
1691676888,1,0.0,222672,3248,0,0
1691676889,1,0.0,222672,3248,0,0
1691676890,1,0.0,222672,3248,0,0
1691676891,1,0.0,222672,3248,0,0
1691676892,1,0.0,222672,3248,0,0
1691676893,1,0.0,222672,3248,0,0
1691676894,1,0.0,222672,3248,0,0
1691676895,1,0.0,222672,3248,0,0
1691676896,1,0.0,222672,3248,0,0
1691676897,1,0.0,222672,3248,0,0
1691676898,1,0.0,222672,3248,0,0
1691676899,1,0.0,222672,3248,0,0
1691676900,1,0.0,222672,3248,0,0
1691676901,1,0.0,222672,3248,0,0
1691676902,1,0.0,222672,3248,0,0
1691676903,1,0.0,222672,3248,0,0
1691676904,1,0.0,222672,3248,0,0
1691676905,1,0.0,222672,3248,0,0
1691676906,1,0.0,222672,3248,0,0
1691676907,1,0.0,222672,3248,0,0
1691676908,1,0.0,222672,3248,0,0
1691676909,1,0.0,222672,3248,0,0
1691676910,1,0.0,222672,3248,0,0
1691676911,1,0.0,222672,3248,0,0
1691676912,1,0.0,222672,3248,0,0
1691676913,1,0.0,222672,3248,0,0
1691676914,1,0.0,222672,3248,0,0
1691676915,1,0.0,222672,3248,0,0
1691676916,1,0.0,222672,3248,0,0
1691676917,1,0.0,222672,3248,0,0
1691676918,1,0.0,222672,3248,0,0
1691676919,1,0.0,222672,3248,0,0
1691676920,1,0.0,222672,3248,0,0
1691676921,1,0.0,222672,3248,0,0
1691676922,1,0.0,222672,3248,0,0
1691676923,1,0.0,222672,3248,0,0
1691676924,1,0.0,222672,3248,0,0
1691676925,1,0.0,222672,3248,0,0
1691676926,1,0.0,222672,3248,0,0
1691676927,1,0.0,222672,3248,0,0
1691676928,1,0.0,222672,3248,0,0
1691676929,1,0.0,222672,3248,0,0
1691676930,1,0.0,222672,3248,0,0
1691676931,1,0.0,222672,3248,0,0
1691676932,1,0.0,222672,3248,0,0
1691676933,1,0.0,222672,3248,0,0
