Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:13:47 PM     all      3.33      0.00      2.72      0.00      0.00     93.95
11:13:49 PM     all      1.22      0.00      0.86      0.00      0.00     97.92
11:13:51 PM     all      1.72      0.00      0.89      0.00      0.00     97.38
11:13:53 PM     all      1.27      0.00      0.99      0.00      0.00     97.75
11:13:55 PM     all      1.69      0.00      1.19      0.00      0.00     97.12
11:13:57 PM     all      4.81      0.00      1.42      0.03      0.00     93.73
11:13:59 PM     all      1.78      0.00      0.92      0.00      0.00     97.29
11:14:01 PM     all      2.44      0.00      0.94      0.00      0.00     96.62
11:14:03 PM     all      2.62      0.00      0.94      0.00      0.00     96.44
11:14:05 PM     all      1.22      0.00      0.83      0.00      0.00     97.95
11:14:07 PM     all      0.60      0.00      0.74      0.00      0.00     98.67
11:14:09 PM     all      0.75      0.00      0.89      0.00      0.00     98.36
11:14:11 PM     all      0.71      0.00      0.83      0.00      0.00     98.46
11:14:13 PM     all      0.66      0.00      0.86      0.00      0.00     98.48
11:14:15 PM     all      0.70      0.00      0.86      0.00      0.00     98.43
11:14:17 PM     all      0.64      0.00      0.83      0.00      0.00     98.53
11:14:19 PM     all      0.69      0.00      0.80      0.00      0.00     98.51
11:14:21 PM     all      0.74      0.00      0.89      0.00      0.00     98.37
11:14:23 PM     all      0.69      0.00      0.91      0.00      0.00     98.40
11:14:25 PM     all      0.70      0.00      0.89      0.00      0.00     98.40
11:14:27 PM     all      0.60      0.00      0.86      0.00      0.00     98.54
11:14:29 PM     all      0.61      0.00      0.88      0.00      0.00     98.51
11:14:31 PM     all      0.66      0.00      0.91      0.00      0.00     98.43
11:14:33 PM     all      0.61      0.00      0.85      0.00      0.00     98.54
11:14:35 PM     all      0.61      0.00      0.86      0.00      0.00     98.53
11:14:37 PM     all      0.66      0.00      0.89      0.00      0.00     98.45
11:14:39 PM     all      0.71      0.00      0.77      0.00      0.00     98.53
11:14:41 PM     all      0.77      0.00      0.83      0.00      0.00     98.40
11:14:43 PM     all      0.69      0.00      0.88      0.00      0.00     98.43
11:14:45 PM     all      0.80      0.00      0.89      0.00      0.00     98.31
11:14:47 PM     all      0.67      0.00      0.95      0.00      0.00     98.37
11:14:49 PM     all      0.70      0.00      0.88      0.00      0.00     98.42
11:14:51 PM     all      0.78      0.00      0.88      0.00      0.00     98.34
11:14:53 PM     all      0.67      0.00      0.81      0.00      0.00     98.51
11:14:55 PM     all      0.78      0.00      0.80      0.00      0.00     98.42
11:14:57 PM     all      0.69      0.00      0.88      0.00      0.00     98.43
11:14:59 PM     all      0.71      0.00      0.81      0.00      0.00     98.48
