[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     0 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     0 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     2 / 16384 MB |
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   4 % (E:   0 %  D:   0 %),   30 / 250 W |   618 / 16384 MB | jgong:python/500515(616M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   3 % (E:   0 %  D:   0 %),   30 / 250 W |   860 / 16384 MB | jgong:python/500515(858M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   25 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 23°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
[0] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   30 / 250 W |   992 / 16384 MB | jgong:python/500515(990M)
[1] Tesla P100-PCIE-16GB | 24°C,  ?? %,   0 % (E:   0 %  D:   0 %),   26 / 250 W |     2 / 16384 MB |
