jobid: 
node: tbm04
# CPUs: 32
time: Wed Aug  9 23:13:45 MDT 2023
cmd: bash train_script.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1691644425,1,0.0,222672,3068,12795,62
1691644426,1,0.0,222672,3068,0,0
1691644427,1,0.0,222672,3068,0,0
1691644428,1,0.0,222672,3068,0,0
1691644429,1,0.0,222672,3068,0,0
1691644430,1,0.0,222672,3068,0,0
1691644431,1,0.0,222672,3068,0,0
1691644432,1,0.0,222672,3068,0,0
1691644433,1,0.0,222672,3068,0,0
1691644434,1,0.0,222672,3068,0,0
1691644435,1,0.0,222672,3068,0,0
1691644436,1,0.0,222672,3068,0,0
1691644437,1,0.0,222672,3068,0,0
1691644438,1,0.0,222672,3068,0,0
1691644439,1,0.0,222672,3068,0,0
1691644440,1,0.0,222672,3068,0,0
1691644441,1,0.0,222672,3068,0,0
1691644442,1,0.0,222672,3068,0,0
1691644443,1,0.0,222672,3068,0,0
1691644444,1,0.0,222672,3068,0,0
1691644445,1,0.0,222672,3068,0,0
1691644446,1,0.0,222672,3068,0,0
1691644447,1,0.0,222672,3068,0,0
1691644448,1,0.0,222672,3068,0,0
1691644449,1,0.0,222672,3068,0,0
1691644450,1,0.0,222672,3068,0,0
1691644451,1,0.0,222672,3068,0,0
1691644452,1,0.0,222672,3068,0,0
1691644453,1,0.0,222672,3068,0,0
1691644454,1,0.0,222672,3068,0,0
1691644455,1,0.0,222672,3068,0,0
1691644456,1,0.0,222672,3068,0,0
1691644457,1,0.0,222672,3068,0,0
1691644458,1,0.0,222672,3068,0,0
1691644459,1,0.0,222672,3068,0,0
1691644460,1,0.0,222672,3068,0,0
1691644461,1,0.0,222672,3068,0,0
1691644462,1,0.0,222672,3068,0,0
1691644463,1,0.0,222672,3068,0,0
1691644464,1,0.0,222672,3068,0,0
1691644465,1,0.0,222672,3068,0,0
1691644466,1,0.0,222672,3068,0,0
1691644467,1,0.0,222672,3068,0,0
1691644468,1,0.0,222672,3068,0,0
1691644469,1,0.0,222672,3068,0,0
1691644470,1,0.0,222672,3068,0,0
1691644471,1,0.0,222672,3068,0,0
1691644472,1,0.0,222672,3068,0,0
1691644473,1,0.0,222672,3068,0,0
1691644474,1,0.0,222672,3068,0,0
1691644475,1,0.0,222672,3068,0,0
1691644476,1,0.0,222672,3068,0,0
1691644477,1,0.0,222672,3068,0,0
1691644478,1,0.0,222672,3068,0,0
1691644479,1,0.0,222672,3068,0,0
1691644480,1,0.0,222672,3068,0,0
1691644481,1,0.0,222672,3068,0,0
1691644482,1,0.0,222672,3068,0,0
1691644483,1,0.0,222672,3068,0,0
1691644484,1,0.0,222672,3068,0,0
1691644485,1,0.0,222672,3068,0,0
1691644486,1,0.0,222672,3068,0,0
1691644487,1,0.0,222672,3068,0,0
1691644488,1,0.0,222672,3068,0,0
1691644489,1,0.0,222672,3068,0,0
1691644490,1,0.0,222672,3068,0,0
1691644491,1,0.0,222672,3068,0,0
1691644492,1,0.0,222672,3068,0,0
1691644493,1,0.0,222672,3068,0,0
1691644494,1,0.0,222672,3068,0,0
1691644495,1,0.0,222672,3068,0,0
1691644496,1,0.0,222672,3068,0,0
1691644497,1,0.0,222672,3068,0,0
1691644498,1,0.0,222672,3068,0,0
1691644499,1,0.0,222672,3068,0,0
1691644500,1,0.0,222672,3068,0,0
1691644501,1,0.0,222672,3068,0,0
1691644502,1,0.0,222672,3068,0,0
1691644503,1,0.0,222672,3068,0,0
1691644504,1,0.0,222672,3068,0,0
1691644505,1,0.0,222672,3068,0,0
1691644506,1,0.0,222672,3068,0,0
1691644507,1,0.0,222672,3068,0,0
1691644508,1,0.0,222672,3068,0,0
1691644509,1,0.0,222672,3068,0,0
1691644510,1,0.0,222672,3068,0,0
1691644511,1,0.0,222672,3068,0,0
1691644512,1,0.0,222672,3068,0,0
1691644513,1,0.0,222672,3068,0,0
1691644514,1,0.0,222672,3068,0,0
1691644515,1,0.0,222672,3068,0,0
1691644516,1,0.0,222672,3068,0,0
1691644517,1,0.0,222672,3068,0,0
1691644518,1,0.0,222672,3068,0,0
1691644519,1,0.0,222672,3068,0,0
1691644520,1,0.0,222672,3068,0,0
1691644521,1,0.0,222672,3068,0,0
1691644522,1,0.0,222672,3068,0,0
1691644523,1,0.0,222672,3068,0,0
1691644524,1,0.0,222672,3068,0,0
1691644525,1,0.0,222672,3068,0,0
1691644526,1,0.0,222672,3068,0,0
1691644527,1,0.0,222672,3068,0,0
1691644528,1,0.0,222672,3068,0,0
1691644529,1,0.0,222672,3068,0,0
1691644530,1,0.0,222672,3068,0,0
1691644531,1,0.0,222672,3068,0,0
1691644532,1,0.0,222672,3068,0,0
1691644533,1,0.0,222672,3068,0,0
1691644534,1,0.0,222672,3068,0,0
1691644535,1,0.0,222672,3068,0,0
1691644536,1,0.0,222672,3068,0,0
1691644537,1,0.0,222672,3068,0,0
1691644538,1,0.0,222672,3068,0,0
1691644539,1,0.0,222672,3068,0,0
1691644540,1,0.0,222672,3068,0,0
1691644541,1,0.0,222672,3068,0,0
1691644542,1,0.0,222672,3068,0,0
1691644543,1,0.0,222672,3068,0,0
1691644544,1,0.0,222672,3068,0,0
1691644545,1,0.0,222672,3068,0,0
1691644546,1,0.0,222672,3068,0,0
1691644547,1,0.0,222672,3068,0,0
1691644548,1,0.0,222672,3068,0,0
1691644549,1,0.0,222672,3068,0,0
1691644550,1,0.0,222672,3068,0,0
1691644551,1,0.0,222672,3068,0,0
1691644552,1,0.0,222672,3068,0,0
1691644553,1,0.0,222672,3068,0,0
1691644554,1,0.0,222672,3068,0,0
1691644555,1,0.0,222672,3068,0,0
1691644556,1,0.0,222672,3068,0,0
1691644557,1,0.0,222672,3068,0,0
1691644558,1,0.0,222672,3068,0,0
1691644559,1,0.0,222672,3068,0,0
1691644560,1,0.0,222672,3068,0,0
1691644561,1,0.0,222672,3068,0,0
1691644562,1,0.0,222672,3068,0,0
1691644563,1,0.0,222672,3068,0,0
1691644564,1,0.0,222672,3068,0,0
1691644565,1,0.0,222672,3068,0,0
1691644566,1,0.0,222672,3068,0,0
1691644567,1,0.0,222672,3068,0,0
1691644568,1,0.0,222672,3068,0,0
1691644569,1,0.0,222672,3068,0,0
1691644570,1,0.0,222672,3068,0,0
1691644571,1,0.0,222672,3068,0,0
1691644572,1,0.0,222672,3068,0,0
1691644573,1,0.0,222672,3068,0,0
1691644574,1,0.0,222672,3068,0,0
1691644575,1,0.0,222672,3068,0,0
1691644576,1,0.0,222672,3068,0,0
1691644577,1,0.0,222672,3068,0,0
1691644578,1,0.0,222672,3068,0,0
1691644579,1,0.0,222672,3068,0,0
1691644580,1,0.0,222672,3068,0,0
1691644581,1,0.0,222672,3068,0,0
1691644582,1,0.0,222672,3068,0,0
1691644583,1,0.0,222672,3068,0,0
1691644584,1,0.0,222672,3068,0,0
1691644585,1,0.0,222672,3068,0,0
1691644586,1,0.0,222672,3068,0,0
1691644587,1,0.0,222672,3068,0,0
1691644588,1,0.0,222672,3068,0,0
1691644589,1,0.0,222672,3068,0,0
1691644590,1,0.0,222672,3068,0,0
1691644591,1,0.0,222672,3068,0,0
1691644592,1,0.0,222672,3068,0,0
1691644593,1,0.0,222672,3068,0,0
1691644594,1,0.0,222672,3068,0,0
1691644595,1,0.0,222672,3068,0,0
1691644596,1,0.0,222672,3068,0,0
1691644597,1,0.0,222672,3068,0,0
1691644598,1,0.0,222672,3068,0,0
1691644599,1,0.0,222672,3068,0,0
1691644600,1,0.0,222672,3068,0,0
1691644601,1,0.0,222672,3068,0,0
1691644602,1,0.0,222672,3068,0,0
1691644603,1,0.0,222672,3068,0,0
1691644604,1,0.0,222672,3068,0,0
1691644605,1,0.0,222672,3068,0,0
1691644606,1,0.0,222672,3068,0,0
1691644607,1,0.0,222672,3068,0,0
1691644608,1,0.0,222672,3068,0,0
1691644609,1,0.0,222672,3068,0,0
1691644610,1,0.0,222672,3068,0,0
1691644611,1,0.0,222672,3068,0,0
1691644612,1,0.0,222672,3068,0,0
1691644613,1,0.0,222672,3068,0,0
1691644614,1,0.0,222672,3068,0,0
1691644615,1,0.0,222672,3068,0,0
1691644616,1,0.0,222672,3068,0,0
1691644617,1,0.0,222672,3068,0,0
1691644618,1,0.0,222672,3068,0,0
1691644619,1,0.0,222672,3068,0,0
1691644620,1,0.0,222672,3068,0,0
1691644621,1,0.0,222672,3068,0,0
1691644622,1,0.0,222672,3068,0,0
1691644623,1,0.0,222672,3068,0,0
1691644624,1,0.0,222672,3068,0,0
1691644625,1,0.0,222672,3068,0,0
1691644626,1,0.0,222672,3068,0,0
1691644627,1,0.0,222672,3068,0,0
1691644628,1,0.0,222672,3068,0,0
1691644629,1,0.0,222672,3068,0,0
1691644630,1,0.0,222672,3068,0,0
1691644631,1,0.0,222672,3068,0,0
1691644632,1,0.0,222672,3068,0,0
1691644633,1,0.0,222672,3068,0,0
1691644634,1,0.0,222672,3068,0,0
1691644635,1,0.0,222672,3068,0,0
1691644636,1,0.0,222672,3068,0,0
1691644637,1,0.0,222672,3068,0,0
1691644638,1,0.0,222672,3068,0,0
1691644639,1,0.0,222672,3068,0,0
1691644640,1,0.0,222672,3068,0,0
1691644641,1,0.0,222672,3068,0,0
1691644642,1,0.0,222672,3068,0,0
1691644643,1,0.0,222672,3068,0,0
1691644644,1,0.0,222672,3068,0,0
1691644645,1,0.0,222672,3068,0,0
1691644646,1,0.0,222672,3068,0,0
1691644647,1,0.0,222672,3068,0,0
1691644648,1,0.0,222672,3068,0,0
1691644649,1,0.0,222672,3068,0,0
1691644650,1,0.0,222672,3068,0,0
1691644651,1,0.0,222672,3068,0,0
1691644652,1,0.0,222672,3068,0,0
1691644653,1,0.0,222672,3068,0,0
1691644654,1,0.0,222672,3068,0,0
1691644655,1,0.0,222672,3068,0,0
1691644656,1,0.0,222672,3068,0,0
1691644657,1,0.0,222672,3068,0,0
1691644658,1,0.0,222672,3068,0,0
1691644659,1,0.0,222672,3068,0,0
1691644660,1,0.0,222672,3068,0,0
1691644661,1,0.0,222672,3068,0,0
1691644662,1,0.0,222672,3068,0,0
1691644663,1,0.0,222672,3068,0,0
1691644664,1,0.0,222672,3068,0,0
1691644665,1,0.0,222672,3068,0,0
1691644666,1,0.0,222672,3068,0,0
1691644667,1,0.0,222672,3068,0,0
1691644668,1,0.0,222672,3068,0,0
1691644669,1,0.0,222672,3068,0,0
1691644670,1,0.0,222672,3068,0,0
1691644671,1,0.0,222672,3068,0,0
1691644672,1,0.0,222672,3068,0,0
1691644673,1,0.0,222672,3068,0,0
1691644674,1,0.0,222672,3068,0,0
1691644675,1,0.0,222672,3068,0,0
1691644676,1,0.0,222672,3068,0,0
1691644677,1,0.0,222672,3068,0,0
