Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm04) 	08/09/2023 	_x86_64_	(32 CPU)

11:13:45 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:13:47 PM 512976576 510868132  14537496      2.76        24   8280580  16003548      2.99   2449524   6393904         0
11:13:49 PM 512933180 510827056  14580892      2.76        24   8283056  16003548      2.99   2452032   6432728         0
11:13:51 PM 512849644 510745332  14664428      2.78        24   8284996  16081264      3.00   2453964   6478536         0
11:13:53 PM 512820964 510718532  14693108      2.79        24   8286844  16151284      3.01   2455828   6502064         0
11:13:55 PM 512736604 510637024  14777468      2.80        24   8291416  16281376      3.04   2460392   6541260         0
11:13:57 PM 511828088 509776748  15685984      2.97        24   8397264  17006788      3.17   2555880   7242056         0
11:13:59 PM 511332632 509323300  16181440      3.07        24   8479832  17331912      3.23   2638500   7617856         0
11:14:01 PM 510676148 508702112  16837924      3.19        24   8555232  17893292      3.34   2708272   8201360         0
11:14:03 PM 509783292 507809268  17730780      3.36        24   8555248  18873604      3.52   2708292   9093120         0
11:14:05 PM 509845540 507872932  17668532      3.35        24   8555248  18873580      3.52   2708288   9027904         0
11:14:07 PM 509808576 507837600  17705496      3.36        24   8555248  18873580      3.52   2708296   9028116         0
11:14:09 PM 509773124 507804284  17740948      3.36        24   8555248  18937972      3.53   2708296   9027660         0
11:14:11 PM 509736108 507769168  17777964      3.37        24   8555248  19002372      3.55   2708296   9027728         0
11:14:13 PM 509731548 507766556  17782524      3.37        24   8555248  19002372      3.55   2708296   9027828         0
11:14:15 PM 509694464 507731364  17819608      3.38        24   8555248  19067004      3.56   2708288   9027644         0
11:14:17 PM 509657744 507696524  17856328      3.38        24   8555248  18937680      3.53   2708296   9027748         0
11:14:19 PM 509621332 507661868  17892740      3.39        24   8555248  18937464      3.53   2708296   9027596         0
11:14:21 PM 509582492 507625108  17931580      3.40        24   8555252  18872840      3.52   2708296   9028760         0
11:14:23 PM 509578508 507623084  17935564      3.40        24   8555248  18937236      3.53   2708300   9027772         0
11:14:25 PM 509541136 507587452  17972936      3.41        24   8555248  18937236      3.53   2708292   9027852         0
11:14:27 PM 509504388 507552972  18009684      3.41        24   8555248  19001744      3.55   2708300   9027644         0
11:14:29 PM 509466788 507517456  18047284      3.42        24   8555248  18936780      3.53   2708300   9027684         0
11:14:31 PM 509430060 507482772  18084012      3.43        24   8555248  19001172      3.55   2708300   9027600         0
11:14:33 PM 509392824 507447524  18121248      3.44        24   8555248  19065564      3.56   2708304   9027952         0
11:14:35 PM 509356992 507413488  18157080      3.44        24   8555248  19065564      3.56   2708300   9027912         0
11:14:37 PM 509353112 507411332  18160960      3.44        24   8555248  19129960      3.57   2708300   9027760         0
11:14:39 PM 509316244 507376168  18197828      3.45        24   8555248  19129960      3.57   2708296   9027816         0
11:14:41 PM 509280976 507342496  18233096      3.46        24   8555248  19194352      3.58   2708304   9027796         0
11:14:43 PM 509276504 507339572  18237568      3.46        24   8555248  19194044      3.58   2708304   9027964         0
11:14:45 PM 509240724 507305336  18273348      3.46        24   8555248  19129080      3.57   2708304   9027868         0
11:14:47 PM 509205272 507271180  18308800      3.47        24   8555248  19193488      3.58   2708300   9027932         0
11:14:49 PM 509201404 507268992  18312668      3.47        24   8555248  19258120      3.59   2708304   9027872         0
11:14:51 PM 509164656 507233588  18349416      3.48        24   8555244  18939132      3.53   2708304   9028332         0
11:14:53 PM 509161800 507232156  18352272      3.48        24   8555248  18939132      3.53   2708300   9027812         0
11:14:55 PM 509125820 507197556  18388252      3.49        24   8555248  18939132      3.53   2708304   9028032         0
11:14:57 PM 509091212 507164320  18422860      3.49        24   8555248  19003640      3.55   2708288   9027764         0
11:14:59 PM 509087628 507162012  18426444      3.49        24   8555248  18939216      3.53   2708300   9027932         0
11:15:01 PM 509051556 507127304  18462516      3.50        24   8555248  19003616      3.55   2708292   9028020         0
11:15:03 PM 509049408 507126604  18464664      3.50        24   8555248  19003616      3.55   2708300   9027900         0
11:15:05 PM 509012912 507091680  18501160      3.51        24   8555248  19068020      3.56   2708304   9027952         0
11:15:07 PM 508977640 507057856  18536432      3.51        24   8555248  19132424      3.57   2708304   9027972         0
11:15:09 PM 508974400 507056048  18539672      3.51        24   8555248  19131860      3.57   2708304   9027680         0
11:15:11 PM 508939048 507022032  18575024      3.52        24   8555248  19067080      3.56   2708292   9027556         0
11:15:13 PM 508935956 507020336  18578116      3.52        24   8555248  19002268      3.55   2708304   9027872         0
11:15:15 PM 508900112 506985768  18613960      3.53        24   8555248  19002200      3.55   2708304   9028316         0
11:15:17 PM 508865256 506952160  18648816      3.54        24   8555248  19002200      3.55   2708292   9027848         0
11:15:19 PM 508861964 506950304  18652108      3.54        24   8555248  19001644      3.55   2708304   9027664         0
11:15:21 PM 508824700 506914412  18689372      3.54        24   8555248  18851304      3.52   2708304   9029480         0
11:15:23 PM 508819872 506910988  18694200      3.54        24   8555256  18859016      3.52   2708300   9030108         0
11:15:25 PM 508784080 506876508  18729992      3.55        24   8555256  18859016      3.52   2708300   9030164         0
11:15:27 PM 508748336 506842352  18765736      3.56        24   8555256  18859016      3.52   2708312   9030632         0
11:15:29 PM 508744760 506840180  18769312      3.56        24   8555256  18923420      3.53   2708312   9030480         0
11:15:31 PM 508705984 506804444  18808088      3.57        24   8555256  18987824      3.54   2708296   9030348         0
11:15:33 PM 508696420 506799644  18817652      3.57        24   8555256  18922980      3.53   2708308   9030184         0
11:15:35 PM 508687980 506795248  18826092      3.57        24   8555256  18858196      3.52   2708300   9030080         0
11:15:37 PM 508678336 506790180  18835736      3.57        24   8555256  18793056      3.51   2708304   9030192         0
11:15:39 PM 508669604 506785788  18844468      3.57        24   8555256  18793056      3.51   2708316   9030264         0
11:15:41 PM 508661088 506781500  18852984      3.57        24   8555256  18857456      3.52   2708316   9030684         0
11:15:43 PM 508647360 506772076  18866712      3.58        24   8555264  18857456      3.52   2708304   9033248         0
11:15:45 PM 508642580 506771444  18871492      3.58        24   8555264  18921848      3.53   2708312   9030312         0
11:15:47 PM 508634392 506767352  18879680      3.58        24   8555264  18986244      3.54   2708312   9030264         0
11:15:49 PM 508592632 506729808  18921440      3.59        24   8555264  19050652      3.55   2708312   9030452         0
11:15:51 PM 508584364 506725796  18929708      3.59        24   8555264  18986540      3.54   2708308   9031192         0
11:15:53 PM 508574680 506720456  18939392      3.59        24   8555264  18922116      3.53   2708316   9030532         0
11:15:55 PM 508566396 506716192  18947676      3.59        24   8555260  18922048      3.53   2708300   9030224         0
11:15:57 PM 508558116 506712164  18955956      3.59        24   8555260  18922048      3.53   2708312   9030360         0
11:15:59 PM 508548780 506707216  18965292      3.60        24   8555260  18922048      3.53   2708312   9030424         0
11:16:01 PM 508540436 506702864  18973636      3.60        24   8555260  18921584      3.53   2708308   9030480         0
11:16:03 PM 508549456 506715580  18964616      3.60        24   8555260  18921504      3.53   2708304   9014856         0
11:16:05 PM 508547644 506713780  18966428      3.60        24   8555280  19622216      3.66   2708316   9014056         0
11:16:07 PM 507737384 505904384  19776688      3.75        24   8649552  60887012     11.36   2709076   9737144         0
11:16:09 PM 507052056 505221556  20462016      3.88        24   9080476  61443228     11.47   2709112  10403540         0
11:16:11 PM 506943644 505116668  20570428      3.90        24   9080476  93276140     17.41   2709136  10438176         0
