jobid: 
node: b526
# CPUs: 56
time: Tue Apr 25 15:42:29 MDT 2023
cmd: python3 train_vocoder.py
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682458949,1, 0.0,600848,15328,1156455,7
1682458950,2, 112,2271636,230668,8002868,0
1682458951,3, 111,2538848,351700,11821048,24689
1682458952,3, 106,2632900,412920,15249663,90341
1682458953,2, 112,3357952,1050676,296578,140657
1682458954,5, 108,9120700,1636244,854215,6010
1682458955,6, 104,10395232,2220196,115344,8619
1682458956,8,91.1,10530976,2222280,1035639,3589
1682458957,8,81.3,10654272,2274144,1509,306
1682458958,8,76.7,11117552,2700320,0,0
1682458959,8,76.4,12473852,3521028,1736,0
1682458960,9,78.3,23774412,3826100,1808,0
1682458961,9,79.5,24234764,3837392,3851,11405
1682458962,9,78.7,24233420,3837392,605,426
1682458963,9,77.8,24233420,3837392,605,338
1682458964,9,76.0,24233420,3837392,1210,676
1682458965,9,74.8,24233420,3837392,1210,676
1682458966,9,74.1,24233420,3837392,605,338
1682458967,9,73.7,24233420,3837392,1210,676
1682458968,9,73.5,24233420,3837396,1210,676
1682458969,9,72.8,24233420,3837396,605,338
1682458970,9,72.6,24233420,3837400,1210,676
1682458971,9,72.5,24233420,3837400,1210,676
1682458972,9,71.6,24233420,3837400,605,338
1682458973,9,71.3,24233420,3837400,1210,676
1682458974,9,71.3,24233420,3837400,1210,676
1682458975,9,71.0,24233420,3837400,1210,2102
1682458976,9,70.2,24233420,3837400,605,338
1682458977,9,70.2,24233420,3837400,1210,676
1682458978,9,70.2,24233420,3837404,1210,676
1682458979,9,69.6,24233420,3837404,605,338
1682458980,9,69.1,24233420,3837416,1210,676
1682458981,9,68.7,24233420,3837416,605,338
1682458982,9,68.0,24233420,3837416,1210,676
1682458983,9,67.5,24233420,3837416,1210,676
1682458984,9,66.7,24233420,3837416,605,338
1682458985,9,66.2,24233420,3837420,1210,676
1682458986,9,65.7,24233420,3837420,605,338
1682458987,9,65.0,24233420,3837420,1210,676
1682458988,9,64.6,24233420,3837420,605,338
1682458989,9,64.1,24233420,3837420,1210,676
1682458990,9,63.6,24233420,3837420,605,338
1682458991,9,63.2,24233420,3837424,1210,2102
1682458992,9,62.8,24233420,3837424,1210,676
1682458993,9,62.3,24233420,3837424,605,338
1682458994,9,61.9,24233420,3837428,1210,676
1682458995,9,61.4,24233420,3837428,605,338
1682458996,9,61.0,24233420,3837428,605,338
1682458997,9,60.8,24233420,3837428,1210,676
1682458998,9,60.4,24233420,3837432,1210,676
1682458999,9,60.1,24233420,3837432,605,338
1682459000,9,59.8,24233420,3837436,1210,676
1682459001,9,59.5,24233420,3837436,605,338
1682459002,9,59.2,24233420,3837436,1210,676
1682459003,9,59.0,24233420,3837436,605,338
1682459004,9,59.0,24233420,3837436,1210,676
1682459005,9,59.2,24233420,3837436,1210,676
1682459006,9,59.3,24233420,3837436,1210,676
1682459007,9,59.4,24233420,3837436,605,1764
1682459008,9,59.7,24233420,3837436,1210,676
1682459009,9,59.6,24233420,3837436,605,338
1682459010,9,59.8,24233420,3837436,1210,676
1682459011,9,59.7,24233420,3837436,1210,676
1682459012,9,59.9,24233420,3837436,1210,676
1682459013,9,59.9,24233420,3837436,605,338
1682459014,9,60.0,24233420,3837436,1210,676
1682459015,9,60.2,24233420,3837436,1210,676
1682459016,9,60.2,24233420,3837436,605,338
1682459017,9,60.1,24233420,3837436,1210,676
1682459018,9,60.1,24233420,3837436,1210,676
1682459019,9,60.1,24233420,3837436,605,338
1682459020,9,60.4,24233420,3837436,1210,676
1682459021,9,60.5,24233420,3837436,1210,676
1682459022,9,60.5,24233420,3837436,3278,5218
1682459023,9,60.5,24233420,3837436,605,338
1682459024,9,60.4,24233420,3837436,1210,676
1682459025,9,60.5,24233420,3837436,1210,676
1682459026,9,60.6,24233420,3837436,605,338
1682459027,9,60.7,24233420,3837436,1210,676
1682459028,9,60.8,24233420,3837436,1210,676
1682459029,9,60.6,24233420,3837436,605,338
1682459030,9,60.6,24233420,3837436,1210,676
1682459031,9,60.7,24233420,3837436,1210,676
1682459032,9,60.8,24233420,3837440,605,338
1682459033,9,60.9,24233420,3837440,1210,676
1682459034,9,60.9,24233420,3837444,1210,676
1682459035,9,60.9,24233420,3837444,605,338
1682459036,9,60.9,24233420,3837444,1210,676
1682459037,9,60.9,24233420,3837444,1210,2106
1682459038,9,61.0,24233420,3837444,605,338
1682459039,9,61.0,24233420,3837444,1210,676
1682459040,9,61.0,24233420,3837444,1210,676
1682459041,9,61.1,24233420,3837444,605,338
1682459042,9,61.2,24233420,3837444,1210,676
1682459043,9,61.1,24233420,3837444,1210,676
1682459044,9,61.2,24233420,3837444,605,338
1682459045,9,61.3,24233420,3837444,1210,676
1682459046,9,61.2,24233420,3837444,1210,676
1682459047,9,61.1,24233420,3837444,605,338
