jobid: 
node: bhm06
# CPUs: 56
time: Tue May 23 08:44:01 MDT 2023
cmd: bash scripts/prepare_dataset.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684853041,1,0.0,5792,3288,41720,119
1684853042,1,0.0,5792,3288,0,0
1684853043,1,0.0,5792,3296,55741,256
1684853044,1,0.0,5792,3296,0,0
1684853045,1,0.0,5792,3296,0,0
1684853046,1,0.0,5792,3296,0,0
1684853047,1,0.0,5792,3296,0,0
1684853048,1,0.0,5792,3296,0,0
1684853049,1,0.0,5792,3296,0,0
1684853050,1,0.0,5792,3296,0,0
1684853051,1,0.0,5792,3296,0,0
1684853052,1,0.0,5792,3296,0,0
1684853053,1,0.0,5792,3296,0,0
1684853054,1,0.0,5792,3296,0,0
1684853055,1,0.0,5792,3296,0,0
1684853056,1,0.0,5792,3296,0,0
1684853057,1,0.0,5792,3296,0,0
1684853058,1,0.0,5792,3296,0,0
1684853059,1,0.0,5792,3296,0,0
1684853060,1,0.0,5792,3296,0,0
1684853061,1,0.0,5792,3296,0,0
1684853062,1,0.0,5792,3296,0,0
1684853063,1,0.0,5792,3296,0,0
1684853064,1,0.0,5792,3296,0,0
1684853065,1,0.0,5792,3296,0,0
1684853066,1,0.0,5792,3296,0,0
1684853067,1,0.0,5792,3296,0,0
1684853068,1,0.0,5792,3296,0,0
1684853069,1,0.0,5792,3296,0,0
1684853070,1,0.0,5792,3296,0,0
1684853071,1,0.0,5792,3296,0,0
1684853072,1,0.0,5792,3296,0,0
1684853073,1,0.0,5792,3296,0,0
1684853074,1,0.0,5792,3296,0,0
1684853075,1,0.0,5792,3296,0,0
1684853076,1,0.0,5792,3296,0,0
1684853077,1,0.0,5792,3296,0,0
1684853078,1,0.0,5792,3296,0,0
1684853079,1,0.0,5792,3296,0,0
1684853080,1,0.0,5792,3296,0,0
1684853081,1,0.0,5792,3296,0,0
1684853082,1,0.0,5792,3296,0,0
1684853083,1,0.0,5792,3296,0,0
1684853084,1,0.0,5792,3296,0,0
1684853085,1,0.0,5792,3296,0,0
1684853086,1,0.0,5792,3296,0,0
1684853087,1,0.0,5792,3296,0,0
1684853088,1,0.0,5792,3296,0,0
1684853089,1,0.0,5792,3296,0,0
1684853090,1,0.0,5792,3296,0,0
1684853091,1,0.0,5792,3296,0,0
1684853092,1,0.0,5792,3296,0,0
1684853093,1,0.0,5792,3296,0,0
1684853094,1,0.0,5792,3296,0,0
1684853095,1,0.0,5792,3296,0,0
1684853096,1,0.0,5792,3296,0,0
1684853097,1,0.0,5792,3296,0,0
1684853098,1,0.0,5792,3296,0,0
1684853099,1,0.0,5792,3296,0,0
1684853100,1,0.0,5792,3296,0,0
1684853101,1,0.0,5792,3296,0,0
1684853102,1,0.0,5792,3296,0,0
1684853103,1,0.0,5792,3296,0,0
1684853104,1,0.0,5792,3296,0,0
1684853105,1,0.0,5792,3296,0,0
1684853106,1,0.0,5792,3296,0,0
1684853107,1,0.0,5792,3296,0,0
1684853108,1,0.0,5792,3296,0,0
1684853109,1,0.0,5792,3296,0,0
1684853110,1,0.0,5792,3296,0,0
1684853111,1,0.0,5792,3296,0,0
1684853112,1,0.0,5792,3296,0,0
1684853113,1,0.0,5792,3296,0,0
1684853114,1,0.0,5792,3296,0,0
1684853115,1,0.0,5792,3296,0,0
1684853116,1,0.0,5792,3296,0,0
1684853117,1,0.0,5792,3296,0,0
1684853118,1,0.0,5792,3296,0,0
1684853119,1,0.0,5792,3296,0,0
1684853120,1,0.0,5792,3296,0,0
1684853121,1,0.0,5792,3296,0,0
1684853122,1,0.0,5792,3296,0,0
1684853123,1,0.0,5792,3296,0,0
1684853124,1,0.0,5792,3296,0,0
1684853125,1,0.0,5792,3296,0,0
1684853126,1,0.0,5792,3296,0,0
1684853127,1,0.0,5792,3296,0,0
1684853128,1,0.0,5792,3296,0,0
1684853129,1,0.0,5792,3296,0,0
1684853130,1,0.0,5792,3296,0,0
1684853131,1,0.0,5792,3296,0,0
1684853132,1,0.0,5792,3296,0,0
1684853133,1,0.0,5792,3296,0,0
1684853134,1,0.0,5792,3296,0,0
1684853135,1,0.0,5792,3296,0,0
1684853136,1,0.0,5792,3296,0,0
1684853137,1,0.0,5792,3296,0,0
1684853138,1,0.0,5792,3296,0,0
1684853139,1,0.0,5792,3296,0,0
1684853140,1,0.0,5792,3296,0,0
1684853141,1,0.0,5792,3296,0,0
1684853142,1,0.0,5792,3296,0,0
1684853143,1,0.0,5792,3296,0,0
1684853144,1,0.0,5792,3296,0,0
1684853145,1,0.0,5792,3296,0,0
1684853146,1,0.0,5792,3296,0,0
1684853147,1,0.0,5792,3296,0,0
1684853148,1,0.0,5792,3296,0,0
1684853149,1,0.0,5792,3296,0,0
1684853150,1,0.0,5792,3296,0,0
1684853151,1,0.0,5792,3296,0,0
1684853152,1,0.0,5792,3296,0,0
1684853153,1,0.0,5792,3296,0,0
1684853154,1,0.0,5792,3296,0,0
1684853155,1,0.0,5792,3296,0,0
1684853156,1,0.0,5792,3296,0,0
1684853157,1,0.0,5792,3296,0,0
1684853158,1,0.0,5792,3296,0,0
1684853159,1,0.0,5792,3296,0,0
1684853160,1,0.0,5792,3296,0,0
1684853161,1,0.0,5792,3296,0,0
1684853162,1,0.0,5792,3296,0,0
1684853163,1,0.0,5792,3296,0,0
1684853164,1,0.0,5792,3296,0,0
1684853165,1,0.0,5792,3296,0,0
1684853166,1,0.0,5792,3296,0,0
1684853167,1,0.0,5792,3296,0,0
1684853168,1,0.0,5792,3296,0,0
1684853169,1,0.0,5792,3296,0,0
1684853170,1,0.0,5792,3296,0,0
1684853171,1,0.0,5792,3296,0,0
1684853172,1,0.0,5792,3296,0,0
1684853173,1,0.0,5792,3296,0,0
1684853174,1,0.0,5792,3296,0,0
1684853175,1,0.0,5792,3296,0,0
1684853176,1,0.0,5792,3296,0,0
1684853177,1,0.0,5792,3296,0,0
1684853178,1,0.0,5792,3296,0,0
1684853179,1,0.0,5792,3296,0,0
1684853180,1,0.0,5792,3296,0,0
1684853181,1,0.0,5792,3296,0,0
1684853182,1,0.0,5792,3296,0,0
1684853183,1,0.0,5792,3296,0,0
1684853184,1,0.0,5792,3296,0,0
1684853185,1,0.0,5792,3296,0,0
1684853186,1,0.0,5792,3296,0,0
1684853187,1,0.0,5792,3296,0,0
1684853188,1,0.0,5792,3296,0,0
1684853189,1,0.0,5792,3296,0,0
1684853190,1,0.0,5792,3296,0,0
1684853191,1,0.0,5792,3296,0,0
1684853192,1,0.0,5792,3296,0,0
1684853193,1,0.0,5792,3296,0,0
1684853194,1,0.0,5792,3296,0,0
1684853195,1,0.0,5792,3296,0,0
1684853196,1,0.0,5792,3296,0,0
1684853197,1,0.0,5792,3296,0,0
1684853198,1,0.0,5792,3296,0,0
1684853199,1,0.0,5792,3296,0,0
1684853200,1,0.0,5792,3296,0,0
1684853201,1,0.0,5792,3296,0,0
1684853202,1,0.0,5792,3296,0,0
1684853203,1,0.0,5792,3296,0,0
1684853204,1,0.0,5792,3296,0,0
1684853205,1,0.0,5792,3296,0,0
1684853206,1,0.0,5792,3296,0,0
1684853207,1,0.0,5792,3296,0,0
1684853208,1,0.0,5792,3296,0,0
1684853209,1,0.0,5792,3296,0,0
1684853210,1,0.0,5792,3296,0,0
1684853211,1,0.0,5792,3296,0,0
1684853212,1,0.0,5792,3296,0,0
1684853213,1,0.0,5792,3296,0,0
1684853214,1,0.0,5792,3296,0,0
1684853215,1,0.0,5792,3296,0,0
1684853216,1,0.0,5792,3296,0,0
1684853217,1,0.0,5792,3296,0,0
1684853218,1,0.0,5792,3296,0,0
1684853219,1,0.0,5792,3296,0,0
1684853220,1,0.0,5792,3296,0,0
1684853221,1,0.0,5792,3296,0,0
1684853222,1,0.0,5792,3296,0,0
1684853223,1,0.0,5792,3296,0,0
1684853224,1,0.0,5792,3296,0,0
1684853225,1,0.0,5792,3296,0,0
1684853226,1,0.0,5792,3296,0,0
1684853227,1,0.0,5792,3296,0,0
1684853228,1,0.0,5792,3296,0,0
1684853229,1,0.0,5792,3296,0,0
1684853230,1,0.0,5792,3296,0,0
1684853231,1,0.0,5792,3296,0,0
1684853232,1,0.0,5792,3296,0,0
1684853233,1,0.0,5792,3296,0,0
1684853234,1,0.0,5792,3296,0,0
1684853235,1,0.0,5792,3296,0,0
1684853236,1,0.0,5792,3296,0,0
1684853237,1,0.0,5792,3296,0,0
1684853238,1,0.0,5792,3296,0,0
1684853239,1,0.0,5792,3296,0,0
1684853240,1,0.0,5792,3296,0,0
1684853241,1,0.0,5792,3296,0,0
1684853242,1,0.0,5792,3296,0,0
1684853243,1,0.0,5792,3296,0,0
1684853244,1,0.0,5792,3296,0,0
1684853245,1,0.0,5792,3296,0,0
1684853246,1,0.0,5792,3296,0,0
1684853247,1,0.0,5792,3296,0,0
1684853248,1,0.0,5792,3296,0,0
1684853249,1,0.0,5792,3296,0,0
1684853250,1,0.0,5792,3296,0,0
1684853251,1,0.0,5792,3296,0,0
1684853252,1,0.0,5792,3296,0,0
1684853253,1,0.0,5792,3296,0,0
1684853254,1,0.0,5792,3296,0,0
1684853255,1,0.0,5792,3296,0,0
1684853256,1,0.0,5792,3296,0,0
1684853257,1,0.0,5792,3296,0,0
1684853258,1,0.0,5792,3296,0,0
1684853259,1,0.0,5792,3296,0,0
1684853260,1,0.0,5792,3296,0,0
1684853261,1,0.0,5792,3296,0,0
1684853262,1,0.0,5792,3296,0,0
1684853263,1,0.0,5792,3296,0,0
1684853264,1,0.0,5792,3296,0,0
1684853265,1,0.0,5792,3296,0,0
1684853266,1,0.0,5792,3296,0,0
1684853267,1,0.0,5792,3296,0,0
1684853268,1,0.0,5792,3296,0,0
1684853269,1,0.0,5792,3296,0,0
1684853270,1,0.0,5792,3296,0,0
1684853271,1,0.0,5792,3296,0,0
1684853272,1,0.0,5792,3296,0,0
1684853273,1,0.0,5792,3296,0,0
1684853274,1,0.0,5792,3296,0,0
1684853275,1,0.0,5792,3296,0,0
1684853276,1,0.0,5792,3296,0,0
1684853277,1,0.0,5792,3296,0,0
1684853278,1,0.0,5792,3296,0,0
1684853279,1,0.0,5792,3296,0,0
1684853280,1,0.0,5792,3296,0,0
1684853281,1,0.0,5792,3296,0,0
1684853282,1,0.0,5792,3296,0,0
1684853283,1,0.0,5792,3296,0,0
1684853284,1,0.0,5792,3296,0,0
1684853285,1,0.0,5792,3296,0,0
1684853286,1,0.0,5792,3296,0,0
1684853287,1,0.0,5792,3296,0,0
1684853288,1,0.0,5792,3296,0,0
1684853289,1,0.0,5792,3296,0,0
1684853290,1,0.0,5792,3296,0,0
1684853291,1,0.0,5792,3296,0,0
1684853292,1,0.0,5792,3296,0,0
1684853293,1,0.0,5792,3296,0,0
1684853294,1,0.0,5792,3296,0,0
1684853295,1,0.0,5792,3296,0,0
1684853296,1,0.0,5792,3296,0,0
1684853297,1,0.0,5792,3296,0,0
1684853298,1,0.0,5792,3296,0,0
1684853299,1,0.0,5792,3296,0,0
1684853300,1,0.0,5792,3296,0,0
1684853301,1,0.0,5792,3296,0,0
