jobid: 
node: fastspeech-job-rtx3090-memprof-bugfix-lskcf
# CPUs: 32
time: Tue Apr 25 07:15:11 UTC 2023
cmd: python3 generate.py --waveglow_path=nvidia_waveglow256pyt_fp16.pt --text=test_sentences.txt
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682406911,1, 0.0,34448,10348,694678,0
1682406912,1,99.0,2921588,279860,24150728,71307
1682406913,2, 102,7876556,378140,12428638,91687
1682406914,3,99.6,7967684,462508,0,0
1682406915,3, 101,7989488,484264,0,0
1682406916,5, 100,9889068,1615880,96,102
1682406917,8, 108,12171712,2178416,552665502,2633
1682406918,8, 106,12568020,2411160,895556704,0
1682406919,8, 105,14396940,3087980,159502136,188
1682406920,8, 105,16509172,4400664,0,0
1682406921,8, 104,16509172,4401244,1422,2389492
1682406922,5, 103,16389716,4413508,14634,1261693
