jobid: 
node: fastspeech-job-rtx3090-memprof-bugfix-lskcf
# CPUs: 32
time: Tue Apr 25 01:06:46 UTC 2023
cmd: python3 fastspeech/train.py --dataset_path=./LJSpeech-1.1 --mels_path=./mels_ljspeech1.1 --aligns_path=./aligns_ljspeech1.1 --log_path=./logs --checkpoint_path=./checkpoints
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682384806,1, 0.0,34696,10508,666565,0
1682384807,2, 103,7579132,281700,24033933,71329
1682384808,2,97.5,7879476,357492,16819317,26791
1682384809,3, 100,7893312,372780,0,0
1682384810,3,99.2,7985208,464812,0,0
1682384811,5,98.6,9101876,1044484,2804409,102
1682384812,8,98.6,11686076,2586300,21372,4592
1682384813,9,96.2,19393044,4241924,2496,0
1682384814,10,96.3,20220696,4347164,77061,3407
1682384815,10,97.6,20237880,4361304,26697,4258
1682384816,10,97.6,20220704,4361308,22608,3406
1682384817,10,97.5,20220704,4388688,21998,3580
1682384818,10,97.6,20220704,4388788,27676,4085
1682384819,10,98.5,20220704,4388792,27746,4259
1682384820,10,98.4,20220704,4388820,21187,3423
1682384821,10,98.3,20220704,4388852,25872,3608
1682384822,10,99.0,20220704,4389128,22578,6162
1682384823,10,98.9,20238428,4402988,28164,4127
1682384824,10,99.4,20220704,4403004,22188,3439
1682384825,10,99.3,20220704,4403008,27449,4299
1682384826,10,99.7,20238832,4403060,27493,4299
1682384827,10,99.6,20220704,4403060,21935,3440
1682384828,10,99.5,20220704,4403060,21763,3611
1682384829,10,99.8,20220704,4403060,27173,4296
1682384830,10,99.7,20238632,4418792,26964,4128
1682384831,10,99.8,20220704,4403060,21757,3438
1682384832,10, 100,20220704,4403064,27911,6507
1682384833,10, 100,20238972,4403072,26857,4298
1682384834,10, 100,20220704,4403072,22154,3611
1682384835,10, 100,20220704,4403072,27950,4127
1682384836,10, 100,20220704,4403072,27148,4297
1682384837,10, 100,20220704,4403092,22199,3440
1682384838,10, 100,20220704,4403092,22397,3612
1682384839,10, 100,20220704,4403092,27961,4127
1682384840,10, 100,20234928,4403092,27235,4298
1682384841,10, 100,20220704,4403092,22344,3611
1682384842,10, 100,20237672,4403092,26418,6341
1682384843,10, 100,20220704,4403092,21827,3615
1682384844,10, 100,20220704,4403092,21253,3443
1682384845,10, 100,20220704,4403108,27368,4128
1682384846,10, 100,20220704,4403108,25637,4305
1682384847,10, 100,20239036,4403108,27933,4305
1682384848,10, 100,20220704,4417032,22682,3441
1682384849,10, 100,20220704,4417040,22509,3615
1682384850,10, 100,20220704,4417108,28142,4132
1682384851,10, 100,20220704,4417112,22654,3615
1682384852,10, 100,20220704,4417112,26161,6337
1682384853,10, 100,20220704,4417120,21626,3616
1682384854,10, 100,20253472,4431040,27375,4131
1682384855,10, 100,20271676,4431040,27400,4304
1682384856,10, 100,20253472,4431040,21561,3443
1682384857,10, 101,20253472,4431040,27752,4303
1682384858,10, 100,20253472,4431040,22854,3439
1682384859,10, 101,20253472,4431040,26845,4305
1682384860,10, 101,20253472,4431040,22753,3443
1682384861,10, 101,20253472,4431040,27166,4303
1682384862,10, 101,20253472,4431044,22071,5819
1682384863,10, 101,20253472,4431044,28116,4131
1682384864,10, 101,20253472,4431044,22465,3617
1682384865,10, 101,20253472,4431052,26955,4131
1682384866,10, 101,20253472,4431052,22318,3614
1682384867,10, 101,20253472,4431052,27859,4132
1682384868,10, 101,20253472,4431052,21978,3614
1682384869,10, 101,20271264,4431052,27474,4133
1682384870,10, 101,20253472,4431064,21312,3621
1682384871,10, 101,20270104,4439196,26696,4135
1682384872,10, 101,20253472,4431084,22497,5827
1682384873,10, 101,20270816,4431096,27493,4135
1682384874,10, 101,20253472,4431096,21962,3447
1682384875,10, 101,20253472,4431096,27445,4309
1682384876,10, 101,20253472,4431096,21958,3446
1682384877,10, 101,20253472,4431096,27057,4310
1682384878,10, 101,20253472,4431096,22657,3447
1682384879,10, 101,20253472,4431096,27030,4309
1682384880,10, 101,20253472,4431096,22372,3447
1682384881,10, 101,20271100,4431096,27450,4309
1682384882,10, 101,20253472,4431100,21573,5652
1682384883,10, 101,20271728,4431112,27848,4308
1682384884,10, 101,20270416,4431112,21949,3448
1682384885,10, 101,20271740,4431116,26569,4308
1682384886,10, 101,20253472,4431136,22105,3446
1682384887,10, 101,20253472,4431136,22327,3618
1682384888,10, 101,20271328,4431136,26737,4135
1682384889,10, 101,20253472,4431140,22771,3448
1682384890,10, 101,20253472,4431140,27242,4309
1682384891,10, 101,20253472,4431140,22095,3447
1682384892,10, 101,20253472,4431140,27911,6515
1682384893,10, 101,20253472,4431140,23548,3448
1682384894,10, 101,20253472,4431152,27416,4310
1682384895,10, 101,20253472,4431152,21919,3621
1682384896,10, 101,20253472,4431152,27762,4309
1682384897,10, 101,20271056,4431152,28062,4136
1682384898,10, 101,20271524,4444872,22621,3446
1682384899,10, 101,20253472,4431160,21543,3622
1682384900,10, 101,20253472,4431160,27975,4136
1682384901,10, 101,20253520,4431164,28173,3965
1682384902,10, 101,20253472,4431168,21767,5996
1682384903,10, 101,20270816,4431168,26618,4309
1682384904,10, 101,20253472,4431168,21251,3446
