jobid: 
node: b526
# CPUs: 56
time: Tue Apr 25 14:42:06 MDT 2023
cmd: python3 TTS/bin/train_tts.py --config_path config.json
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682455326,1, 0.0,2065256,93000,1202769,7
1682455327,2, 109,2297568,251224,11214270,0
1682455328,3, 104,2506760,288488,4192180,32
1682455329,3,99.0,2551444,362408,6860652,0
1682455330,3,96.7,2625976,414456,12120279,0
1682455331,3,98.2,2699576,460348,8915685,0
1682455332,3,97.1,2988996,496408,7482642,0
1682455333,3, 100,7957444,745700,633462,5701
1682455334,5,98.8,8474508,884320,438658,842
1682455335,5,97.0,8761964,958540,8,8
1682455336,5,95.6,8829708,1037880,0,0
1682455337,5,95.4,8957840,1187720,0,0
1682455338,5,94.4,9045192,1286140,0,0
1682455339,5,93.6,9210888,1448788,0,0
1682455340,5,93.0,9369804,1592408,0,0
1682455341,5,92.6,9665756,1823076,0,0
1682455342,5,92.1,9907508,2029272,0,0
1682455343,8,89.7,10410612,2123400,1159656,16746
1682455344,8,85.5,10503296,2137560,5047,428
1682455345,8,85.1,10551212,2204988,0,0
1682455346,8,85.1,10653980,2261228,0,0
1682455347,8,85.0,10771060,2363420,0,0
1682455348,8,85.0,11074364,2602756,0,0
1682455349,8,85.6,11588080,3035360,0,0
1682455350,8,85.5,11659456,3087536,0,0
1682455351,8,85.5,12257412,3224956,904,0
1682455352,8,85.5,12325052,3326732,832,0
1682455353,8,85.4,12433244,3437800,0,0
1682455354,8,85.4,12622128,3587228,0,0
1682455355,8,85.5,12865352,3791272,0,0
1682455356,8,85.8,13358288,3877052,832,0
1682455357,8,85.8,13591456,4049796,832,0
1682455358,8,86.0,13757384,4123396,65696,11171
1682455359,8,85.6,13757736,4122420,22607,4000
1682455360,9,84.8,14787900,4128248,11084,1600
1682455361,9,84.8,14918972,4266132,0,0
1682455362,9,84.9,15213948,4289292,4695,800
1682455363,9,84.9,15476296,4289672,19146,3200
1682455364,9,85.1,15476460,4287768,19605,3200
1682455365,9,84.7,15607604,4287780,20025,2468
1682455366,9,84.2,15607764,4287848,15046,3750
1682455367,9,83.8,15607876,4287848,15359,2400
1682455368,9,83.5,15607968,4287848,15543,2400
1682455369,9,83.2,15739124,4287848,15607,2400
1682455370,9,83.0,15739244,4287848,21116,3200
1682455371,9,82.5,15739308,4287848,16084,2400
1682455372,9,82.3,15739396,4287848,16264,2400
1682455373,9,81.8,15739468,4287848,16156,2400
1682455374,9,81.2,15870624,4287848,16272,3018
1682455375,9,81.1,15870692,4287848,16596,2400
1682455376,9,80.6,15871212,4288280,16663,2400
1682455377,9,80.4,16002352,4288284,16767,2400
1682455378,9,80.1,16003128,4288816,22719,2468
1682455379,9,79.9,16003640,4289356,17089,3132
1682455380,9,79.7,16004328,4289952,17100,2400
1682455381,9,79.3,16005388,4291012,17385,2400
1682455382,9,79.2,16136528,4291012,17229,3018
1682455383,9,78.8,16139000,4293536,17521,2400
1682455384,9,78.6,16139876,4294328,17595,2400
1682455385,9,78.4,16139936,4294336,17691,2400
1682455386,9,78.2,16273400,4299372,17907,2400
1682455387,9,77.8,16273460,4303456,17860,2400
1682455388,9,77.5,16273512,4303436,18045,2400
1682455389,9,77.3,16273796,4303696,18123,2400
1682455390,9,77.0,16273844,4303708,12041,1600
1682455391,9,76.8,16274500,4304232,19068,4328
1682455392,9,76.6,16407480,4306140,18437,2400
1682455393,9,76.4,16407520,4306100,18681,2400
1682455394,9,76.2,16407928,4306400,18492,2400
1682455395,9,75.9,16407984,4306384,18528,2400
1682455396,9,75.9,16408032,4306412,18644,2400
1682455397,9,75.6,16542040,4309300,18800,2400
1682455398,9,75.4,16542068,4309288,12553,1600
1682455399,9,75.2,16673732,4309808,18816,2400
1682455400,9,75.0,16673792,4309804,18874,3022
1682455401,9,74.9,16673820,4309832,19190,2400
1682455402,9,74.6,16673864,4309852,12675,1600
1682455403,9,74.4,16673924,4309832,19097,2400
1682455404,9,74.3,16676228,4312232,19172,2400
1682455405,9,74.0,16676260,4312208,12792,1600
1682455406,9,73.9,16676320,4312256,19346,2400
1682455407,9,73.7,16808404,4313008,19547,2400
1682455408,9,73.5,16808700,4313264,12959,1600
1682455409,9,73.3,16808748,4313584,19669,3022
1682455410,9,73.2,16810444,4315088,13204,1600
1682455411,9,73.0,16811276,4315636,19741,2400
1682455412,9,72.8,16943004,4316424,19729,2400
1682455413,9,72.6,16943036,4316412,13099,1600
1682455414,9,72.5,16943064,4316408,19873,2400
1682455415,9,72.3,16943100,4316412,13408,1600
1682455416,9,72.1,16943352,4316724,20077,2400
1682455417,9,72.0,16943668,4316952,13428,1600
1682455418,9,71.9,17079276,4321500,20056,2400
1682455419,9,71.7,17079312,4321468,20222,2290
1682455420,9,71.5,17079352,4321492,13608,2332
1682455421,9,71.3,17079372,4321460,13531,1600
1682455422,9,71.2,17079420,4321512,20307,2400
1682455423,9,71.0,17079676,4321520,13627,1600
1682455424,9,70.9,17079724,4321520,20089,2400
1682455425,9,70.9,17081420,4323340,20653,2400
1682455426,9,71.0,17215384,4325976,20605,2400
1682455427,9,70.8,17215428,4325980,20731,2400
1682455428,9,70.5,17215740,4326520,6937,800
1682455429,9,70.4,17216660,4327308,21777,4342
1682455430,9,70.2,17216696,4327348,20830,2400
1682455431,9,70.2,17216724,4327324,14002,1600
1682455432,9,70.0,17348488,4327848,13970,1600
1682455433,9,69.8,17348528,4327864,21061,2400
1682455434,9,69.6,17348560,4327876,14169,1600
1682455435,9,69.4,17350740,4329964,14134,1600
1682455436,9,69.3,17305276,4278436,28262,2740
1682455437,9,69.1,17346192,4325508,0,460
1682455438,9,69.0,17354344,4327368,28495,2740
1682455439,9,68.8,17351892,4331024,7069,1882
1682455440,9,68.6,17350756,4330004,14149,1600
1682455441,9,68.6,17349196,4328344,21477,2400
1682455442,9,68.5,17491932,4342160,14244,1600
1682455443,9,68.4,17481364,4331988,14217,1600
1682455444,9,68.3,17430380,4278760,21553,2400
1682455445,9,68.3,17484692,4335100,14391,1600
1682455446,9,68.2,17436988,4278764,28872,2740
1682455447,9,68.0,17458412,4294456,14564,1600
1682455448,9,67.9,17629972,4342676,14716,1600
1682455449,9,67.9,17626160,4339092,14523,1600
1682455450,9,67.8,17561656,4278808,14537,2683
1682455451,9,67.7,17604840,4320472,14509,1602
1682455452,9,67.5,17561716,4278832,14727,1602
1682455453,9,67.5,17618668,4337984,14711,1602
1682455454,9,67.4,17618032,4337468,14794,1602
1682455455,9,67.2,17561800,4278704,14934,1602
1682455456,9,67.1,17618604,4332344,14762,1602
1682455457,9,67.1,17619632,4339176,14734,1602
1682455458,9,67.1,17573764,4282468,22298,2403
1682455459,9,67.0,17622752,4342144,14813,1602
1682455460,9,67.0,17622712,4342288,14938,1602
1682455461,9,66.9,17561980,4278876,22432,3025
1682455462,9,66.8,17562264,4278872,15107,1602
1682455463,9,66.8,17755280,4343292,14926,1602
1682455464,9,66.5,17761660,4342664,15045,1141
1682455465,9,66.4,17762332,4343368,15014,1602
1682455466,9,66.4,17742852,4330676,15108,2063
1682455467,9,66.3,17693472,4278768,15094,1602
