jobid: 
node: b526
# CPUs: 56
time: Tue Apr 25 17:09:11 MDT 2023
cmd: python3 TTS/bin/train_tts.py --config_path config_vits.json
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682464151,1, 0.0,75020,13236,1068792,0
1682464152,2, 106,2300448,250572,11601493,7
1682464153,3, 105,2626484,410940,23072349,32
1682464154,3, 103,2704960,456168,7281137,0
1682464155,4, 109,3226788,636348,9245213,0
1682464156,5, 111,8696888,1287848,876058,8447
1682464157,5, 109,10122580,2250132,48,48
1682464158,8, 102,10913752,2338176,1157029,18688
1682464159,8,89.2,10913752,2338176,0,0
1682464160,8,89.6,11931144,3203388,6297,1312
1682464161,8,90.5,13614996,3988100,2640,0
1682464162,9,91.2,22637952,4038148,3472,0
1682464163,9,92.0,22929100,4051876,2528,15804
1682464164,9,92.7,23027404,4051972,6590,2358
1682464165,9,93.1,23224012,4052100,3363,936
1682464166,9,93.1,23322316,4052100,3437,936
1682464167,9,93.9,23420620,4052100,7048,1872
1682464168,9,93.8,23617228,4052100,3506,936
1682464169,9,94.3,23617228,4052100,7170,1872
1682464170,9,94.6,23617228,4052100,7340,1872
1682464171,9,94.9,23846604,4052100,3756,936
1682464172,9,95.3,23944908,4052776,7486,1872
1682464173,9,95.5,23944908,4052780,7623,1872
1682464174,9,95.4,23944908,4052780,3852,936
1682464175,9,95.9,23977676,4052792,7868,1872
1682464176,9,95.6,24207052,4052856,3973,936
1682464177,9,96.1,24207052,4052864,7929,1872
1682464178,9,96.3,24309444,4056996,7881,1872
1682464179,9,96.3,24309444,4056996,3998,2668
1682464180,9,96.2,24309444,4056996,8149,1872
1682464181,9,96.6,24313028,4060424,4072,936
1682464182,9,96.4,24345796,4060500,8302,1872
1682464183,9,96.5,24448528,4064728,4093,936
1682464184,9,96.7,24580476,4065672,8284,1872
1682464185,9,96.9,24678780,4065676,8433,1872
1682464186,9,97.0,24678780,4065676,4251,936
1682464187,9,97.1,24678780,4065676,8455,1872
1682464188,9,97.0,24678780,4065680,4316,936
1682464189,9,97.1,24785184,4074056,8622,1872
1682464190,9,97.2,24785184,4074056,4391,936
1682464191,9,97.2,24818536,4074588,8726,1872
1682464192,9,97.2,24861392,4074592,8637,1464
1682464193,9,97.2,24851304,4074592,4378,1344
1682464194,9,97.4,24884072,4074592,8730,1872
1682464195,9,97.5,25055392,4081716,4402,2668
1682464196,9,97.4,25225712,4088376,8959,1872
1682464197,9,97.4,25225712,4088376,4492,936
1682464198,9,97.4,25260884,4091024,9005,1872
1682464199,9,97.6,25260884,4091024,4514,936
1682464200,9,97.6,25260884,4091028,9028,1872
1682464201,9,97.5,25260884,4091028,4597,936
1682464202,9,97.6,25260884,4091032,9214,1872
1682464203,9,97.7,25359188,4091032,4594,936
1682464204,9,97.7,25359188,4091032,9326,1872
1682464205,9,97.7,25359188,4091032,4619,936
1682464206,9,97.7,25372764,4104492,9372,1872
1682464207,9,97.7,25667676,4104580,4629,936
1682464208,9,97.8,25667676,4104580,9350,1872
1682464209,9,97.8,25765980,4104580,4773,936
1682464210,9,97.9,25765980,4104584,9446,1872
1682464211,9,97.8,25765980,4104584,4699,936
1682464212,9,98.0,25765980,4104584,9491,3606
1682464213,9,97.9,26060892,4104588,4863,936
1682464214,9,98.0,26062840,4106436,9586,1872
1682464215,9,97.9,26071100,4114620,4826,936
1682464216,9,98.0,26071100,4114796,9641,1872
1682464217,9,98.0,26071100,4114796,4863,936
1682464218,9,98.1,26071100,4114796,9782,1872
1682464219,9,98.1,26497084,4114796,4881,936
1682464220,9,98.1,26497084,4114800,9835,1872
1682464221,9,98.0,26497084,4114800,4895,936
1682464222,9,98.0,26497084,4114800,4948,936
1682464223,9,98.1,26497084,4114804,9941,1872
1682464224,9,98.1,26497084,4114804,4963,936
1682464225,9,98.1,26497084,4114804,9957,1872
1682464226,9,98.1,26529852,4114804,5021,936
1682464227,9,98.2,26529852,4114804,9946,1872
1682464228,9,98.2,26529852,4114812,5008,936
1682464229,9,98.2,26529852,4114812,12608,7464
1682464230,9,98.2,26529852,4114812,5030,936
1682464231,9,98.3,26661784,4115608,10267,1872
1682464232,9,98.2,26661784,4115608,5152,936
1682464233,9,98.3,26661784,4115608,5219,936
1682464234,9,98.2,26661784,4115608,10308,1872
1682464235,9,98.2,26661784,4115608,5083,936
1682464236,9,98.3,26661784,4115612,10295,1872
1682464237,9,98.2,26661784,4115612,5098,936
1682464238,9,98.4,26661784,4115612,10274,1872
1682464239,9,98.3,26661784,4115612,5180,936
1682464240,9,98.3,26662028,4115876,5171,936
1682464241,9,98.3,26697748,4118788,10468,1872
