jobid: 
node: b526
# CPUs: 56
time: Tue Apr 25 18:57:00 MDT 2023
cmd: python3 train_vocoder_melgan.py
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682470620,1, 0.0,48244,8592,176381,0
1682470621,2,79.0,2196508,200412,1586823,7
1682470622,3,93.0,2411564,268668,13179487,32
1682470623,3,91.0,2586244,383636,15433218,0
1682470624,2,96.7,3024280,607432,6540269,12931
1682470625,5,97.0,9043532,1502440,438674,984
1682470626,8,91.6,9905544,1919712,1208235,25576
1682470627,8,79.1,10009536,1948344,1509,306
1682470628,8,76.3,10736704,2560316,0,0
1682470629,8,77.2,12236704,3477996,1736,0
1682470630,9,78.5,16342508,3766844,6393,11647
1682470631,9,75.8,16341164,3766844,1210,796
1682470632,9,71.5,16341164,3766848,1210,676
1682470633,9,67.9,16341164,3766848,1210,676
1682470634,9,64.7,16341164,3766848,1210,676
1682470635,9,62.0,16341164,3766848,1210,676
1682470636,9,59.8,16341164,3766852,1815,1014
1682470637,9,57.8,16341164,3766856,1210,676
1682470638,9,56.2,16341164,3766856,1210,676
1682470639,9,54.6,16341164,3766856,1815,1014
1682470640,9,53.1,16341164,3766856,1210,2176
1682470641,9,51.7,16341164,3766856,1210,676
1682470642,9,50.6,16341164,3766860,1210,676
1682470643,9,49.6,16341164,3766860,1210,676
1682470644,9,48.5,16341164,3766860,1210,676
1682470645,9,47.7,16341164,3766868,1815,1014
1682470646,9,46.9,16341164,3766868,1210,676
1682470647,9,46.2,16341164,3766872,1210,676
1682470648,9,45.4,16341164,3766872,1210,676
1682470649,9,44.6,16341164,3766872,1210,676
1682470650,9,44.0,16341164,3766872,1210,676
1682470651,9,43.3,16341164,3766872,1210,676
1682470652,9,42.7,16341164,3766876,1210,2176
1682470653,9,42.1,16341164,3766876,1210,676
1682470654,9,41.6,16341164,3766876,1815,1014
1682470655,9,41.0,16341164,3766880,1210,676
1682470656,9,40.7,16341164,3766880,1210,676
1682470657,9,40.2,16341164,3766884,1210,676
1682470658,9,39.9,16341164,3766884,1210,676
1682470659,9,39.6,16341164,3766888,1815,1014
1682470660,9,39.2,16341164,3766888,1210,676
1682470661,9,38.9,16341164,3766888,1210,676
1682470662,9,38.5,16341164,3766888,1210,676
1682470663,9,38.2,16341164,3766888,1210,676
1682470664,9,37.9,16341164,3766888,1210,2174
1682470665,9,37.7,16341164,3766888,1210,676
1682470666,9,37.4,16341164,3766888,1210,676
1682470667,9,37.1,16341164,3766888,1210,676
1682470668,9,36.8,16341164,3766888,1210,676
1682470669,9,36.5,16341164,3766888,1210,676
1682470670,9,36.4,16341164,3766888,1815,1014
1682470671,9,36.1,16341164,3766888,1210,676
1682470672,9,35.9,16341164,3766888,1210,676
1682470673,9,35.8,16341164,3766888,1815,1014
1682470674,9,35.6,16341164,3766888,1210,676
1682470675,9,35.4,16341164,3766888,3409,5174
1682470676,9,35.3,16341164,3766888,1210,996
1682470677,9,35.1,16341164,3766888,1210,676
1682470678,9,34.9,16341164,3766888,1210,676
1682470679,9,34.7,16341164,3766892,1210,676
1682470680,9,34.5,16341164,3766892,1210,676
1682470681,9,34.3,16341164,3766892,1210,676
1682470682,9,34.2,16341164,3766892,1210,676
1682470683,9,34.0,16341164,3766892,1210,676
1682470684,9,33.8,16342508,3766896,1815,894
1682470685,9,33.7,16342508,3766896,1210,676
1682470686,9,33.5,16342508,3766896,1210,676
1682470687,9,33.4,16342508,3766896,1210,2182
1682470688,9,33.3,16342508,3766896,1815,1014
1682470689,9,33.1,16342508,3766896,1210,676
1682470690,9,33.1,16342508,3766896,1210,676
1682470691,9,33.1,16341164,3766896,1210,796
1682470692,9,32.9,16341164,3766896,1210,676
1682470693,9,32.9,16341164,3766896,1210,676
1682470694,9,32.8,16341164,3766896,1210,676
1682470695,9,32.7,16341164,3766896,1210,676
1682470696,9,32.6,16341164,3766896,1210,676
1682470697,9,32.4,16342508,3766896,1815,894
1682470698,9,32.3,16342508,3766896,1210,676
1682470699,9,32.2,16342508,3766896,1210,2180
1682470700,9,32.1,16342508,3766896,1815,894
1682470701,9,32.0,16342508,3766896,1210,796
1682470702,9,32.0,16342508,3766896,1210,676
1682470703,9,31.9,16341164,3766896,1210,796
1682470704,9,31.8,16342508,3766896,1210,556
1682470705,9,31.8,16341164,3766896,1210,796
1682470706,9,31.7,16341164,3766896,1210,676
1682470707,9,31.7,16341164,3766896,1210,676
1682470708,9,31.6,16341164,3766896,1210,676
1682470709,9,31.5,16341164,3766896,1210,676
1682470710,9,31.4,16341164,3766896,1210,2182
1682470711,9,31.3,16341164,3766896,1210,676
1682470712,9,31.3,16341164,3766896,1210,676
1682470713,9,31.2,16341164,3766896,1210,676
1682470714,9,31.1,16341164,3766896,1210,676
