jobid: 
node: b525
# CPUs: 56
time: Tue May 23 07:08:34 MDT 2023
cmd: bash scripts/inference_example.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684847314,1,0.0,5792,3232,41719,117
1684847315,1,0.0,5792,3232,0,0
1684847316,1,0.0,5792,3240,56410,335
1684847317,1,0.0,5792,3240,0,0
1684847318,1,0.0,5792,3240,0,0
1684847319,1,0.0,5792,3240,0,0
1684847320,1,0.0,5792,3240,0,0
1684847321,1,0.0,5792,3240,0,0
1684847322,1,0.0,5792,3240,0,0
1684847323,1,0.0,5792,3240,0,0
1684847324,1,0.0,5792,3240,0,0
1684847325,1,0.0,5792,3240,0,0
1684847326,1,0.0,5792,3240,0,0
1684847327,1,0.0,5792,3240,0,0
1684847328,1,0.0,5792,3252,344513123,357316523
1684847329,1,0.0,5792,3252,0,0
1684847330,1,0.0,5792,3252,0,0
1684847331,1,0.0,5792,3256,104257393,107780626
1684847332,1,0.0,5792,3256,0,0
1684847333,1,0.0,5792,3256,0,0
1684847334,1,0.0,5792,3256,0,0
1684847335,1,0.0,5792,3256,0,0
1684847336,1,0.0,5792,3256,0,0
1684847337,1,0.0,5792,3256,0,0
1684847338,1,0.0,5792,3256,0,0
1684847339,1,0.0,5792,3256,0,0
1684847340,1,0.0,5792,3256,0,0
1684847341,1,0.0,5792,3256,0,0
1684847342,1,0.0,5792,3256,0,0
1684847343,1,0.0,5792,3256,0,0
1684847344,1,0.0,5792,3256,0,0
1684847345,1,0.0,5792,3256,0,0
1684847346,1,0.0,5792,3256,0,0
1684847347,1,0.0,5792,3256,0,0
1684847348,1,0.0,5792,3256,0,0
1684847349,1,0.0,5792,3256,0,0
