jobid: 
node: bhm07
# CPUs: 56
time: Fri May 12 21:45:06 MDT 2023
cmd: bash scripts/train.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1683949506,1,0.0,5792,3328,41720,119
1683949507,1,0.0,5792,3328,15,0
1683949508,1,0.0,5792,3360,67137,354
1683949509,1,0.0,5792,3360,0,0
1683949510,1,0.0,5792,3360,0,0
1683949511,1,0.0,5792,3360,0,0
1683949512,1,0.0,5792,3360,0,0
1683949513,1,0.0,5792,3360,0,0
1683949514,1,0.0,5792,3360,0,0
1683949515,1,0.0,5792,3360,0,0
1683949516,1,0.0,5792,3360,0,0
1683949517,1,0.0,5792,3360,0,0
1683949518,1,0.0,5792,3360,0,0
1683949519,1,0.0,5792,3360,0,0
1683949520,1,0.0,5792,3360,0,0
1683949521,1,0.0,5792,3360,0,0
1683949522,1,0.0,5792,3360,0,0
1683949523,1,0.0,5792,3360,0,0
1683949524,1,0.0,5792,3360,0,0
1683949525,1,0.0,5792,3360,0,0
1683949526,1,0.0,5792,3360,0,0
1683949527,1,0.0,5792,3360,0,0
1683949528,1,0.0,5792,3360,0,0
1683949529,1,0.0,5792,3360,0,0
1683949530,1,0.0,5792,3360,0,0
1683949531,1,0.0,5792,3360,0,0
1683949532,1,0.0,5792,3360,0,0
1683949533,1,0.0,5792,3360,0,0
1683949534,1,0.0,5792,3360,0,0
1683949535,1,0.0,5792,3360,0,0
1683949536,1,0.0,5792,3360,0,0
1683949537,1,0.0,5792,3360,0,0
1683949538,1,0.0,5792,3360,0,0
1683949539,1,0.0,5792,3360,0,0
1683949540,1,0.0,5792,3360,0,0
1683949541,1,0.0,5792,3360,0,0
1683949542,1,0.0,5792,3360,0,0
1683949543,1,0.0,5792,3360,0,0
1683949544,1,0.0,5792,3360,0,0
1683949545,1,0.0,5792,3360,0,0
1683949546,1,0.0,5792,3360,0,0
1683949547,1,0.0,5792,3360,0,0
1683949548,1,0.0,5792,3360,0,0
1683949549,1,0.0,5792,3360,0,0
1683949550,1,0.0,5792,3360,0,0
1683949551,1,0.0,5792,3360,0,0
1683949552,1,0.0,5792,3360,0,0
1683949553,1,0.0,5792,3360,0,0
1683949554,1,0.0,5792,3360,0,0
1683949555,1,0.0,5792,3360,0,0
