jobid: 
node: bhm06
# CPUs: 56
time: Sat May 20 11:28:34 MDT 2023
cmd: bash scripts/inference_example.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684603714,1,0.0,5792,3436,41720,119
1684603715,1,0.0,5792,3436,15,0
1684603716,1,0.0,5792,3444,58443,335
1684603717,1,0.0,5792,3444,0,0
1684603718,1,0.0,5792,3444,0,0
1684603719,1,0.0,5792,3444,0,0
1684603720,1,0.0,5792,3444,0,0
1684603721,1,0.0,5792,3444,0,0
1684603722,1,0.0,5792,3444,0,0
1684603723,1,0.0,5792,3456,344513361,357316520
1684603724,1,0.0,5792,3456,0,0
1684603725,1,0.0,5792,3456,0,0
1684603726,1,0.0,5792,3456,0,0
1684603727,1,0.0,5792,3460,104256831,107780618
1684603728,1,0.0,5792,3460,0,0
1684603729,1,0.0,5792,3460,0,0
1684603730,1,0.0,5792,3460,0,0
1684603731,1,0.0,5792,3460,0,0
1684603732,1,0.0,5792,3460,0,0
1684603733,1,0.0,5792,3460,0,0
1684603734,1,0.0,5792,3460,0,0
1684603735,1,0.0,5792,3460,0,0
1684603736,1,0.0,5792,3460,0,0
1684603737,1,0.0,5792,3460,0,0
1684603738,1,0.0,5792,3460,0,0
1684603739,1,0.0,5792,3460,0,0
1684603740,1,0.0,5792,3460,0,0
1684603741,1,0.0,5792,3460,0,0
1684603742,1,0.0,5792,3460,0,0
1684603743,1,0.0,5792,3460,0,0
1684603744,1,0.0,5792,3460,0,0
