jobid: 
node: bhm06
# CPUs: 56
time: Wed May 24 06:17:28 MDT 2023
cmd: bash scripts/inference_example.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684930648,1,0.0,5792,3276,41720,119
1684930649,1,0.0,5792,3276,0,0
1684930650,1,0.0,5792,3284,58458,335
1684930651,1,0.0,5792,3284,0,0
1684930652,1,0.0,5792,3284,0,0
1684930653,1,0.0,5792,3284,0,0
1684930654,1,0.0,5792,3284,0,0
1684930655,1,0.0,5792,3284,0,0
1684930656,1,0.0,5792,3284,0,0
1684930657,1,0.0,5792,3296,344519202,357316505
1684930658,1,0.0,5792,3296,0,0
1684930659,1,0.0,5792,3296,0,0
1684930660,1,0.0,5792,3296,0,0
1684930661,1,0.0,5792,3296,104260908,107780626
1684930662,1,0.0,5792,3296,0,0
1684930663,1,0.0,5792,3296,0,0
1684930664,1,0.0,5792,3296,0,0
1684930665,1,0.0,5792,3296,0,0
1684930666,1,0.0,5792,3296,0,0
1684930667,1,0.0,5792,3296,0,0
1684930668,1,0.0,5792,3296,0,0
1684930669,1,0.0,5792,3296,0,0
1684930670,1,0.0,5792,3296,0,0
1684930671,1,0.0,5792,3296,0,0
1684930672,1,0.0,5792,3296,0,0
1684930673,1,0.0,5792,3296,0,0
1684930674,1,0.0,5792,3296,0,0
1684930675,1,0.0,5792,3296,0,0
1684930676,1,0.0,5792,3296,0,0
1684930677,1,0.0,5792,3296,0,0
1684930678,1,0.0,5792,3296,0,0
1684930679,1,0.0,5792,3296,0,0
