jobid: 
node: b525
# CPUs: 56
time: Mon May 22 09:18:23 MDT 2023
cmd: bash scripts/prepare_dataset.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684768703,1,0.0,5792,3400,41719,117
1684768704,1,0.0,5792,3400,0,0
1684768705,1,0.0,5792,3408,53693,256
1684768706,1,0.0,5792,3408,0,0
1684768707,1,0.0,5792,3408,0,0
1684768708,1,0.0,5792,3408,0,0
1684768709,1,0.0,5792,3408,0,0
1684768710,1,0.0,5792,3408,0,0
1684768711,1,0.0,5792,3408,0,0
1684768712,1,0.0,5792,3408,0,0
1684768713,1,0.0,5792,3408,0,0
1684768714,1,0.0,5792,3408,0,0
1684768715,1,0.0,5792,3408,0,0
1684768716,1,0.0,5792,3408,0,0
1684768717,1,0.0,5792,3408,0,0
1684768718,1,0.0,5792,3408,0,0
1684768719,1,0.0,5792,3408,0,0
1684768720,1,0.0,5792,3408,0,0
1684768721,1,0.0,5792,3408,0,0
1684768722,1,0.0,5792,3408,0,0
1684768723,1,0.0,5792,3408,0,0
1684768724,1,0.0,5792,3408,0,0
1684768725,1,0.0,5792,3408,0,0
1684768726,1,0.0,5792,3408,0,0
1684768727,1,0.0,5792,3408,0,0
1684768728,1,0.0,5792,3408,0,0
1684768729,1,0.0,5792,3408,0,0
1684768730,1,0.0,5792,3408,0,0
1684768731,1,0.0,5792,3408,0,0
1684768732,1,0.0,5792,3408,0,0
1684768733,1,0.0,5792,3408,0,0
1684768734,1,0.0,5792,3408,0,0
1684768735,1,0.0,5792,3408,0,0
1684768736,1,0.0,5792,3408,0,0
1684768737,1,0.0,5792,3408,0,0
1684768738,1,0.0,5792,3408,0,0
1684768739,1,0.0,5792,3408,0,0
1684768740,1,0.0,5792,3408,0,0
1684768741,1,0.0,5792,3408,0,0
1684768742,1,0.0,5792,3408,0,0
1684768743,1,0.0,5792,3408,0,0
1684768744,1,0.0,5792,3408,0,0
1684768745,1,0.0,5792,3408,0,0
1684768746,1,0.0,5792,3408,0,0
1684768747,1,0.0,5792,3408,0,0
1684768748,1,0.0,5792,3408,0,0
1684768749,1,0.0,5792,3408,0,0
1684768750,1,0.0,5792,3408,0,0
1684768751,1,0.0,5792,3408,0,0
1684768752,1,0.0,5792,3408,0,0
1684768753,1,0.0,5792,3408,0,0
1684768754,1,0.0,5792,3408,0,0
1684768755,1,0.0,5792,3408,0,0
1684768756,1,0.0,5792,3408,0,0
1684768757,1,0.0,5792,3408,0,0
1684768758,1,0.0,5792,3408,0,0
1684768759,1,0.0,5792,3408,0,0
1684768760,1,0.0,5792,3408,0,0
1684768761,1,0.0,5792,3408,0,0
1684768762,1,0.0,5792,3408,0,0
1684768763,1,0.0,5792,3408,0,0
1684768764,1,0.0,5792,3408,0,0
1684768765,1,0.0,5792,3408,0,0
1684768766,1,0.0,5792,3408,0,0
1684768767,1,0.0,5792,3408,0,0
1684768768,1,0.0,5792,3408,0,0
1684768769,1,0.0,5792,3408,0,0
1684768770,1,0.0,5792,3408,0,0
1684768771,1,0.0,5792,3408,0,0
1684768772,1,0.0,5792,3408,0,0
1684768773,1,0.0,5792,3408,0,0
1684768774,1,0.0,5792,3408,0,0
1684768775,1,0.0,5792,3408,0,0
1684768776,1,0.0,5792,3408,0,0
1684768777,1,0.0,5792,3408,0,0
1684768778,1,0.0,5792,3408,0,0
1684768779,1,0.0,5792,3408,0,0
