jobid: 
node: b525
# CPUs: 56
time: Mon May 22 15:05:02 MDT 2023
cmd: bash scripts/train.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684789502,1,0.0,5792,3392,41719,117
1684789503,1,0.0,5792,3392,15,0
1684789504,1,0.0,5792,3420,65090,354
1684789505,1,0.0,5792,3420,0,0
1684789506,1,0.0,5792,3420,0,0
1684789507,1,0.0,5792,3420,0,0
1684789508,1,0.0,5792,3420,0,0
1684789509,1,0.0,5792,3420,0,0
1684789510,1,0.0,5792,3420,0,0
1684789511,1,0.0,5792,3420,0,0
1684789512,1,0.0,5792,3420,0,0
1684789513,1,0.0,5792,3420,0,0
1684789514,1,0.0,5792,3420,0,0
1684789515,1,0.0,5792,3420,0,0
1684789516,1,0.0,5792,3420,0,0
1684789517,1,0.0,5792,3420,0,0
1684789518,1,0.0,5792,3420,0,0
1684789519,1,0.0,5792,3420,0,0
1684789520,1,0.0,5792,3420,0,0
1684789521,1,0.0,5792,3420,0,0
1684789522,1,0.0,5792,3420,0,0
1684789523,1,0.0,5792,3420,0,0
1684789524,1,0.0,5792,3420,0,0
1684789525,1,0.0,5792,3420,0,0
1684789526,1,0.0,5792,3420,0,0
1684789527,1,0.0,5792,3420,0,0
1684789528,1,0.0,5792,3420,0,0
1684789529,1,0.0,5792,3420,0,0
1684789530,1,0.0,5792,3420,0,0
1684789531,1,0.0,5792,3420,0,0
1684789532,1,0.0,5792,3420,0,0
1684789533,1,0.0,5792,3420,0,0
1684789534,1,0.0,5792,3420,0,0
1684789535,1,0.0,5792,3420,0,0
1684789536,1,0.0,5792,3420,0,0
1684789537,1,0.0,5792,3420,0,0
1684789538,1,0.0,5792,3420,0,0
1684789539,1,0.0,5792,3420,0,0
1684789540,1,0.0,5792,3420,0,0
1684789541,1,0.0,5792,3420,0,0
1684789542,1,0.0,5792,3420,0,0
1684789543,1,0.0,5792,3420,0,0
1684789544,1,0.0,5792,3420,0,0
1684789545,1,0.0,5792,3420,0,0
1684789546,1,0.0,5792,3420,0,0
1684789547,1,0.0,5792,3420,0,0
1684789548,1,0.0,5792,3420,0,0
1684789549,1,0.0,5792,3420,0,0
1684789550,1,0.0,5792,3420,0,0
1684789551,1,0.0,5792,3420,0,0
1684789552,1,0.0,5792,3420,0,0
1684789553,1,0.0,5792,3420,0,0
1684789554,1,0.0,5792,3420,0,0
1684789555,1,0.0,5792,3420,0,0
1684789556,1,0.0,5792,3420,0,0
1684789557,1,0.0,5792,3420,0,0
1684789558,1,0.0,5792,3420,0,0
1684789559,1,0.0,5792,3420,0,0
1684789560,1,0.0,5792,3420,0,0
1684789561,1,0.0,5792,3420,0,0
1684789562,1,0.0,5792,3420,0,0
1684789563,1,0.0,5792,3420,0,0
1684789564,1,0.0,5792,3420,0,0
1684789565,1,0.0,5792,3420,0,0
1684789566,1,0.0,5792,3420,0,0
1684789567,1,0.0,5792,3420,0,0
1684789568,1,0.0,5792,3420,0,0
1684789569,1,0.0,5792,3420,0,0
1684789570,1,0.0,5792,3420,0,0
1684789571,1,0.0,5792,3420,0,0
1684789572,1,0.0,5792,3420,0,0
1684789573,1,0.0,5792,3420,0,0
1684789574,1,0.0,5792,3420,0,0
1684789575,1,0.0,5792,3420,0,0
1684789576,1,0.0,5792,3420,0,0
1684789577,1,0.0,5792,3420,0,0
1684789578,1,0.0,5792,3420,0,0
1684789579,1,0.0,5792,3420,0,0
1684789580,1,0.0,5792,3420,0,0
1684789581,1,0.0,5792,3420,0,0
1684789582,1,0.0,5792,3420,0,0
1684789583,1,0.0,5792,3420,0,0
1684789584,1,0.0,5792,3420,0,0
1684789585,1,0.0,5792,3420,0,0
1684789586,1,0.0,5792,3420,0,0
1684789587,1,0.0,5792,3420,0,0
1684789588,1,0.0,5792,3420,0,0
1684789589,1,0.0,5792,3420,0,0
1684789590,1,0.0,5792,3420,0,0
1684789591,1,0.0,5792,3420,0,0
1684789592,1,0.0,5792,3420,0,0
1684789593,1,0.0,5792,3420,0,0
1684789594,1,0.0,5792,3420,0,0
1684789595,1,0.0,5792,3420,0,0
1684789596,1,0.0,5792,3420,0,0
1684789597,1,0.0,5792,3420,0,0
1684789598,1,0.0,5792,3420,0,0
1684789599,1,0.0,5792,3420,0,0
1684789600,1,0.0,5792,3420,0,0
1684789601,1,0.0,5792,3420,0,0
1684789602,1,0.0,5792,3420,0,0
1684789603,1,0.0,5792,3420,0,0
1684789604,1,0.0,5792,3420,0,0
1684789605,1,0.0,5792,3420,0,0
1684789606,1,0.0,5792,3420,0,0
1684789607,1,0.0,5792,3420,0,0
1684789608,1,0.0,5792,3420,0,0
1684789609,1,0.0,5792,3420,0,0
1684789610,1,0.0,5792,3420,0,0
1684789611,1,0.0,5792,3420,0,0
1684789612,1,0.0,5792,3420,0,0
1684789613,1,0.0,5792,3420,0,0
1684789614,1,0.0,5792,3420,0,0
1684789615,1,0.0,5792,3420,0,0
1684789616,1,0.0,5792,3420,0,0
1684789617,1,0.0,5792,3420,0,0
1684789618,1,0.0,5792,3420,0,0
1684789619,1,0.0,5792,3420,0,0
1684789620,1,0.0,5792,3420,0,0
1684789621,1,0.0,5792,3420,0,0
1684789622,1,0.0,5792,3420,0,0
1684789623,1,0.0,5792,3420,0,0
1684789624,1,0.0,5792,3420,0,0
1684789625,1,0.0,5792,3420,0,0
1684789626,1,0.0,5792,3420,0,0
1684789627,1,0.0,5792,3420,0,0
1684789628,1,0.0,5792,3420,0,0
1684789629,1,0.0,5792,3420,0,0
1684789630,1,0.0,5792,3420,0,0
1684789631,1,0.0,5792,3420,0,0
1684789632,1,0.0,5792,3420,0,0
1684789633,1,0.0,5792,3420,0,0
1684789634,1,0.0,5792,3420,0,0
1684789635,1,0.0,5792,3420,0,0
1684789636,1,0.0,5792,3420,0,0
1684789637,1,0.0,5792,3420,0,0
1684789638,1,0.0,5792,3420,0,0
1684789639,1,0.0,5792,3420,0,0
1684789640,1,0.0,5792,3420,0,0
1684789641,1,0.0,5792,3420,0,0
1684789642,1,0.0,5792,3420,0,0
1684789643,1,0.0,5792,3420,0,0
1684789644,1,0.0,5792,3420,0,0
1684789645,1,0.0,5792,3420,0,0
1684789646,1,0.0,5792,3420,0,0
1684789647,1,0.0,5792,3420,0,0
1684789648,1,0.0,5792,3420,0,0
1684789649,1,0.0,5792,3420,0,0
1684789650,1,0.0,5792,3420,0,0
