jobid: 
node: bhm06
# CPUs: 56
time: Tue May 23 14:26:17 MDT 2023
cmd: bash scripts/train.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1684873577,1,0.0,5792,3364,41720,119
1684873578,1,0.0,5792,3364,15,0
1684873579,1,0.0,5792,3392,67132,354
1684873580,1,0.0,5792,3392,0,0
1684873581,1,0.0,5792,3392,0,0
1684873582,1,0.0,5792,3392,0,0
1684873583,1,0.0,5792,3392,0,0
1684873584,1,0.0,5792,3392,0,0
1684873585,1,0.0,5792,3392,0,0
1684873586,1,0.0,5792,3392,0,0
1684873587,1,0.0,5792,3392,0,0
1684873588,1,0.0,5792,3392,0,0
1684873589,1,0.0,5792,3392,0,0
1684873590,1,0.0,5792,3392,0,0
1684873591,1,0.0,5792,3392,0,0
1684873592,1,0.0,5792,3392,0,0
1684873593,1,0.0,5792,3392,0,0
1684873594,1,0.0,5792,3392,0,0
1684873595,1,0.0,5792,3392,0,0
1684873596,1,0.0,5792,3392,0,0
1684873597,1,0.0,5792,3392,0,0
1684873598,1,0.0,5792,3392,0,0
1684873599,1,0.0,5792,3392,0,0
1684873600,1,0.0,5792,3392,0,0
1684873601,1,0.0,5792,3392,0,0
1684873602,1,0.0,5792,3392,0,0
1684873603,1,0.0,5792,3392,0,0
1684873604,1,0.0,5792,3392,0,0
1684873605,1,0.0,5792,3392,0,0
1684873606,1,0.0,5792,3392,0,0
1684873607,1,0.0,5792,3392,0,0
1684873608,1,0.0,5792,3392,0,0
1684873609,1,0.0,5792,3392,0,0
1684873610,1,0.0,5792,3392,0,0
1684873611,1,0.0,5792,3392,0,0
1684873612,1,0.0,5792,3392,0,0
1684873613,1,0.0,5792,3392,0,0
1684873614,1,0.0,5792,3392,0,0
1684873615,1,0.0,5792,3392,0,0
1684873616,1,0.0,5792,3392,0,0
1684873617,1,0.0,5792,3392,0,0
1684873618,1,0.0,5792,3392,0,0
1684873619,1,0.0,5792,3392,0,0
1684873620,1,0.0,5792,3392,0,0
1684873621,1,0.0,5792,3392,0,0
1684873622,1,0.0,5792,3392,0,0
1684873623,1,0.0,5792,3392,0,0
1684873624,1,0.0,5792,3392,0,0
1684873625,1,0.0,5792,3392,0,0
1684873626,1,0.0,5792,3392,0,0
1684873627,1,0.0,5792,3392,0,0
1684873628,1,0.0,5792,3392,0,0
1684873629,1,0.0,5792,3392,0,0
1684873630,1,0.0,5792,3392,0,0
1684873631,1,0.0,5792,3392,0,0
1684873632,1,0.0,5792,3392,0,0
1684873633,1,0.0,5792,3392,0,0
1684873634,1,0.0,5792,3392,0,0
1684873635,1,0.0,5792,3392,0,0
1684873636,1,0.0,5792,3392,0,0
1684873637,1,0.0,5792,3392,0,0
1684873638,1,0.0,5792,3392,0,0
1684873639,1,0.0,5792,3392,0,0
1684873640,1,0.0,5792,3392,0,0
1684873641,1,0.0,5792,3392,0,0
1684873642,1,0.0,5792,3392,0,0
1684873643,1,0.0,5792,3392,0,0
1684873644,1,0.0,5792,3392,0,0
1684873645,1,0.0,5792,3392,0,0
1684873646,1,0.0,5792,3392,0,0
1684873647,1,0.0,5792,3392,0,0
1684873648,1,0.0,5792,3392,0,0
1684873649,1,0.0,5792,3392,0,0
1684873650,1,0.0,5792,3392,0,0
1684873651,1,0.0,5792,3392,0,0
1684873652,1,0.0,5792,3392,0,0
1684873653,1,0.0,5792,3392,0,0
1684873654,1,0.0,5792,3392,0,0
1684873655,1,0.0,5792,3392,0,0
1684873656,1,0.0,5792,3392,0,0
1684873657,1,0.0,5792,3392,0,0
1684873658,1,0.0,5792,3392,0,0
1684873659,1,0.0,5792,3392,0,0
1684873660,1,0.0,5792,3392,0,0
1684873661,1,0.0,5792,3392,0,0
1684873662,1,0.0,5792,3392,0,0
1684873663,1,0.0,5792,3392,0,0
1684873664,1,0.0,5792,3392,0,0
1684873665,1,0.0,5792,3392,0,0
1684873666,1,0.0,5792,3392,0,0
1684873667,1,0.0,5792,3392,0,0
1684873668,1,0.0,5792,3392,0,0
1684873669,1,0.0,5792,3392,0,0
1684873670,1,0.0,5792,3392,0,0
1684873671,1,0.0,5792,3392,0,0
1684873672,1,0.0,5792,3392,0,0
1684873673,1,0.0,5792,3392,0,0
1684873674,1,0.0,5792,3392,0,0
1684873675,1,0.0,5792,3392,0,0
1684873676,1,0.0,5792,3392,0,0
1684873677,1,0.0,5792,3392,0,0
1684873678,1,0.0,5792,3392,0,0
1684873679,1,0.0,5792,3392,0,0
1684873680,1,0.0,5792,3392,0,0
1684873681,1,0.0,5792,3392,0,0
1684873682,1,0.0,5792,3392,0,0
1684873683,1,0.0,5792,3392,0,0
1684873684,1,0.0,5792,3392,0,0
1684873685,1,0.0,5792,3392,0,0
1684873686,1,0.0,5792,3392,0,0
1684873687,1,0.0,5792,3392,0,0
1684873688,1,0.0,5792,3392,0,0
1684873689,1,0.0,5792,3392,0,0
1684873690,1,0.0,5792,3392,0,0
1684873691,1,0.0,5792,3392,0,0
1684873692,1,0.0,5792,3392,0,0
1684873693,1,0.0,5792,3392,0,0
1684873694,1,0.0,5792,3392,0,0
1684873695,1,0.0,5792,3392,0,0
1684873696,1,0.0,5792,3392,0,0
1684873697,1,0.0,5792,3392,0,0
1684873698,1,0.0,5792,3392,0,0
1684873699,1,0.0,5792,3392,0,0
1684873700,1,0.0,5792,3392,0,0
1684873701,1,0.0,5792,3392,0,0
1684873702,1,0.0,5792,3392,0,0
1684873703,1,0.0,5792,3392,0,0
1684873704,1,0.0,5792,3392,0,0
1684873705,1,0.0,5792,3392,0,0
1684873706,1,0.0,5792,3392,0,0
1684873707,1,0.0,5792,3392,0,0
1684873708,1,0.0,5792,3392,0,0
1684873709,1,0.0,5792,3392,0,0
1684873710,1,0.0,5792,3392,0,0
1684873711,1,0.0,5792,3392,0,0
1684873712,1,0.0,5792,3392,0,0
1684873713,1,0.0,5792,3392,0,0
1684873714,1,0.0,5792,3392,0,0
1684873715,1,0.0,5792,3392,0,0
1684873716,1,0.0,5792,3392,0,0
1684873717,1,0.0,5792,3392,0,0
1684873718,1,0.0,5792,3392,0,0
1684873719,1,0.0,5792,3392,0,0
1684873720,1,0.0,5792,3392,0,0
1684873721,1,0.0,5792,3392,0,0
1684873722,1,0.0,5792,3392,0,0
1684873723,1,0.0,5792,3392,0,0
1684873724,1,0.0,5792,3392,0,0
1684873725,1,0.0,5792,3392,0,0
1684873726,1,0.0,5792,3392,0,0
1684873727,1,0.0,5792,3392,0,0
1684873728,1,0.0,5792,3392,0,0
1684873729,1,0.0,5792,3392,0,0
1684873730,1,0.0,5792,3392,0,0
1684873731,1,0.0,5792,3392,0,0
1684873732,1,0.0,5792,3392,0,0
1684873733,1,0.0,5792,3392,0,0
1684873734,1,0.0,5792,3392,0,0
1684873735,1,0.0,5792,3392,0,0
1684873736,1,0.0,5792,3392,0,0
1684873737,1,0.0,5792,3392,0,0
1684873738,1,0.0,5792,3392,0,0
1684873739,1,0.0,5792,3392,0,0
1684873740,1,0.0,5792,3392,0,0
