jobid: 
node: fastspeech-job-rtx3090-memprof-bugfix-lskcf
# CPUs: 32
time: Mon Apr 24 23:12:39 UTC 2023
cmd: python3 fastspeech/dataset/ljspeech_dataset.py --dataset_path=./LJSpeech-1.1 --mels_path=./mels_ljspeech1.1
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682377959,1, 0.0,31636,7288,121981,0
1682377960,1, 108,2953532,286972,25518530,72617
1682377961,4, 136,7825612,334536,36218546,17084695
1682377962,4, 160,7826424,335560,41262558,25675035
1682377963,4, 167,7826112,335364,36026562,22686575
1682377964,4, 175,7826724,335912,40453712,25181478
1682377965,4, 178,7825880,335292,37142960,23495608
1682377966,4, 182,7827328,336728,39833980,24691494
1682377967,4, 183,7826076,335468,38985684,24391215
1682377968,4, 186,7826252,335696,41346102,26017576
1682377969,4, 186,7825132,334372,34560582,21533120
1682377970,4, 188,7826976,336180,39994810,24940336
1682377971,4, 189,7826668,335932,32203872,20326464
1682377972,4, 190,7825896,335196,38797418,24240760
1682377973,4, 190,7826568,335976,35556484,22132298
1682377974,4, 190,7828632,337424,41470756,25929866
1682377975,4, 191,7824168,333372,39870208,25224394
1682377976,4, 192,7826184,335452,34785500,21523978
1682377977,4, 193,7820652,329636,37498386,23638084
1682377978,4, 192,7826320,335900,36042646,22405258
1682377979,4, 193,7827256,336680,36259646,22682570
1682377980,4, 193,7825976,335484,38639996,24303172
1682377981,4, 193,7825912,335188,34739782,21671114
1682377982,4, 194,7826792,336268,36601176,22930316
1682377983,4, 194,7825464,334884,38331860,23935900
1682377984,4, 194,7825208,334404,39298782,24621912
1682377985,4, 194,7827900,336932,33773488,21034268
1682377986,4, 195,7825444,334640,39396970,24715484
1682377987,4, 195,7826944,336048,35166640,21977180
1682377988,4, 195,7827300,336516,40495458,25382168
1682377989,4, 195,7825900,334900,40448204,25322716
1682377990,4, 195,7827136,336360,42335136,26420892
1682377991,4, 195,7826452,335660,34960816,21887900
1682377992,4, 195,7825728,334936,43766212,27481756
1682377993,4, 195,7823376,330448,41827444,26134126
1682377994,4, 195,7824364,333408,38480190,24097006
1682377995,4, 196,7827068,336216,45770966,28606572
1682377996,4, 196,7826240,335456,38899218,24398062
1682377997,4, 196,7825856,334816,44544540,27793580
1682377998,4, 196,7826392,334868,41347488,25833390
1682377999,4, 196,7826056,335164,41116850,25849710
1682378000,4, 196,7825728,334808,45487618,28468716
1682378001,4, 196,7828392,337372,41274722,25750772
1682378002,4, 196,7824552,333616,45353050,28447104
1682378003,4, 196,7826768,335752,41042512,25600704
1682378004,4, 196,7826768,335856,44074374,27580544
1682378005,4, 196,7826152,335200,39194841,24668416
1682378006,4, 197,7826028,335236,45283030,28216192
1682378007,4, 196,7825996,335112,39476216,24719616
1682378008,4, 196,7828108,337140,40023306,25001856
1682378009,4, 197,7826568,335724,44039144,27717312
1682378010,4, 197,7827060,336292,39866572,24816520
1682378011,4, 197,7826288,335260,44657242,27895444
1682378012,4, 197,7828088,337120,44837854,28186450
1682378013,4, 197,7824224,333432,40162084,25043218
1682378014,4, 197,7826368,335468,44115908,27581012
1682378015,4, 197,7824888,333884,40132786,25259666
1682378016,4, 197,7826776,335984,44420972,27641044
1682378017,4, 197,7826756,335808,40227382,25188818
1682378018,4, 197,7827500,336568,43991942,27553682
1682378019,4, 197,7825404,334388,39779982,24938076
1682378020,4, 197,7828248,336300,43142446,26933800
1682378021,4, 197,7826788,335988,39604666,24848548
1682378022,4, 197,7825768,334760,44698414,27927400
1682378023,4, 197,7826872,335848,41594060,26088228
1682378024,4, 197,7825632,334712,40398152,25413476
1682378025,4, 197,7827500,336480,44919722,27895848
1682378026,4, 197,7824012,333068,40629514,25516452
1682378027,4, 197,7826836,335972,42883074,26755816
1682378028,4, 197,7826824,336024,39941986,25096686
1682378029,4, 197,7825032,334264,40628614,25430908
1682378030,4, 197,7824364,333356,44120578,27591926
1682378031,4, 197,7826928,335996,39933882,25032566
1682378032,4, 197,7825556,334752,42806962,26712255
1682378033,4, 197,7827152,336120,39518738,24680063
1682378034,4, 197,7826256,335332,43542556,27226950
1682378035,4, 197,7825256,334412,40046884,25200383
1682378036,4, 198,7821576,330112,45207942,28204607
1682378037,4, 197,7827152,335696,41091152,25685261
1682378038,4, 198,7826488,335716,42999588,26974874
1682378039,4, 197,7826408,335524,40389076,25204817
1682378040,4, 198,7826584,335740,45262364,28302810
1682378041,4, 198,7827052,336192,40039654,25316625
1682378042,4, 197,7828392,337532,40536806,25182929
1682378043,4, 198,7825288,334460,44317600,27691482
1682378044,4, 198,7824832,333840,40326074,25253073
1682378045,4, 198,7826872,335996,44348656,27736346
1682378046,4, 198,7828500,337472,40818018,25762201
1682378047,4, 198,7826680,335716,41280142,25635939
1682378048,4, 198,7825716,334740,44104794,27600814
1682378049,4, 198,7826484,335632,40573432,25376995
1682378050,4, 198,7824500,333716,41313572,25841379
1682378051,4, 198,7825404,334284,44514394,27865774
1682378052,4, 198,7826424,335392,40715618,25529123
1682378053,4, 198,7826552,335540,45253484,28258734
