jobid: 
node: fastspeech-job-rtx3090-memprof-bugfix-lskcf
# CPUs: 32
time: Mon Apr 24 23:14:14 UTC 2023
cmd: python3 fastspeech/align_tacotron2.py --dataset_path=./LJSpeech-1.1 --tacotron2_path=tacotron2_statedict.pt --aligns_path=aligns_ljspeech1.1
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682378054,1, 0.0,35120,10808,735668,0
1682378055,2, 103,7558864,278420,23282509,71329
1682378056,4, 104,9380720,1140392,10243082,102
1682378057,4, 101,10839200,2303332,2594,0
1682378058,5, 100,11525440,2452992,112821945,3177
1682378059,38, 101,16368068,4083764,118454,39415
1682378060,38, 102,16977828,4359560,0,0
1682378061,38, 101,16978108,4363804,5417,3681
1682378062,38, 101,16978108,4363836,3540,2486
1682378063,38, 101,16978364,4363916,1789,1075
1682378064,38, 101,16978108,4365992,5263,3309
1682378065,38, 101,16978108,4366008,3620,2320
1682378066,38, 101,16978364,4368072,3440,2164
1682378067,38, 100,17012624,4369452,1679,1452
1682378068,38, 101,17012624,4369452,3414,2540
1682378069,38, 100,17012624,4369456,3472,2604
1682378070,38, 101,17012624,4369460,3546,2252
1682378071,38, 100,17012624,4371508,3572,2504
1682378072,38, 101,17012368,4373560,3664,2564
1682378073,38, 100,17012624,4373564,1667,1220
1682378074,38, 100,17012624,4373564,1757,1808
1682378075,38, 100,17012368,4373572,5248,2788
1682378076,38, 100,17012624,4373576,1683,1160
1682378077,38, 100,17012624,4375652,3664,2376
1682378078,38, 100,17012368,4375656,3526,2504
1682378079,38, 100,17012368,4375656,3620,2260
1682378080,38, 100,17012368,4375656,3456,2352
1682378081,38, 100,17012624,4375656,3418,2220
1682378082,38, 100,17012368,4377708,5249,3336
1682378083,38, 100,17012368,4377748,3538,2104
1682378084,38, 100,17012624,4377792,3458,2272
1682378085,38, 100,17012624,4377776,3418,2396
1682378086,38, 100,17012624,4379856,3622,2260
1682378087,38, 100,17012368,4379864,5259,3204
1682378088,38, 100,17012368,4379908,3544,2328
1682378089,38, 100,17012624,4379912,1732,1356
1682378090,38, 100,17012368,4379912,3530,2572
1682378091,38, 100,17012624,4379944,3314,2220
1682378092,38, 100,17012368,4382000,5369,3364
1682378093,38, 100,17012624,4382084,1739,1208
1682378094,38, 100,17012624,4382028,3558,2492
1682378095,38, 100,17012368,4382028,3556,2384
1682378096,38, 100,17012624,4382028,1711,1300
1682378097,38, 100,17012624,4382064,3456,2412
1682378098,38, 100,17012624,4382056,3472,2308
1682378099,38, 100,17012368,4382056,3410,2548
1682378100,38, 100,17012624,4382056,3604,2228
1682378101,38, 100,17012368,4382056,5221,3148
1682378102,38, 100,17012368,4382056,3536,2252
1682378103,38, 100,17012624,4382056,3610,2400
1682378104,38, 100,17012624,4382056,1709,1192
1682378105,38, 100,17012368,4382056,3622,2592
1682378106,38, 100,17012368,4382056,3574,2292
1682378107,38, 100,17012368,4382056,3426,2468
1682378108,38, 100,17012368,4382088,3628,2220
1682378109,38, 100,17012368,4382088,3384,2396
1682378110,38, 100,17012368,4382088,3588,2336
1682378111,38, 100,17012624,4382088,1789,1260
1682378112,38, 100,17012368,4382088,3452,2550
1682378113,38, 100,17012368,4384168,5351,3123
1682378114,38, 100,17012624,4384192,1615,1261
1682378115,38, 100,17012368,4384168,5491,3463
1682378116,38, 100,17012624,4384168,1653,1301
1682378117,38, 100,17012368,4384168,5177,3311
1682378118,38, 100,17012624,4384168,3430,2146
1682378119,38, 100,17012368,4384168,3490,2554
1682378120,38, 100,17012368,4384168,3562,2346
1682378121,38, 100,17012368,4384168,3500,2326
1682378122,38, 100,17012368,4384196,3536,2350
1682378123,38, 100,17012368,4386244,3534,2370
1682378124,38, 100,17012624,4386368,3354,2718
1682378125,38, 100,17012656,4386532,3484,1914
1682378126,38, 100,17012912,4386532,3428,2142
1682378127,38, 100,17012912,4386532,3545,2410
1682378128,38, 100,17012656,4386532,3436,2406
1682378129,38, 100,17012656,4386560,5383,3299
1682378130,38, 100,17012656,4386560,3610,2246
1682378131,38, 100,17012912,4386580,3257,2122
1682378132,38, 100,17012656,4386616,3610,2510
1682378133,38, 100,17012656,4386616,5245,3399
1682378134,38, 100,17012912,4386680,1670,1801
1682378135,38, 100,17012912,4388664,3708,1806
1682378136,38, 100,17012912,4388664,3501,2378
1682378137,38, 100,17012656,4388664,3476,2554
1682378138,38, 100,17045424,4390712,3428,2458
1682378139,38, 100,17045680,4390712,3312,2162
1682378140,38, 100,17045424,4390712,5099,3571
1682378141,38, 100,17045680,4390816,1727,1073
1682378142,38, 100,17045680,4390712,3572,2486
1682378143,38, 100,17045424,4390776,5037,3469
1682378144,38, 100,17045424,4390808,3596,2286
1682378145,38, 100,17045424,4390824,3422,2282
1682378146,38, 100,17045680,4390824,1719,1355
1682378147,38, 100,17045424,4390824,5129,3569
1682378148,38, 100,17045680,4392872,3631,2230
1682378149,38, 100,17045424,4394948,5325,3285
1682378150,38, 100,17045680,4397028,3682,2294
1682378151,38, 100,17045424,4399108,3567,2438
1682378152,38, 100,17045424,4399112,3628,2314
1682378153,38, 100,17045424,4401160,3506,2422
1682378154,38, 100,17045956,4401572,1785,1793
1682378155,38, 100,17045956,4401584,5217,2619
1682378156,38, 100,17045956,4401616,3618,2286
1682378157,38, 100,17045956,4403676,3616,2310
1682378158,38, 100,17045700,4403668,3392,2570
1682378159,38, 100,17045700,4403788,3462,2350
1682378160,38, 100,17045700,4403820,3560,2598
1682378161,38, 100,17045956,4403820,1736,1301
1682378162,38, 100,17045700,4403848,3492,2538
1682378163,38, 100,17045956,4404104,4884,2694
1682378164,38, 100,17045700,4404104,4064,2723
1682378165,38, 100,17045956,4404104,1764,1313
1682378166,38, 100,17045956,4404104,3446,2350
1682378167,38, 100,17045700,4404104,3420,2726
1682378168,38, 100,17045700,4404104,3530,2362
1682378169,38, 100,17045700,4404132,3502,2266
1682378170,38, 100,17045956,4404132,1790,1093
1682378171,38, 100,17045700,4404132,5226,3087
1682378172,38, 100,17045700,4404132,5402,3159
1682378173,38, 100,17045956,4404160,1756,1113
1682378174,38, 100,17045956,4404160,3602,2462
1682378175,38, 100,17045700,4404160,5380,3067
1682378176,38, 100,17045700,4404160,3480,2510
1682378177,38, 100,17045700,4404160,3424,2166
1682378178,38, 100,17045700,4404160,3418,2210
1682378179,38, 100,17045956,4404160,3358,2130
1682378180,38, 100,17045700,4404188,3620,2602
1682378181,38, 100,17045700,4404188,3522,2366
1682378182,38, 100,17045956,4404188,1719,1253
1682378183,38, 100,17045700,4404188,3418,2682
1682378184,38, 100,17045956,4404216,1720,1145
1682378185,38, 100,17045700,4404216,3439,2586
1682378186,38, 100,17045700,4404244,3392,2258
1682378187,38, 100,17045956,4404244,1836,1373
1682378188,38, 100,17045700,4404244,3624,2646
1682378189,38, 100,17045700,4404244,5264,3243
1682378190,38, 100,17045956,4404244,1804,1309
1682378191,38, 100,17045700,4404244,3467,2538
1682378192,38, 100,17045956,4404308,3370,2098
1682378193,38, 100,17045956,4404320,3538,2246
