jobid: 
node: fastspeech-job-rtx3090-memprof-bugfix-lskcf
# CPUs: 32
time: Mon Apr 24 23:08:45 UTC 2023
cmd: bash scripts/prepare_dataset.sh
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1682377725,1, 0.0,20120,3624,35976,142
1682377726,1, 0.0,20120,3624,0,0
1682377727,1, 0.0,20120,3624,0,0
1682377728,1, 0.0,20120,3624,0,0
1682377729,1, 0.0,20120,3624,0,0
1682377730,1, 0.0,20120,3624,0,0
1682377731,1, 0.0,20120,3624,0,0
1682377732,1, 0.0,20120,3624,0,0
1682377733,1, 0.0,20120,3624,0,0
1682377734,1, 0.0,20120,3624,0,0
1682377735,1, 0.0,20120,3624,0,0
1682377736,1, 0.0,20120,3624,0,0
1682377737,1, 0.0,20120,3624,0,0
1682377738,1, 0.0,20120,3624,0,0
1682377739,1, 0.0,20120,3624,0,0
1682377740,1, 0.0,20120,3624,0,0
1682377741,1, 0.0,20120,3624,0,0
1682377742,1, 0.0,20120,3624,0,0
1682377743,1, 0.0,20120,3624,0,0
1682377744,1, 0.0,20120,3624,0,0
1682377745,1, 0.0,20120,3624,0,0
1682377746,1, 0.0,20120,3624,0,0
1682377747,1, 0.0,20120,3624,0,0
1682377748,1, 0.0,20120,3624,0,0
1682377749,1, 0.0,20120,3624,0,0
1682377750,1, 0.0,20120,3624,0,0
1682377751,1, 0.0,20120,3624,0,0
1682377752,1, 0.0,20120,3624,0,0
1682377753,1, 0.0,20120,3624,0,0
1682377754,1, 0.0,20120,3624,0,0
1682377755,1, 0.0,20120,3624,0,0
1682377756,1, 0.0,20120,3624,0,0
1682377757,1, 0.0,20120,3624,0,0
1682377758,1, 0.0,20120,3624,0,0
1682377759,1, 0.0,20120,3624,0,0
1682377760,1, 0.0,20120,3624,0,0
1682377761,1, 0.0,20120,3624,0,0
1682377762,1, 0.0,20120,3624,0,0
1682377763,1, 0.0,20120,3624,0,0
1682377764,1, 0.0,20120,3624,0,0
1682377765,1, 0.0,20120,3624,0,0
1682377766,1, 0.0,20120,3624,0,0
1682377767,1, 0.0,20120,3624,0,0
1682377768,1, 0.0,20120,3624,0,0
1682377769,1, 0.0,20120,3624,0,0
1682377770,1, 0.0,20120,3624,0,0
1682377771,1, 0.0,20120,3624,0,0
1682377772,1, 0.0,20120,3624,0,0
1682377773,1, 0.0,20120,3624,0,0
